"","site_code","region_code","region_name","decimal_latitude","decimal_longitude","region_lat_name","avg_region_lat","region_label","samples","sites"
"1","CHP_CC","BC_CC","BC_CC",51.40613,-128.07383,4,51.77339,"Central Coast British Columbia",50,5
"2","PBA_CC","BC_CC","BC_CC",51.6464,-128.11896,4,51.77339,"Central Coast British Columbia",50,5
"3","KIS2_CC","BC_CC","BC_CC",51.8368,-128.2395,4,51.77339,"Central Coast British Columbia",50,5
"4","GOG1_CC","BC_CC","BC_CC",51.92397,-128.4673,4,51.77339,"Central Coast British Columbia",50,5
"5","FAN3_CC","BC_CC","BC_CC",52.05365,-128.40331,4,51.77339,"Central Coast British Columbia",50,5
"6","E_PP","BC_PP","BC_PP",48.877117,-125.3054,7,48.9224848,"Pacific Rim Park, British Columbia",25,5
"7","MB_PP","BC_PP","BC_PP",48.97404,-125.31132,7,48.9224848,"Pacific Rim Park, British Columbia",25,5
"8","HI_PP","BC_PP","BC_PP",48.951517,-125.30975,7,48.9224848,"Pacific Rim Park, British Columbia",25,5
"9","J_PP","BC_PP","BC_PP",48.92145,-125.275733,7,48.9224848,"Pacific Rim Park, British Columbia",25,5
"10","C_PP","BC_PP","BC_PP",48.8883,-125.379833,7,48.9224848,"Pacific Rim Park, British Columbia",25,5
"11","BI_NV","BC_NV","BC_NV",50.487651,-128.04074893,5,50.50581675,"North Vancouver Island, British Columbia",40,4
"12","PC_NV","BC_NV","BC_NV",50.5176714,-127.6544689,5,50.50581675,"North Vancouver Island, British Columbia",40,4
"13","KC_NV","BC_NV","BC_NV",50.521548,-127.576556,5,50.50581675,"North Vancouver Island, British Columbia",40,4
"14","KI_NV","BC_NV","BC_NV",50.4963966,-127.8562984,5,50.50581675,"North Vancouver Island, British Columbia",40,4
"15","FJ_PS","WA_PSb","WA_PS",48.4687187,-123.0033189,8,48.56628308,"Puget Sound & Padilla Bay, Washington",46,10
"16","FB_PS","WA_PSb","WA_PS",48.4829,-123.07476,8,48.56628308,"Puget Sound & Padilla Bay, Washington",46,10
"17","NC_PS","WA_PSb","WA_PS",48.7042064,-123.0551349,8,48.56628308,"Puget Sound & Padilla Bay, Washington",46,10
"18","IC_PS","WA_PSb","WA_PS",48.5634903,-122.9348941,8,48.56628308,"Puget Sound & Padilla Bay, Washington",46,10
"19","BH_PS","WA_PSb","WA_PS",48.6917494,-122.9527529,8,48.56628308,"Puget Sound & Padilla Bay, Washington",46,10
"20","LIE_HG","BC_HG","BC_HG",52.23234,-131.28337,3,52.397794,"Haida Gwaii, British Columbia",50,5
"21","ROI_HG","BC_HG","BC_HG",52.20462,-131.14229,3,52.397794,"Haida Gwaii, British Columbia",50,5
"22","BH_HG","BC_HG","BC_HG",52.34843,-131.36375,3,52.397794,"Haida Gwaii, British Columbia",50,5
"23","SB_HG","BC_HG","BC_HG",52.63074,-131.60835,3,52.397794,"Haida Gwaii, British Columbia",50,5
"24","RI_HG","BC_HG","BC_HG",52.57284,-131.39551,3,52.397794,"Haida Gwaii, British Columbia",50,5
"25","F_YB","OR_YB","OR_YB",44.6238,-124.0589,10,44.6191875,"Yaquina Bay, Oregon",40,4
"26","SN_YB","OR_YB","OR_YB",44.622867,-124.023817,10,44.6191875,"Yaquina Bay, Oregon",40,4
"27","SS_YB","OR_YB","OR_YB",44.61245,-124.013317,10,44.6191875,"Yaquina Bay, Oregon",40,4
"28","IF_YB","OR_YB","OR_YB",44.617633,-124.029183,10,44.6191875,"Yaquina Bay, Oregon",40,4
"29","RB_NC","CA_NCb","CA_NC",37.87402,-122.49204,11,38.063694,"Bodega Bay & San Francisco Bay, California",54,5
"30","PM_NC","CA_NCb","CA_NC",37.94615,-122.41951,11,38.063694,"Bodega Bay & San Francisco Bay, California",54,5
