term,intercept,std_error,df,t_value,pr_t,region_name,aic,random_variance,residual_variance,singular,model
(Intercept),9.642,3.486,14.82,2.766,0.015,AK_JN,37.141,0.037,0.328,FALSE,75th percentile SST
site_temp75,0.079,0.249,14.768,0.319,0.754,AK_JN,37.141,0.037,0.328,FALSE,75th percentile SST
(Intercept),-6.972,34.47,NA,-0.202,NA,AK_SE,16.267,0.226,0.222,TRUE,75th percentile SST
site_temp75,1.302,2.479,NA,0.525,NA,AK_SE,16.267,0.226,0.222,TRUE,75th percentile SST
(Intercept),-4.455,4.738,NA,-0.94,NA,BC_HG,54.854,0.109,0.356,TRUE,75th percentile SST
site_temp75,1.06,0.316,NA,3.356,NA,BC_HG,54.854,0.109,0.356,TRUE,75th percentile SST
(Intercept),20.314,11.737,14.144,1.731,0.105,BC_CC,54.684,0.499,0.898,FALSE,75th percentile SST
site_temp75,-0.602,0.751,14.203,-0.801,0.436,BC_CC,54.684,0.499,0.898,FALSE,75th percentile SST
(Intercept),15.643,2.722,13.573,5.747,0,BC_NV,35.81,0.101,0.333,FALSE,75th percentile SST
site_temp75,-0.329,0.193,13.497,-1.7,0.112,BC_NV,35.81,0.101,0.333,FALSE,75th percentile SST
(Intercept),12.105,4.018,14.415,3.013,0.009,BC_IC,31.445,0.086,0.212,FALSE,75th percentile SST
site_temp75,-0.014,0.225,14.444,-0.062,0.951,BC_IC,31.445,0.086,0.212,FALSE,75th percentile SST
(Intercept),15.883,3.318,17.602,4.786,0,BC_PP,46.521,0.128,0.238,FALSE,75th percentile SST
site_temp75,-0.306,0.217,17.768,-1.408,0.176,BC_PP,46.521,0.128,0.238,FALSE,75th percentile SST
(Intercept),11.604,0.813,29.612,14.281,0,WA_PS,42.405,0.042,0.156,FALSE,75th percentile SST
site_temp75,0.006,0.054,29.977,0.106,0.916,WA_PS,42.405,0.042,0.156,FALSE,75th percentile SST
(Intercept),11.379,2.257,17.758,5.04,0,WA_WB,40.291,0.167,0.284,FALSE,75th percentile SST
site_temp75,0.052,0.136,17.757,0.38,0.708,WA_WB,40.291,0.167,0.284,FALSE,75th percentile SST
(Intercept),18.973,4.626,9.625,4.102,0.002,OR_YB,10.219,0.044,0.095,FALSE,75th percentile SST
site_temp75,-0.542,0.336,9.564,-1.612,0.139,OR_YB,10.219,0.044,0.095,FALSE,75th percentile SST
(Intercept),10.98,6.847,2.108,1.604,0.244,OR_CB,10.932,0.727,0.614,FALSE,75th percentile SST
site_temp75,0.063,0.494,2.06,0.127,0.91,OR_CB,10.932,0.727,0.614,FALSE,75th percentile SST
(Intercept),44.504,0.198,2,224.956,0,CA_HB,0.153,0.088,0,FALSE,75th percentile SST
site_temp75,-2.36,0.007,2,-321.58,0,CA_HB,0.153,0.088,0,FALSE,75th percentile SST
(Intercept),21.715,11.476,NA,1.892,NA,CA_NC,49.809,0.914,2,TRUE,75th percentile SST
site_temp75,-0.595,0.783,NA,-0.76,NA,CA_NC,49.809,0.914,2,TRUE,75th percentile SST
(Intercept),27.107,6.671,8.076,4.064,0.004,CA_SF,34.894,0.068,1.605,FALSE,75th percentile SST
site_temp75,-0.731,0.379,8.083,-1.929,0.09,CA_SF,34.894,0.068,1.605,FALSE,75th percentile SST
(Intercept),15.258,1.51,4.137,10.102,0,CA_MB,2.38,0.068,0.033,FALSE,75th percentile SST
site_temp75,-0.052,0.098,4.004,-0.527,0.626,CA_MB,2.38,0.068,0.033,FALSE,75th percentile SST
(Intercept),-1.177,11.3,16.255,-0.104,0.918,CA_LA,56.417,0.466,0.802,FALSE,75th percentile SST
site_temp75,0.964,0.543,16.252,1.777,0.094,CA_LA,56.417,0.466,0.802,FALSE,75th percentile SST
(Intercept),40.778,21.328,12.352,1.912,0.079,CA_SD,64.744,0.537,2.939,FALSE,75th percentile SST
site_temp75,-0.983,0.968,12.309,-1.016,0.329,CA_SD,64.744,0.537,2.939,FALSE,75th percentile SST
