site_code,grpvar,term,grp,condval,condsd,region_name,model
1,site_code,(Intercept),JN_AN,0.134,0.159,AK_JN,75th
2,site_code,(Intercept),JN_BC,-0.126,0.159,AK_JN,75th
3,site_code,(Intercept),JN_EC,0.084,0.159,AK_JN,75th
4,site_code,(Intercept),JN_FC,-0.055,0.159,AK_JN,75th
5,site_code,(Intercept),JN_SB,-0.037,0.159,AK_JN,75th
1,site_code,(Intercept),SE_GK,0.415,0.273,AK_SE,75th
2,site_code,(Intercept),SE_NF,0.049,0.335,AK_SE,75th
3,site_code,(Intercept),SE_NS,-0.087,0.273,AK_SE,75th
4,site_code,(Intercept),SE_NZ,-0.028,0.273,AK_SE,75th
5,site_code,(Intercept),SE_RF,-0.036,0.273,AK_SE,75th
6,site_code,(Intercept),SE_SH,-0.314,0.273,AK_SE,75th
1,site_code,(Intercept),HG_BH,-0.251,0.238,BC_HG,75th
2,site_code,(Intercept),HG_DN,0.073,0.26,BC_HG,75th
3,site_code,(Intercept),HG_DSD,0.194,0.238,BC_HG,75th
4,site_code,(Intercept),HG_LIE,0.005,0.238,BC_HG,75th
5,site_code,(Intercept),HG_MDD,-0.142,0.238,BC_HG,75th
6,site_code,(Intercept),HG_RI,0.083,0.221,BC_HG,75th
7,site_code,(Intercept),HG_ROI,-0.207,0.238,BC_HG,75th
8,site_code,(Intercept),HG_SB,0.046,0.221,BC_HG,75th
9,site_code,(Intercept),HG_TK,0.198,0.26,BC_HG,75th
1,site_code,(Intercept),CC_CHP,-0.937,0.433,BC_CC,75th
2,site_code,(Intercept),CC_FAN3,0.48,0.393,BC_CC,75th
3,site_code,(Intercept),CC_GOG1,-0.346,0.393,BC_CC,75th
4,site_code,(Intercept),CC_KIS1,0.356,0.566,BC_CC,75th
5,site_code,(Intercept),CC_KIS2,0.088,0.433,BC_CC,75th
6,site_code,(Intercept),CC_PBA,0.359,0.393,BC_CC,75th
1,site_code,(Intercept),NV_BI,0.018,0.213,BC_NV,75th
2,site_code,(Intercept),NV_JL,-0.16,0.23,BC_NV,75th
3,site_code,(Intercept),NV_KB,0.181,0.213,BC_NV,75th
4,site_code,(Intercept),NV_KC,-0.289,0.213,BC_NV,75th
5,site_code,(Intercept),NV_PC,0.25,0.23,BC_NV,75th
1,site_code,(Intercept),IC_GOW,-0.151,0.181,BC_IC,75th
2,site_code,(Intercept),IC_MAB,0.383,0.181,BC_IC,75th
3,site_code,(Intercept),IC_OPB,-0.128,0.181,BC_IC,75th
4,site_code,(Intercept),IC_SHS,-0.039,0.181,BC_IC,75th
5,site_code,(Intercept),IC_SMB,-0.066,0.181,BC_IC,75th
1,site_code,(Intercept),PP_C,-0.454,0.202,BC_PP,75th
2,site_code,(Intercept),PP_E,-0.186,0.221,BC_PP,75th
