term,intercept,std_error,df,t_value,pr_t,region_name,aic,random_variance,residual_variance,singular,model
(Intercept),10.52,2.939,14.616,3.579,0.003,AK_JN,37.384,0.038,0.329,FALSE,Mean SST
sst_mean,0.018,0.231,14.541,0.079,0.938,AK_JN,37.384,0.038,0.329,FALSE,Mean SST
(Intercept),30.643,21.348,NA,1.435,NA,AK_SE,15.237,0.119,0.222,TRUE,Mean SST
sst_mean,-1.51,1.652,NA,-0.914,NA,AK_SE,15.237,0.119,0.222,TRUE,Mean SST
(Intercept),2.151,4.941,NA,0.435,NA,BC_HG,60.86,0.12,0.464,TRUE,Mean SST
sst_mean,0.685,0.364,NA,1.88,NA,BC_HG,60.86,0.12,0.464,TRUE,Mean SST
(Intercept),10.275,27.327,16.105,0.376,0.712,BC_CC,53.479,0.538,0.924,FALSE,Mean SST
sst_mean,0.045,1.91,16.135,0.023,0.982,BC_CC,53.479,0.538,0.924,FALSE,Mean SST
(Intercept),17.064,4.328,14.062,3.942,0.001,BC_NV,35.579,0.1,0.353,FALSE,Mean SST
sst_mean,-0.467,0.334,14.048,-1.396,0.184,BC_NV,35.579,0.1,0.353,FALSE,Mean SST
(Intercept),13.53,3.492,17.271,3.875,0.001,BC_IC,31.301,0.075,0.213,FALSE,Mean SST
sst_mean,-0.103,0.214,17.296,-0.48,0.637,BC_IC,31.301,0.075,0.213,FALSE,Mean SST
(Intercept),21.339,6.491,17.874,3.288,0.004,BC_PP,44.984,0.159,0.222,FALSE,Mean SST
sst_mean,-0.708,0.454,17.921,-1.56,0.136,BC_PP,44.984,0.159,0.222,FALSE,Mean SST
(Intercept),11.569,1.18,25.831,9.801,0,WA_PS,41.481,0.044,0.155,FALSE,Mean SST
sst_mean,0.009,0.086,26.805,0.102,0.919,WA_PS,41.481,0.044,0.155,FALSE,Mean SST
(Intercept),12.613,2.427,17.649,5.196,0,WA_WB,40.122,0.145,0.296,FALSE,Mean SST
sst_mean,-0.025,0.155,17.671,-0.16,0.875,WA_WB,40.122,0.145,0.296,FALSE,Mean SST
(Intercept),14.423,3.839,10.055,3.757,0.004,OR_YB,12.355,0.039,0.116,FALSE,Mean SST
sst_mean,-0.226,0.299,9.97,-0.757,0.467,OR_YB,12.355,0.039,0.116,FALSE,Mean SST
(Intercept),0.589,13.919,2.01,0.042,0.97,OR_CB,8.512,0.755,0.474,FALSE,Mean SST
sst_mean,0.895,1.106,2,0.809,0.503,OR_CB,8.512,0.755,0.474,FALSE,Mean SST
(Intercept),96.576,0.534,2,180.94,0,CA_HB,-0.024,0.224,0,FALSE,Mean SST
sst_mean,-6.569,0.036,2,-183.148,0,CA_HB,-0.024,0.224,0,FALSE,Mean SST
(Intercept),27.13,8.997,NA,3.015,NA,CA_NC,48.473,0.849,1.729,TRUE,Mean SST
sst_mean,-1.026,0.652,NA,-1.573,NA,CA_NC,48.473,0.849,1.729,TRUE,Mean SST
(Intercept),24.711,4.633,NA,5.334,NA,CA_SF,37.718,2.931,1.322,TRUE,Mean SST
sst_mean,-0.636,0.274,NA,-2.32,NA,CA_SF,37.718,2.931,1.322,TRUE,Mean SST
(Intercept),15.702,1.893,4.089,8.296,0.001,CA_MB,1.663,0.067,0.032,FALSE,Mean SST
sst_mean,-0.084,0.129,4.004,-0.655,0.548,CA_MB,1.663,0.067,0.032,FALSE,Mean SST
(Intercept),20.028,11.84,16.367,1.691,0.11,CA_LA,58.769,0.165,1.09,FALSE,Mean SST
sst_mean,-0.056,0.595,16.4,-0.093,0.927,CA_LA,58.769,0.165,1.09,FALSE,Mean SST
(Intercept),31.836,13.721,12.475,2.32,0.038,CA_SD,65.693,0.552,2.966,FALSE,Mean SST
sst_mean,-0.61,0.658,12.403,-0.927,0.372,CA_SD,65.693,0.552,2.966,FALSE,Mean SST
