site_code,grpvar,term,grp,condval,condsd,region_name,model
1,site_code,(Intercept),JN_AN,0.135,0.161,AK_JN,Mean SST
2,site_code,(Intercept),JN_BC,-0.129,0.161,AK_JN,Mean SST
3,site_code,(Intercept),JN_EC,0.088,0.161,AK_JN,Mean SST
4,site_code,(Intercept),JN_FC,-0.058,0.161,AK_JN,Mean SST
5,site_code,(Intercept),JN_SB,-0.036,0.161,AK_JN,Mean SST
1,site_code,(Intercept),SE_GK,0.202,0.239,AK_SE,Mean SST
2,site_code,(Intercept),SE_NF,0.02,0.278,AK_SE,Mean SST
3,site_code,(Intercept),SE_NS,-0.185,0.239,AK_SE,Mean SST
4,site_code,(Intercept),SE_NZ,-0.018,0.239,AK_SE,Mean SST
5,site_code,(Intercept),SE_RF,-0.024,0.239,AK_SE,Mean SST
6,site_code,(Intercept),SE_SH,0.005,0.239,AK_SE,Mean SST
1,site_code,(Intercept),HG_BH,-0.169,0.26,BC_HG,Mean SST
2,site_code,(Intercept),HG_DN,0.103,0.281,BC_HG,Mean SST
3,site_code,(Intercept),HG_DSD,0.026,0.26,BC_HG,Mean SST
4,site_code,(Intercept),HG_LIE,0.005,0.26,BC_HG,Mean SST
5,site_code,(Intercept),HG_MDD,-0.285,0.26,BC_HG,Mean SST
6,site_code,(Intercept),HG_RI,0.069,0.243,BC_HG,Mean SST
7,site_code,(Intercept),HG_ROI,-0.081,0.26,BC_HG,Mean SST
8,site_code,(Intercept),HG_SB,0.066,0.243,BC_HG,Mean SST
9,site_code,(Intercept),HG_TK,0.266,0.281,BC_HG,Mean SST
1,site_code,(Intercept),CC_CHP,-0.959,0.443,BC_CC,Mean SST
2,site_code,(Intercept),CC_FAN3,0.441,0.402,BC_CC,Mean SST
3,site_code,(Intercept),CC_GOG1,-0.371,0.402,BC_CC,Mean SST
4,site_code,(Intercept),CC_KIS1,0.49,0.583,BC_CC,Mean SST
5,site_code,(Intercept),CC_KIS2,0.07,0.443,BC_CC,Mean SST
6,site_code,(Intercept),CC_PBA,0.328,0.402,BC_CC,Mean SST
1,site_code,(Intercept),NV_BI,0.016,0.217,BC_NV,Mean SST
2,site_code,(Intercept),NV_JL,-0.16,0.232,BC_NV,Mean SST
3,site_code,(Intercept),NV_KB,0.179,0.217,BC_NV,Mean SST
4,site_code,(Intercept),NV_KC,-0.28,0.217,BC_NV,Mean SST
5,site_code,(Intercept),NV_PC,0.245,0.232,BC_NV,Mean SST
1,site_code,(Intercept),IC_GOW,-0.157,0.177,BC_IC,Mean SST
2,site_code,(Intercept),IC_MAB,0.344,0.177,BC_IC,Mean SST
3,site_code,(Intercept),IC_OPB,-0.137,0.177,BC_IC,Mean SST
4,site_code,(Intercept),IC_SHS,-0.019,0.177,BC_IC,Mean SST
5,site_code,(Intercept),IC_SMB,-0.031,0.177,BC_IC,Mean SST
1,site_code,(Intercept),PP_C,-0.531,0.203,BC_PP,Mean SST
2,site_code,(Intercept),PP_E,-0.248,0.225,BC_PP,Mean SST
3,site_code,(Intercept),PP_EB,0.302,0.304,BC_PP,Mean SST
4,site_code,(Intercept),PP_G,0.376,0.304,BC_PP,Mean SST
5,site_code,(Intercept),PP_HI,0.255,0.203,BC_PP,Mean SST
6,site_code,(Intercept),PP_JJ,0.177,0.203,BC_PP,Mean SST
7,site_code,(Intercept),PP_K,-0.259,0.304,BC_PP,Mean SST
8,site_code,(Intercept),PP_M,0.13,0.304,BC_PP,Mean SST
9,site_code,(Intercept),PP_MB,0.342,0.225,BC_PP,Mean SST
10,site_code,(Intercept),PP_MI,-0.295,0.304,BC_PP,Mean SST
11,site_code,(Intercept),PP_O,-0.031,0.304,BC_PP,Mean SST
12,site_code,(Intercept),PP_S,-0.189,0.304,BC_PP,Mean SST
13,site_code,(Intercept),PP_SI,-0.03,0.304,BC_PP,Mean SST
1,site_code,(Intercept),PS_BB,0.035,0.168,WA_PS,Mean SST
2,site_code,(Intercept),PS_BH,0.26,0.154,WA_PS,Mean SST
3,site_code,(Intercept),PS_BP,-0.086,0.185,WA_PS,Mean SST
4,site_code,(Intercept),PS_BV,-0.147,0.144,WA_PS,Mean SST
5,site_code,(Intercept),PS_FB,-0.116,0.144,WA_PS,Mean SST
6,site_code,(Intercept),PS_FJ,0.158,0.144,WA_PS,Mean SST
7,site_code,(Intercept),PS_IC,0.123,0.144,WA_PS,Mean SST
8,site_code,(Intercept),PS_NC,-0.086,0.144,WA_PS,Mean SST
9,site_code,(Intercept),PS_SH,-0.003,0.144,WA_PS,Mean SST
10,site_code,(Intercept),PS_SP,-0.133,0.185,WA_PS,Mean SST
11,site_code,(Intercept),PS_YB,-0.006,0.185,WA_PS,Mean SST
1,site_code,(Intercept),WB_BC,0.296,0.242,WA_WB,Mean SST
2,site_code,(Intercept),WB_CO,-0.038,0.312,WA_WB,Mean SST
3,site_code,(Intercept),WB_DP,-0.193,0.221,WA_WB,Mean SST
4,site_code,(Intercept),WB_PA,-0.371,0.221,WA_WB,Mean SST
5,site_code,(Intercept),WB_SB,0.033,0.271,WA_WB,Mean SST
6,site_code,(Intercept),WB_SP,0.258,0.312,WA_WB,Mean SST
7,site_code,(Intercept),WB_ST,0.13,0.312,WA_WB,Mean SST
8,site_code,(Intercept),WB_WP,0.225,0.312,WA_WB,Mean SST
9,site_code,(Intercept),WB_WR,-0.342,0.242,WA_WB,Mean SST
1,site_code,(Intercept),YB_F,0.003,0.17,OR_YB,Mean SST
2,site_code,(Intercept),YB_IF,-0.072,0.129,OR_YB,Mean SST
3,site_code,(Intercept),YB_SBN,0.187,0.129,OR_YB,Mean SST
4,site_code,(Intercept),YB_SBS,-0.118,0.129,OR_YB,Mean SST
1,site_code,(Intercept),CB_BV,0.547,0.362,OR_CB,Mean SST
2,site_code,(Intercept),CB_FP,-0.547,0.425,OR_CB,Mean SST
1,site_code,(Intercept),HB_EB,-0.525,0.004,CA_HB,Mean SST
2,site_code,(Intercept),HB_KS,0.394,0.004,CA_HB,Mean SST
3,site_code,(Intercept),HB_SR,0.131,0.003,CA_HB,Mean SST
1,site_code,(Intercept),NC_B,-0.609,0.755,CA_NC,Mean SST
2,site_code,(Intercept),NC_BL,0.188,0.654,CA_NC,Mean SST
3,site_code,(Intercept),NC_D,-0.195,0.755,CA_NC,Mean SST
4,site_code,(Intercept),NC_DE,0.127,0.586,CA_NC,Mean SST
5,site_code,(Intercept),NC_E,0.524,0.755,CA_NC,Mean SST
6,site_code,(Intercept),NC_NC,0.329,0.654,CA_NC,Mean SST
7,site_code,(Intercept),NC_WP,-0.364,0.535,CA_NC,Mean SST
1,site_code,(Intercept),NC_PM,0.642,0.545,CA_SF,Mean SST
2,site_code,(Intercept),NC_PS,-0.029,0.545,CA_SF,Mean SST
3,site_code,(Intercept),NC_RB,-0.613,0.619,CA_SF,Mean SST
1,site_code,(Intercept),MB_CB,-0.172,0.084,CA_MB,Mean SST
2,site_code,(Intercept),MB_TP,0.172,0.096,CA_MB,Mean SST
1,site_code,(Intercept),LA_AB,-0.328,0.337,CA_LA,Mean SST
2,site_code,(Intercept),LA_JD,0.139,0.321,CA_LA,Mean SST
3,site_code,(Intercept),LA_LN,-0.023,0.321,CA_LA,Mean SST
4,site_code,(Intercept),LA_MS,0.308,0.337,CA_LA,Mean SST
5,site_code,(Intercept),LA_SP,-0.185,0.356,CA_LA,Mean SST
6,site_code,(Intercept),LA_UN,0.089,0.321,CA_LA,Mean SST
1,site_code,(Intercept),SD_CI,-0.264,0.634,CA_SD,Mean SST
2,site_code,(Intercept),SD_CV,0.049,0.562,CA_SD,Mean SST
3,site_code,(Intercept),SD_FI,0.141,0.595,CA_SD,Mean SST
4,site_code,(Intercept),SD_KF,0.284,0.634,CA_SD,Mean SST
5,site_code,(Intercept),SD_SDL,0.49,0.634,CA_SD,Mean SST
6,site_code,(Intercept),SD_SI,-0.7,0.562,CA_SD,Mean SST
