region_label,model,type,aic,random_variance,residual_variance,term,intercept,std_error,df,t_value,pr_t
"Juneau Region, Alaska",95th percentile SST,LME,37.366,0.04,0.327,Intercept,11.423,3.53,14.754,3.236,0.006
"Juneau Region, Alaska",95th percentile SST,LME,37.366,0.04,0.327,95th percentile SST,-0.044,0.229,14.702,-0.19,0.852
"Juneau Region, Alaska",75th percentile SST,LME,37.141,0.037,0.328,Intercept,9.642,3.486,14.82,2.766,0.015
"Juneau Region, Alaska",75th percentile SST,LME,37.141,0.037,0.328,75th percentile SST,0.079,0.249,14.768,0.319,0.754
"Juneau Region, Alaska",Mean SST,LME,37.384,0.038,0.329,Intercept,10.52,2.939,14.616,3.579,0.003
"Juneau Region, Alaska",Mean SST,LME,37.384,0.038,0.329,Mean SST,0.018,0.231,14.541,0.079,0.938
Southeast Alaska,95th percentile SST,BLME,16.558,0.099,0.212,Intercept,21.324,8.546,NA,2.495,NA
Southeast Alaska,95th percentile SST,BLME,16.558,0.099,0.212,95th percentile SST,-0.691,0.579,NA,-1.193,NA
Southeast Alaska,75th percentile SST,BLME,16.267,0.226,0.222,Intercept,-6.972,34.47,NA,-0.202,NA
Southeast Alaska,75th percentile SST,BLME,16.267,0.226,0.222,75th percentile SST,1.302,2.479,NA,0.525,NA
Southeast Alaska,Mean SST,BLME,15.237,0.119,0.222,Intercept,30.643,21.348,NA,1.435,NA
Southeast Alaska,Mean SST,BLME,15.237,0.119,0.222,Mean SST,-1.51,1.652,NA,-0.914,NA
"Haida Gwaii, British Columbia",95th percentile SST,BLME,58.267,0.097,0.411,Intercept,1.182,3.702,NA,0.319,NA
"Haida Gwaii, British Columbia",95th percentile SST,BLME,58.267,0.097,0.411,95th percentile SST,0.645,0.233,NA,2.772,NA
"Haida Gwaii, British Columbia",75th percentile SST,BLME,54.854,0.109,0.356,Intercept,-4.455,4.738,NA,-0.94,NA
"Haida Gwaii, British Columbia",75th percentile SST,BLME,54.854,0.109,0.356,75th percentile SST,1.06,0.316,NA,3.356,NA
"Haida Gwaii, British Columbia",Mean SST,BLME,60.86,0.12,0.464,Intercept,2.151,4.941,NA,0.435,NA
"Haida Gwaii, British Columbia",Mean SST,BLME,60.86,0.12,0.464,Mean SST,0.685,0.364,NA,1.88,NA
Central Coast British Columbia,95th percentile SST,LME,53.195,0.582,0.894,Intercept,26.261,32.257,16.949,0.814,0.427
Central Coast British Columbia,95th percentile SST,LME,53.195,0.582,0.894,95th percentile SST,-0.931,1.957,16.941,-0.476,0.64
Central Coast British Columbia,75th percentile SST,LME,54.684,0.499,0.898,Intercept,20.314,11.737,14.144,1.731,0.105
Central Coast British Columbia,75th percentile SST,LME,54.684,0.499,0.898,75th percentile SST,-0.602,0.751,14.203,-0.801,0.436
Central Coast British Columbia,Mean SST,LME,53.479,0.538,0.924,Intercept,10.275,27.327,16.105,0.376,0.712
Central Coast British Columbia,Mean SST,LME,53.479,0.538,0.924,Mean SST,0.045,1.91,16.135,0.023,0.982
"North Vancouver Island, British Columbia",95th percentile SST,LME,31.782,0.133,0.253,Intercept,22.029,4.064,13.06,5.42,0
"North Vancouver Island, British Columbia",95th percentile SST,LME,31.782,0.133,0.253,95th percentile SST,-0.721,0.266,13.016,-2.71,0.018
"North Vancouver Island, British Columbia",75th percentile SST,LME,35.81,0.101,0.333,Intercept,15.643,2.722,13.573,5.747,0
"North Vancouver Island, British Columbia",75th percentile SST,LME,35.81,0.101,0.333,75th percentile SST,-0.329,0.193,13.497,-1.7,0.112
"North Vancouver Island, British Columbia",Mean SST,LME,35.579,0.1,0.353,Intercept,17.064,4.328,14.062,3.942,0.001
"North Vancouver Island, British Columbia",Mean SST,LME,35.579,0.1,0.353,Mean SST,-0.467,0.334,14.048,-1.396,0.184
"Inner Coast, British Columbia",95th percentile SST,LME,31.125,0.084,0.213,Intercept,12.095,5.052,16.487,2.394,0.029
"Inner Coast, British Columbia",95th percentile SST,LME,31.125,0.084,0.213,95th percentile SST,-0.013,0.264,16.503,-0.047,0.963
"Inner Coast, British Columbia",75th percentile SST,LME,31.445,0.086,0.212,Intercept,12.105,4.018,14.415,3.013,0.009
"Inner Coast, British Columbia",75th percentile SST,LME,31.445,0.086,0.212,75th percentile SST,-0.014,0.225,14.444,-0.062,0.951
"Inner Coast, British Columbia",Mean SST,LME,31.301,0.075,0.213,Intercept,13.53,3.492,17.271,3.875,0.001
"Inner Coast, British Columbia",Mean SST,LME,31.301,0.075,0.213,Mean SST,-0.103,0.214,17.296,-0.48,0.637
"Pacific Rim Park, British Columbia",95th percentile SST,LME,46.024,0.12,0.247,Intercept,18.058,5.579,18.385,3.237,0.004
"Pacific Rim Park, British Columbia",95th percentile SST,LME,46.024,0.12,0.247,95th percentile SST,-0.413,0.336,18.245,-1.227,0.235
"Pacific Rim Park, British Columbia",75th percentile SST,LME,46.521,0.128,0.238,Intercept,15.883,3.318,17.602,4.786,0
"Pacific Rim Park, British Columbia",75th percentile SST,LME,46.521,0.128,0.238,75th percentile SST,-0.306,0.217,17.768,-1.408,0.176
"Pacific Rim Park, British Columbia",Mean SST,LME,44.984,0.159,0.222,Intercept,21.339,6.491,17.874,3.288,0.004
"Pacific Rim Park, British Columbia",Mean SST,LME,44.984,0.159,0.222,Mean SST,-0.708,0.454,17.921,-1.56,0.136
"Puget Sound & Padilla Bay, Washington",95th percentile SST,LME,42.083,0.044,0.155,Intercept,11.419,0.997,29.624,11.456,0
"Puget Sound & Padilla Bay, Washington",95th percentile SST,LME,42.083,0.044,0.155,95th percentile SST,0.017,0.061,29.946,0.273,0.787
"Puget Sound & Padilla Bay, Washington",75th percentile SST,LME,42.405,0.042,0.156,Intercept,11.604,0.813,29.612,14.281,0
"Puget Sound & Padilla Bay, Washington",75th percentile SST,LME,42.405,0.042,0.156,75th percentile SST,0.006,0.054,29.977,0.106,0.916
