region_label,grp,condval,condsd,model
"Juneau Region, Alaska",JN_AN,0.14,0.164,95th percentile SST
"Juneau Region, Alaska",JN_BC,-0.136,0.164,95th percentile SST
"Juneau Region, Alaska",JN_EC,0.095,0.164,95th percentile SST
"Juneau Region, Alaska",JN_FC,-0.063,0.164,95th percentile SST
"Juneau Region, Alaska",JN_SB,-0.035,0.164,95th percentile SST
"Juneau Region, Alaska",JN_AN,0.134,0.159,75th
"Juneau Region, Alaska",JN_BC,-0.126,0.159,75th
"Juneau Region, Alaska",JN_EC,0.084,0.159,75th
"Juneau Region, Alaska",JN_FC,-0.055,0.159,75th
"Juneau Region, Alaska",JN_SB,-0.037,0.159,75th
"Juneau Region, Alaska",JN_AN,0.135,0.161,Mean SST
"Juneau Region, Alaska",JN_BC,-0.129,0.161,Mean SST
"Juneau Region, Alaska",JN_EC,0.088,0.161,Mean SST
"Juneau Region, Alaska",JN_FC,-0.058,0.161,Mean SST
"Juneau Region, Alaska",JN_SB,-0.036,0.161,Mean SST
Southeast Alaska,SE_GK,0.216,0.226,95th percentile SST
Southeast Alaska,SE_NF,-0.003,0.26,95th percentile SST
Southeast Alaska,SE_NS,-0.141,0.226,95th percentile SST
Southeast Alaska,SE_NZ,-0.013,0.226,95th percentile SST
Southeast Alaska,SE_RF,-0.018,0.226,95th percentile SST
Southeast Alaska,SE_SH,-0.041,0.226,95th percentile SST
Southeast Alaska,SE_GK,0.415,0.273,75th
Southeast Alaska,SE_NF,0.049,0.335,75th
Southeast Alaska,SE_NS,-0.087,0.273,75th
Southeast Alaska,SE_NZ,-0.028,0.273,75th
Southeast Alaska,SE_RF,-0.036,0.273,75th
Southeast Alaska,SE_SH,-0.314,0.273,75th
Southeast Alaska,SE_GK,0.202,0.239,Mean SST
Southeast Alaska,SE_NF,0.02,0.278,Mean SST
Southeast Alaska,SE_NS,-0.185,0.239,Mean SST
Southeast Alaska,SE_NZ,-0.018,0.239,Mean SST
Southeast Alaska,SE_RF,-0.024,0.239,Mean SST
Southeast Alaska,SE_SH,0.005,0.239,Mean SST
"Haida Gwaii, British Columbia",HG_BH,-0.179,0.238,95th percentile SST
"Haida Gwaii, British Columbia",HG_DN,0.081,0.256,95th percentile SST
"Haida Gwaii, British Columbia",HG_DSD,0.084,0.238,95th percentile SST
"Haida Gwaii, British Columbia",HG_LIE,0.009,0.238,95th percentile SST
"Haida Gwaii, British Columbia",HG_MDD,-0.209,0.238,95th percentile SST
"Haida Gwaii, British Columbia",HG_RI,0.045,0.223,95th percentile SST
"Haida Gwaii, British Columbia",HG_ROI,-0.07,0.238,95th percentile SST
"Haida Gwaii, British Columbia",HG_SB,0.005,0.223,95th percentile SST
"Haida Gwaii, British Columbia",HG_TK,0.236,0.256,95th percentile SST
"Haida Gwaii, British Columbia",HG_BH,-0.251,0.238,75th
"Haida Gwaii, British Columbia",HG_DN,0.073,0.26,75th
"Haida Gwaii, British Columbia",HG_DSD,0.194,0.238,75th
"Haida Gwaii, British Columbia",HG_LIE,0.005,0.238,75th
"Haida Gwaii, British Columbia",HG_MDD,-0.142,0.238,75th
"Haida Gwaii, British Columbia",HG_RI,0.083,0.221,75th
"Haida Gwaii, British Columbia",HG_ROI,-0.207,0.238,75th
"Haida Gwaii, British Columbia",HG_SB,0.046,0.221,75th
"Haida Gwaii, British Columbia",HG_TK,0.198,0.26,75th
"Haida Gwaii, British Columbia",HG_BH,-0.169,0.26,Mean SST
"Haida Gwaii, British Columbia",HG_DN,0.103,0.281,Mean SST
"Haida Gwaii, British Columbia",HG_DSD,0.026,0.26,Mean SST
"Haida Gwaii, British Columbia",HG_LIE,0.005,0.26,Mean SST
"Haida Gwaii, British Columbia",HG_MDD,-0.285,0.26,Mean SST
"Haida Gwaii, British Columbia",HG_RI,0.069,0.243,Mean SST
"Haida Gwaii, British Columbia",HG_ROI,-0.081,0.26,Mean SST
"Haida Gwaii, British Columbia",HG_SB,0.066,0.243,Mean SST
"Haida Gwaii, British Columbia",HG_TK,0.266,0.281,Mean SST
Central Coast British Columbia,CC_CHP,-1.042,0.444,95th percentile SST
Central Coast British Columbia,CC_FAN3,0.515,0.402,95th percentile SST
Central Coast British Columbia,CC_GOG1,-0.347,0.402,95th percentile SST
Central Coast British Columbia,CC_KIS1,0.405,0.594,95th percentile SST
Central Coast British Columbia,CC_KIS2,0.15,0.444,95th percentile SST
Central Coast British Columbia,CC_PBA,0.319,0.402,95th percentile SST
Central Coast British Columbia,CC_CHP,-0.937,0.433,75th
Central Coast British Columbia,CC_FAN3,0.48,0.393,75th
Central Coast British Columbia,CC_GOG1,-0.346,0.393,75th
Central Coast British Columbia,CC_KIS1,0.356,0.566,75th
Central Coast British Columbia,CC_KIS2,0.088,0.433,75th
Central Coast British Columbia,CC_PBA,0.359,0.393,75th
Central Coast British Columbia,CC_CHP,-0.959,0.443,Mean SST
Central Coast British Columbia,CC_FAN3,0.441,0.402,Mean SST
Central Coast British Columbia,CC_GOG1,-0.371,0.402,Mean SST
Central Coast British Columbia,CC_KIS1,0.49,0.583,Mean SST
Central Coast British Columbia,CC_KIS2,0.07,0.443,Mean SST
Central Coast British Columbia,CC_PBA,0.328,0.402,Mean SST
"North Vancouver Island, British Columbia",NV_BI,0.036,0.207,95th percentile SST
"North Vancouver Island, British Columbia",NV_JL,-0.186,0.227,95th percentile SST
"North Vancouver Island, British Columbia",NV_KB,0.239,0.207,95th percentile SST
"North Vancouver Island, British Columbia",NV_KC,-0.394,0.207,95th percentile SST
"North Vancouver Island, British Columbia",NV_PC,0.305,0.227,95th percentile SST
"North Vancouver Island, British Columbia",NV_BI,0.018,0.213,75th
"North Vancouver Island, British Columbia",NV_JL,-0.16,0.23,75th
"North Vancouver Island, British Columbia",NV_KB,0.181,0.213,75th
"North Vancouver Island, British Columbia",NV_KC,-0.289,0.213,75th
"North Vancouver Island, British Columbia",NV_PC,0.25,0.23,75th
"North Vancouver Island, British Columbia",NV_BI,0.016,0.217,Mean SST
"North Vancouver Island, British Columbia",NV_JL,-0.16,0.232,Mean SST
"North Vancouver Island, British Columbia",NV_KB,0.179,0.217,Mean SST
"North Vancouver Island, British Columbia",NV_KC,-0.28,0.217,Mean SST
"North Vancouver Island, British Columbia",NV_PC,0.245,0.232,Mean SST
"Inner Coast, British Columbia",IC_GOW,-0.148,0.18,95th percentile SST
"Inner Coast, British Columbia",IC_MAB,0.38,0.18,95th percentile SST
"Inner Coast, British Columbia",IC_OPB,-0.125,0.18,95th percentile SST
"Inner Coast, British Columbia",IC_SHS,-0.04,0.18,95th percentile SST
"Inner Coast, British Columbia",IC_SMB,-0.067,0.18,95th percentile SST
"Inner Coast, British Columbia",IC_GOW,-0.151,0.181,75th
"Inner Coast, British Columbia",IC_MAB,0.383,0.181,75th
"Inner Coast, British Columbia",IC_OPB,-0.128,0.181,75th
"Inner Coast, British Columbia",IC_SHS,-0.039,0.181,75th
"Inner Coast, British Columbia",IC_SMB,-0.066,0.181,75th
"Inner Coast, British Columbia",IC_GOW,-0.157,0.177,Mean SST
"Inner Coast, British Columbia",IC_MAB,0.344,0.177,Mean SST
"Inner Coast, British Columbia",IC_OPB,-0.137,0.177,Mean SST
"Inner Coast, British Columbia",IC_SHS,-0.019,0.177,Mean SST
"Inner Coast, British Columbia",IC_SMB,-0.031,0.177,Mean SST
"Pacific Rim Park, British Columbia",PP_C,-0.467,0.202,95th percentile SST
"Pacific Rim Park, British Columbia",PP_E,-0.27,0.221,95th percentile SST
"Pacific Rim Park, British Columbia",PP_EB,0.299,0.284,95th percentile SST
"Pacific Rim Park, British Columbia",PP_G,0.234,0.284,95th percentile SST
"Pacific Rim Park, British Columbia",PP_HI,0.162,0.202,95th percentile SST
"Pacific Rim Park, British Columbia",PP_JJ,0.086,0.202,95th percentile SST
"Pacific Rim Park, British Columbia",PP_K,-0.166,0.284,95th percentile SST
"Pacific Rim Park, British Columbia",PP_M,0.161,0.284,95th percentile SST
"Pacific Rim Park, British Columbia",PP_MB,0.245,0.221,95th percentile SST
"Pacific Rim Park, British Columbia",PP_MI,-0.183,0.284,95th percentile SST
"Pacific Rim Park, British Columbia",PP_O,0.038,0.284,95th percentile SST
"Pacific Rim Park, British Columbia",PP_S,-0.091,0.284,95th percentile SST
"Pacific Rim Park, British Columbia",PP_SI,-0.05,0.284,95th percentile SST
"Pacific Rim Park, British Columbia",PP_C,-0.454,0.202,75th
"Pacific Rim Park, British Columbia",PP_E,-0.186,0.221,75th
"Pacific Rim Park, British Columbia",PP_EB,0.262,0.289,75th
"Pacific Rim Park, British Columbia",PP_G,0.282,0.289,75th
"Pacific Rim Park, British Columbia",PP_HI,0.22,0.202,75th
"Pacific Rim Park, British Columbia",PP_JJ,0.166,0.202,75th
"Pacific Rim Park, British Columbia",PP_K,-0.208,0.289,75th
"Pacific Rim Park, British Columbia",PP_M,0.108,0.289,75th
"Pacific Rim Park, British Columbia",PP_MB,0.309,0.221,75th
"Pacific Rim Park, British Columbia",PP_MI,-0.241,0.289,75th
"Pacific Rim Park, British Columbia",PP_O,-0.018,0.289,75th
"Pacific Rim Park, British Columbia",PP_S,-0.166,0.289,75th
"Pacific Rim Park, British Columbia",PP_SI,-0.075,0.289,75th
"Pacific Rim Park, British Columbia",PP_C,-0.531,0.203,Mean SST
"Pacific Rim Park, British Columbia",PP_E,-0.248,0.225,Mean SST
"Pacific Rim Park, British Columbia",PP_EB,0.302,0.304,Mean SST
"Pacific Rim Park, British Columbia",PP_G,0.376,0.304,Mean SST
"Pacific Rim Park, British Columbia",PP_HI,0.255,0.203,Mean SST
"Pacific Rim Park, British Columbia",PP_JJ,0.177,0.203,Mean SST
"Pacific Rim Park, British Columbia",PP_K,-0.259,0.304,Mean SST
"Pacific Rim Park, British Columbia",PP_M,0.13,0.304,Mean SST
"Pacific Rim Park, British Columbia",PP_MB,0.342,0.225,Mean SST
"Pacific Rim Park, British Columbia",PP_MI,-0.295,0.304,Mean SST
"Pacific Rim Park, British Columbia",PP_O,-0.031,0.304,Mean SST
"Pacific Rim Park, British Columbia",PP_S,-0.189,0.304,Mean SST
"Pacific Rim Park, British Columbia",PP_SI,-0.03,0.304,Mean SST
"Puget Sound & Padilla Bay, Washington",PS_BB,0.035,0.167,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_BH,0.255,0.154,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_BP,-0.092,0.184,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_BV,-0.145,0.143,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_FB,-0.11,0.143,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_FJ,0.162,0.143,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_IC,0.126,0.143,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_NC,-0.087,0.143,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_SH,0,0.143,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_SP,-0.135,0.184,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_YB,-0.01,0.184,95th percentile SST
"Puget Sound & Padilla Bay, Washington",PS_BB,0.036,0.166,75th
"Puget Sound & Padilla Bay, Washington",PS_BH,0.253,0.153,75th
"Puget Sound & Padilla Bay, Washington",PS_BP,-0.083,0.182,75th
"Puget Sound & Padilla Bay, Washington",PS_BV,-0.144,0.142,75th
"Puget Sound & Padilla Bay, Washington",PS_FB,-0.114,0.142,75th
"Puget Sound & Padilla Bay, Washington",PS_FJ,0.153,0.142,75th
"Puget Sound & Padilla Bay, Washington",PS_IC,0.12,0.142,75th
"Puget Sound & Padilla Bay, Washington",PS_NC,-0.083,0.142,75th
"Puget Sound & Padilla Bay, Washington",PS_SH,-0.003,0.142,75th
