term,intercept,std_error,df,t_value,pr_t,region_name,aic,random_variance,residual_variance,singular,model
(Intercept),15.062,1.86,2.452,8.1,0.008,OR_CB,10.199,0.499,0.266,FALSE,Upwelling
beuti_year,-0.29,0.159,2.078,-1.819,0.206,OR_CB,10.199,0.499,0.266,FALSE,Upwelling
(Intercept),1.087,4.11,2.057,0.264,0.816,CA_HB,4.294,0.075,0.072,FALSE,Upwelling
beuti_year,0.492,0.176,2.058,2.796,0.104,CA_HB,4.294,0.075,0.072,FALSE,Upwelling
(Intercept),18.694,0.941,15.767,19.864,0,CA_LA,58.201,0.183,1.075,FALSE,Upwelling
beuti_year,0.193,0.767,12.759,0.252,0.805,CA_LA,58.201,0.183,1.075,FALSE,Upwelling
(Intercept),14.416,0.307,3.897,46.899,0,CA_MB,4.843,0.067,0.035,FALSE,Upwelling
beuti_year,0.007,0.033,4.016,0.226,0.832,CA_MB,4.843,0.067,0.035,FALSE,Upwelling
(Intercept),8.94,1.381,NA,6.474,NA,CA_NC,48.477,1.301,1.057,TRUE,Upwelling
beuti_year,0.397,0.126,NA,3.157,NA,CA_NC,48.477,1.301,1.057,TRUE,Upwelling
(Intercept),14.133,2.476,NA,5.707,NA,CA_SF,41.777,2.658,2.126,TRUE,Upwelling
beuti_year,0.012,0.237,NA,0.049,NA,CA_SF,41.777,2.658,2.126,TRUE,Upwelling
(Intercept),17.73,3.683,12.883,4.814,0,CA_SD,61.995,0.29,3.279,FALSE,Upwelling
beuti_year,2.157,5.75,12.663,0.375,0.714,CA_SD,61.995,0.29,3.279,FALSE,Upwelling
(Intercept),9.609,2.424,17.939,3.964,0.001,WA_WB,35.106,0.106,0.296,FALSE,Upwelling
beuti_year,1.185,1.101,17.843,1.076,0.296,WA_WB,35.106,0.106,0.296,FALSE,Upwelling
(Intercept),11.841,0.634,9.348,18.679,0,OR_YB,14.83,0.037,0.12,FALSE,Upwelling
beuti_year,-0.053,0.102,8.762,-0.518,0.617,OR_YB,14.83,0.037,0.12,FALSE,Upwelling
