site_code,grpvar,term,grp,condval,condsd,region_name,model
1,site_code,(Intercept),CB_BV,0.448,0.274,OR_CB,Upwelling
2,site_code,(Intercept),CB_FP,-0.448,0.324,OR_CB,Upwelling
1,site_code,(Intercept),HB_EB,-0.201,0.192,CA_HB,Upwelling
2,site_code,(Intercept),HB_KS,0.19,0.192,CA_HB,Upwelling
3,site_code,(Intercept),HB_SR,0.011,0.156,CA_HB,Upwelling
1,site_code,(Intercept),LA_AB,-0.362,0.348,CA_LA,Upwelling
2,site_code,(Intercept),LA_JD,0.153,0.33,CA_LA,Upwelling
3,site_code,(Intercept),LA_LN,-0.029,0.33,CA_LA,Upwelling
4,site_code,(Intercept),LA_MS,0.345,0.348,CA_LA,Upwelling
5,site_code,(Intercept),LA_SP,-0.2,0.369,CA_LA,Upwelling
6,site_code,(Intercept),LA_UN,0.093,0.33,CA_LA,Upwelling
1,site_code,(Intercept),MB_CB,-0.171,0.088,CA_MB,Upwelling
2,site_code,(Intercept),MB_TP,0.171,0.099,CA_MB,Upwelling
1,site_code,(Intercept),NC_B,-0.935,0.764,CA_NC,Upwelling
2,site_code,(Intercept),NC_BL,-0.329,0.613,CA_NC,Upwelling
3,site_code,(Intercept),NC_D,-0.264,0.764,CA_NC,Upwelling
4,site_code,(Intercept),NC_DE,-0.232,0.526,CA_NC,Upwelling
5,site_code,(Intercept),NC_E,0.651,0.764,CA_NC,Upwelling
6,site_code,(Intercept),NC_NC,1.279,0.613,CA_NC,Upwelling
7,site_code,(Intercept),NC_WP,-0.17,0.469,CA_NC,Upwelling
1,site_code,(Intercept),NC_PM,0.474,0.665,CA_SF,Upwelling
2,site_code,(Intercept),NC_PS,-0.184,0.665,CA_SF,Upwelling
3,site_code,(Intercept),NC_RB,-0.29,0.748,CA_SF,Upwelling
1,site_code,(Intercept),SD_CI,-0.124,0.496,CA_SD,Upwelling
2,site_code,(Intercept),SD_CV,0.043,0.463,CA_SD,Upwelling
3,site_code,(Intercept),SD_FI,0.103,0.479,CA_SD,Upwelling
4,site_code,(Intercept),SD_KF,0.126,0.496,CA_SD,Upwelling
5,site_code,(Intercept),SD_SDL,0.259,0.496,CA_SD,Upwelling
6,site_code,(Intercept),SD_SI,-0.407,0.463,CA_SD,Upwelling
1,site_code,(Intercept),WB_BC,0.305,0.226,WA_WB,Upwelling
2,site_code,(Intercept),WB_CO,-0.002,0.279,WA_WB,Upwelling
3,site_code,(Intercept),WB_DP,-0.137,0.209,WA_WB,Upwelling
4,site_code,(Intercept),WB_PA,-0.323,0.209,WA_WB,Upwelling
5,site_code,(Intercept),WB_SB,0.073,0.248,WA_WB,Upwelling
6,site_code,(Intercept),WB_SP,0.152,0.279,WA_WB,Upwelling
7,site_code,(Intercept),WB_ST,0.048,0.279,WA_WB,Upwelling
8,site_code,(Intercept),WB_WP,0.13,0.279,WA_WB,Upwelling
9,site_code,(Intercept),WB_WR,-0.246,0.226,WA_WB,Upwelling
1,site_code,(Intercept),YB_F,-0.027,0.168,OR_YB,Upwelling
2,site_code,(Intercept),YB_IF,-0.06,0.129,OR_YB,Upwelling
3,site_code,(Intercept),YB_SBN,0.189,0.129,OR_YB,Upwelling
4,site_code,(Intercept),YB_SBS,-0.103,0.129,OR_YB,Upwelling
