term,intercept,std_error,df,t_value,pr_t,region_name,aic,sd,singular,model
(Intercept),10.875,3.573,14.557,3.044,0.008,AK_JN,39.716,0.583,FALSE,75th
site_temp75,-0.075,0.255,14.473,-0.293,0.774,AK_JN,39.716,0.583,FALSE,75th
(Intercept),-12.65,40.033,NA,-0.316,NA,AK_SE,18.501,0.502,TRUE,75th
site_temp75,1.701,2.879,NA,0.591,NA,AK_SE,18.501,0.502,TRUE,75th
(Intercept),-10.818,6.361,NA,-1.701,NA,BC_HG,69.888,0.811,TRUE,75th
site_temp75,1.475,0.424,NA,3.479,NA,BC_HG,69.888,0.811,TRUE,75th
(Intercept),24.629,14.4,13.079,1.71,0.111,BC_CC,61.362,1.166,FALSE,75th
site_temp75,-0.886,0.921,13.159,-0.962,0.353,BC_CC,61.362,1.166,FALSE,75th
(Intercept),13.366,2.386,13.039,5.603,0,BC_NV,33.263,0.499,FALSE,75th
site_temp75,-0.178,0.169,12.861,-1.053,0.312,BC_NV,33.263,0.499,FALSE,75th
(Intercept),13.686,5.135,8.475,2.665,0.027,BC_IC,43.142,0.674,FALSE,75th
site_temp75,-0.123,0.287,8.49,-0.428,0.679,BC_IC,43.142,0.674,FALSE,75th
(Intercept),12.232,4.409,NA,2.774,NA,BC_PP,57.187,0.673,TRUE,75th
site_temp75,-0.063,0.288,NA,-0.217,NA,BC_PP,57.187,0.673,TRUE,75th
(Intercept),10.941,1.097,29.211,9.978,0,WA_PS,60.738,0.551,FALSE,75th
site_temp75,0.034,0.073,29.8,0.472,0.64,WA_PS,60.738,0.551,FALSE,75th
(Intercept),12.44,2.654,17.604,4.687,0,WA_WB,46.154,0.63,FALSE,75th
site_temp75,-0.023,0.159,17.6,-0.142,0.889,WA_WB,46.154,0.63,FALSE,75th
(Intercept),23.507,7.959,9.048,2.954,0.016,OR_YB,24.235,0.515,FALSE,75th
site_temp75,-0.889,0.577,8.979,-1.54,0.158,OR_YB,24.235,0.515,FALSE,75th
(Intercept),15.738,0.934,2.233,16.847,0.002,OR_CB,1.138,0.067,FALSE,75th
site_temp75,-0.285,0.042,2,-6.736,0.021,OR_CB,1.138,0.067,FALSE,75th
(Intercept),33.748,0.29,NA,116.512,NA,CA_HB,2.202,0,TRUE,75th
site_temp75,-1.542,0,NA,-4156941.832,NA,CA_HB,2.202,0,TRUE,75th
(Intercept),19.767,25.874,NA,0.764,NA,CA_NC,41.302,2.174,TRUE,75th
site_temp75,-0.432,1.753,NA,-0.247,NA,CA_NC,41.302,2.174,TRUE,75th
(Intercept),25.009,6.589,12.222,3.796,0.002,CA_SF,59.581,1.532,FALSE,75th
site_temp75,-0.631,0.389,12.583,-1.623,0.129,CA_SF,59.581,1.532,FALSE,75th
(Intercept),6.026,1.735,4.118,3.474,0.024,CA_MB,3.619,0.209,FALSE,75th
site_temp75,0.584,0.113,4.004,5.176,0.007,CA_MB,3.619,0.209,FALSE,75th
(Intercept),15.738,11.313,17.949,1.391,0.181,CA_LA,55.517,0.95,FALSE,75th
site_temp75,0.198,0.543,17.953,0.365,0.719,CA_LA,55.517,0.95,FALSE,75th
(Intercept),46.167,22.837,11.676,2.022,0.067,CA_SD,67.975,1.806,FALSE,75th
site_temp75,-1.19,1.036,11.634,-1.149,0.274,CA_SD,67.975,1.806,FALSE,75th
