site_code,grpvar,term,grp,condval,condsd,region_name,model
1,site_code,(Intercept),JN_AN,0.173,0.217,AK_JN,95th
2,site_code,(Intercept),JN_BC,-0.121,0.217,AK_JN,95th
3,site_code,(Intercept),JN_EC,0.334,0.217,AK_JN,95th
4,site_code,(Intercept),JN_FC,-0.171,0.217,AK_JN,95th
5,site_code,(Intercept),JN_SB,-0.215,0.217,AK_JN,95th
1,site_code,(Intercept),SE_GK,0.302,0.255,AK_SE,95th
2,site_code,(Intercept),SE_NF,0.064,0.301,AK_SE,95th
3,site_code,(Intercept),SE_NS,-0.2,0.255,AK_SE,95th
4,site_code,(Intercept),SE_NZ,0.035,0.255,AK_SE,95th
5,site_code,(Intercept),SE_RF,-0.171,0.255,AK_SE,95th
6,site_code,(Intercept),SE_SH,-0.03,0.255,AK_SE,95th
1,site_code,(Intercept),HG_BH,-0.17,0.316,BC_HG,95th
2,site_code,(Intercept),HG_DN,0.023,0.34,BC_HG,95th
3,site_code,(Intercept),HG_DSD,-0.04,0.316,BC_HG,95th
4,site_code,(Intercept),HG_LIE,-0.025,0.316,BC_HG,95th
5,site_code,(Intercept),HG_MDD,-0.075,0.316,BC_HG,95th
6,site_code,(Intercept),HG_RI,-0.068,0.296,BC_HG,95th
7,site_code,(Intercept),HG_ROI,-0.101,0.316,BC_HG,95th
8,site_code,(Intercept),HG_SB,-0.01,0.296,BC_HG,95th
9,site_code,(Intercept),HG_TK,0.466,0.34,BC_HG,95th
1,site_code,(Intercept),CC_CHP,-1.174,0.538,BC_CC,95th
2,site_code,(Intercept),CC_FAN3,0.211,0.488,BC_CC,95th
3,site_code,(Intercept),CC_GOG1,-0.379,0.488,BC_CC,95th
4,site_code,(Intercept),CC_KIS1,0.819,0.713,BC_CC,95th
5,site_code,(Intercept),CC_KIS2,0.146,0.538,BC_CC,95th
6,site_code,(Intercept),CC_PBA,0.377,0.488,BC_CC,95th
1,site_code,(Intercept),NV_BI,0.158,0.216,BC_NV,95th
2,site_code,(Intercept),NV_JL,-0.227,0.239,BC_NV,95th
3,site_code,(Intercept),NV_KB,0.06,0.216,BC_NV,95th
4,site_code,(Intercept),NV_KC,-0.466,0.216,BC_NV,95th
5,site_code,(Intercept),NV_PC,0.475,0.239,BC_NV,95th
1,site_code,(Intercept),IC_GOW,-0.133,0.202,BC_IC,95th
2,site_code,(Intercept),IC_MAB,0.2,0.202,BC_IC,95th
3,site_code,(Intercept),IC_OPB,0.096,0.202,BC_IC,95th
4,site_code,(Intercept),IC_SHS,-0.046,0.202,BC_IC,95th
5,site_code,(Intercept),IC_SMB,-0.117,0.202,BC_IC,95th
1,site_code,(Intercept),PP_C,-0.022,0.204,BC_PP,95th
2,site_code,(Intercept),PP_E,-0.064,0.215,BC_PP,95th
3,site_code,(Intercept),PP_EB,0.107,0.242,BC_PP,95th
