site_code,grpvar,term,grp,condval,condsd,region_name,model
1,site_code,(Intercept),JN_AN,0.191,0.216,AK_JN,mean
2,site_code,(Intercept),JN_BC,-0.165,0.216,AK_JN,mean
3,site_code,(Intercept),JN_EC,0.443,0.216,AK_JN,mean
4,site_code,(Intercept),JN_FC,-0.242,0.216,AK_JN,mean
5,site_code,(Intercept),JN_SB,-0.228,0.216,AK_JN,mean
1,site_code,(Intercept),SE_GK,0.271,0.273,AK_SE,mean
2,site_code,(Intercept),SE_NF,0.108,0.327,AK_SE,mean
3,site_code,(Intercept),SE_NS,-0.273,0.273,AK_SE,mean
4,site_code,(Intercept),SE_NZ,0.029,0.273,AK_SE,mean
5,site_code,(Intercept),SE_RF,-0.19,0.273,AK_SE,mean
6,site_code,(Intercept),SE_SH,0.054,0.273,AK_SE,mean
1,site_code,(Intercept),HG_BH,-0.147,0.35,BC_HG,mean
2,site_code,(Intercept),HG_DN,0.052,0.378,BC_HG,mean
3,site_code,(Intercept),HG_DSD,-0.138,0.35,BC_HG,mean
4,site_code,(Intercept),HG_LIE,-0.034,0.35,BC_HG,mean
5,site_code,(Intercept),HG_MDD,-0.175,0.35,BC_HG,mean
6,site_code,(Intercept),HG_RI,-0.037,0.327,BC_HG,mean
7,site_code,(Intercept),HG_ROI,-0.115,0.35,BC_HG,mean
8,site_code,(Intercept),HG_SB,0.08,0.327,BC_HG,mean
9,site_code,(Intercept),HG_TK,0.514,0.378,BC_HG,mean
1,site_code,(Intercept),CC_CHP,-1.085,0.539,BC_CC,mean
2,site_code,(Intercept),CC_FAN3,0.164,0.49,BC_CC,mean
3,site_code,(Intercept),CC_GOG1,-0.416,0.49,BC_CC,mean
4,site_code,(Intercept),CC_KIS1,0.873,0.708,BC_CC,mean
5,site_code,(Intercept),CC_KIS2,0.056,0.539,BC_CC,mean
6,site_code,(Intercept),CC_PBA,0.409,0.49,BC_CC,mean
1,site_code,(Intercept),NV_BI,0.175,0.215,BC_NV,mean
2,site_code,(Intercept),NV_JL,-0.242,0.238,BC_NV,mean
3,site_code,(Intercept),NV_KB,0.07,0.215,BC_NV,mean
4,site_code,(Intercept),NV_KC,-0.46,0.215,BC_NV,mean
5,site_code,(Intercept),NV_PC,0.457,0.238,BC_NV,mean
1,site_code,(Intercept),IC_GOW,-0.122,0.194,BC_IC,mean
2,site_code,(Intercept),IC_MAB,0.18,0.194,BC_IC,mean
3,site_code,(Intercept),IC_OPB,0.085,0.194,BC_IC,mean
4,site_code,(Intercept),IC_SHS,-0.04,0.194,BC_IC,mean
5,site_code,(Intercept),IC_SMB,-0.104,0.194,BC_IC,mean
1,site_code,(Intercept),PP_C,-0.047,0.21,BC_PP,mean
2,site_code,(Intercept),PP_E,-0.106,0.221,BC_PP,mean
3,site_code,(Intercept),PP_EB,0.12,0.249,BC_PP,mean
4,site_code,(Intercept),PP_G,0.052,0.249,BC_PP,mean
5,site_code,(Intercept),PP_HI,0.025,0.21,BC_PP,mean
6,site_code,(Intercept),PP_JJ,0.087,0.21,BC_PP,mean
7,site_code,(Intercept),PP_K,-0.105,0.249,BC_PP,mean
8,site_code,(Intercept),PP_M,0.112,0.249,BC_PP,mean
9,site_code,(Intercept),PP_MB,0.045,0.221,BC_PP,mean
10,site_code,(Intercept),PP_MI,-0.044,0.249,BC_PP,mean
11,site_code,(Intercept),PP_O,-0.009,0.249,BC_PP,mean
12,site_code,(Intercept),PP_S,-0.043,0.249,BC_PP,mean
13,site_code,(Intercept),PP_SI,-0.087,0.249,BC_PP,mean
1,site_code,(Intercept),PS_BB,0.049,0.199,WA_PS,mean
2,site_code,(Intercept),PS_BH,0.266,0.187,WA_PS,mean
3,site_code,(Intercept),PS_BP,-0.046,0.214,WA_PS,mean
4,site_code,(Intercept),PS_BV,-0.096,0.177,WA_PS,mean
5,site_code,(Intercept),PS_FB,-0.125,0.177,WA_PS,mean
6,site_code,(Intercept),PS_FJ,0.119,0.177,WA_PS,mean
7,site_code,(Intercept),PS_IC,0.146,0.177,WA_PS,mean
8,site_code,(Intercept),PS_NC,-0.056,0.177,WA_PS,mean
9,site_code,(Intercept),PS_SH,-0.124,0.177,WA_PS,mean
10,site_code,(Intercept),PS_SP,-0.093,0.214,WA_PS,mean
11,site_code,(Intercept),PS_YB,-0.04,0.214,WA_PS,mean
1,site_code,(Intercept),WB_BC,0.161,0.287,WA_WB,mean
2,site_code,(Intercept),WB_CO,0.17,0.376,WA_WB,mean
3,site_code,(Intercept),WB_DP,-0.282,0.261,WA_WB,mean
4,site_code,(Intercept),WB_PA,-0.534,0.261,WA_WB,mean
5,site_code,(Intercept),WB_SB,0.117,0.323,WA_WB,mean
6,site_code,(Intercept),WB_SP,0.341,0.376,WA_WB,mean
7,site_code,(Intercept),WB_ST,-0.139,0.376,WA_WB,mean
8,site_code,(Intercept),WB_WP,0.432,0.376,WA_WB,mean
9,site_code,(Intercept),WB_WR,-0.265,0.287,WA_WB,mean
1,site_code,(Intercept),YB_F,0.184,0.431,OR_YB,mean
2,site_code,(Intercept),YB_IF,-0.761,0.262,OR_YB,mean
3,site_code,(Intercept),YB_SBN,0.595,0.262,OR_YB,mean
4,site_code,(Intercept),YB_SBS,-0.018,0.262,OR_YB,mean
1,site_code,(Intercept),CB_BV,0.767,0.096,OR_CB,mean
2,site_code,(Intercept),CB_FP,-0.767,0.117,OR_CB,mean
1,site_code,(Intercept),HB_EB,-0.001,0.002,CA_HB,mean
2,site_code,(Intercept),HB_KS,0.515,0.002,CA_HB,mean
3,site_code,(Intercept),HB_SR,-0.514,0.001,CA_HB,mean
1,site_code,(Intercept),NC_B,-0.865,1.297,CA_NC,mean
2,site_code,(Intercept),NC_BL,-0.296,1.097,CA_NC,mean
3,site_code,(Intercept),NC_D,-0.452,1.297,CA_NC,mean
4,site_code,(Intercept),NC_DE,0.277,0.967,CA_NC,mean
5,site_code,(Intercept),NC_E,1.106,1.297,CA_NC,mean
6,site_code,(Intercept),NC_NC,0.231,1.097,CA_NC,mean
1,site_code,(Intercept),NC_PM,0.995,0.694,CA_SF,mean
2,site_code,(Intercept),NC_PS,0.211,0.694,CA_SF,mean
3,site_code,(Intercept),NC_RB,1.235,0.784,CA_SF,mean
4,site_code,(Intercept),NC_WP,-2.441,0.694,CA_SF,mean
1,site_code,(Intercept),MB_CB,-0.157,0.121,CA_MB,mean
2,site_code,(Intercept),MB_TP,0.157,0.135,CA_MB,mean
1,site_code,(Intercept),LA_AB,-0.201,0.267,CA_LA,mean
2,site_code,(Intercept),LA_JD,0.166,0.257,CA_LA,mean
3,site_code,(Intercept),LA_LN,-0.07,0.257,CA_LA,mean
4,site_code,(Intercept),LA_MS,0.119,0.267,CA_LA,mean
5,site_code,(Intercept),LA_SP,-0.119,0.278,CA_LA,mean
6,site_code,(Intercept),LA_UN,0.106,0.257,CA_LA,mean
1,site_code,(Intercept),SD_CI,-0.424,0.869,CA_SD,mean
2,site_code,(Intercept),SD_CV,-0.137,0.718,CA_SD,mean
3,site_code,(Intercept),SD_FI,0.122,0.783,CA_SD,mean
4,site_code,(Intercept),SD_KF,0.551,0.869,CA_SD,mean
5,site_code,(Intercept),SD_SDL,1.211,0.869,CA_SD,mean
6,site_code,(Intercept),SD_SI,-1.323,0.718,CA_SD,mean
