term,intercept,std_error,df,t_value,pr_t,region_name,aic,sd,singular,model
(Intercept),11.177,2.809,14.465,3.979,0.001,AK_JN,37.202,0.546,FALSE,mean
sst_mean,-0.085,0.221,14.353,-0.384,0.707,AK_JN,37.202,0.546,FALSE,mean
(Intercept),38.998,23.843,NA,1.636,NA,AK_SE,17.107,0.503,TRUE,mean
sst_mean,-2.168,1.845,NA,-1.175,NA,AK_SE,17.107,0.503,TRUE,mean
(Intercept),-0.8,5.87,NA,-0.136,NA,BC_HG,69.698,0.818,TRUE,mean
sst_mean,0.894,0.433,NA,2.067,NA,BC_HG,69.698,0.818,TRUE,mean
(Intercept),9.505,29.59,16.091,0.321,0.752,BC_CC,56.015,1.05,FALSE,mean
sst_mean,0.093,2.068,16.124,0.045,0.965,BC_CC,56.015,1.05,FALSE,mean
(Intercept),17.167,3.646,13.245,4.709,0,BC_NV,32.017,0.49,FALSE,mean
sst_mean,-0.48,0.281,13.173,-1.705,0.112,BC_NV,32.017,0.49,FALSE,mean
(Intercept),14.411,4.681,NA,3.078,NA,BC_IC,42,0.627,TRUE,mean
sst_mean,-0.162,0.287,NA,-0.563,NA,BC_IC,42,0.627,TRUE,mean
(Intercept),12.606,8.021,NA,1.571,NA,BC_PP,52.547,0.611,TRUE,mean
sst_mean,-0.09,0.56,NA,-0.16,NA,BC_PP,52.547,0.611,TRUE,mean
(Intercept),11.131,1.427,28.783,7.799,0,WA_PS,50.872,0.427,FALSE,mean
sst_mean,0.041,0.103,29.357,0.395,0.696,WA_PS,50.872,0.427,FALSE,mean
(Intercept),13.805,2.78,17.973,4.966,0,WA_WB,44.868,0.602,FALSE,mean
sst_mean,-0.096,0.178,17.98,-0.539,0.597,WA_WB,44.868,0.602,FALSE,mean
(Intercept),15.396,3.955,9.844,3.893,0.003,OR_YB,13.999,0.341,FALSE,mean
sst_mean,-0.3,0.307,9.752,-0.976,0.353,OR_YB,13.999,0.341,FALSE,mean
(Intercept),6.472,10.587,2.008,0.611,0.603,OR_CB,6.596,0.524,FALSE,mean
sst_mean,0.456,0.841,2,0.542,0.642,OR_CB,6.596,0.524,FALSE,mean
(Intercept),32.538,0.163,2,200.003,0,CA_HB,-2.623,0.001,FALSE,mean
sst_mean,-1.569,0.006,2,-263.108,0,CA_HB,-2.623,0.001,FALSE,mean
(Intercept),25.956,15.987,NA,1.624,NA,CA_NC,36.535,1.607,TRUE,mean
sst_mean,-0.93,1.151,NA,-0.808,NA,CA_NC,36.535,1.607,TRUE,mean
(Intercept),21.54,4.574,12.667,4.709,0,CA_SF,56.948,1.438,FALSE,mean
sst_mean,-0.477,0.287,12.915,-1.664,0.12,CA_SF,56.948,1.438,FALSE,mean
(Intercept),10.255,2.462,4.124,4.165,0.013,CA_MB,4.632,0.232,FALSE,mean
sst_mean,0.269,0.167,4.003,1.612,0.182,CA_MB,4.632,0.232,FALSE,mean
(Intercept),29.835,12.925,16.915,2.308,0.034,CA_LA,61.642,1.151,FALSE,mean
sst_mean,-0.507,0.649,16.947,-0.78,0.446,CA_LA,61.642,1.151,FALSE,mean
(Intercept),40.663,17.335,11.801,2.346,0.037,CA_SD,73.578,2.145,FALSE,mean
sst_mean,-1.002,0.831,11.724,-1.205,0.252,CA_SD,73.578,2.145,FALSE,mean
