term,intercept,std_error,df,t_value,pr_t,region_name,aic,random_variance,residual_variance,singular,model
(Intercept),6.782,4.173,14.693,1.625,0.125,AK_JN,43.828,0.078,0.455,FALSE,95th percentile SST
site_temp95,0.246,0.271,14.634,0.906,0.38,AK_JN,43.828,0.078,0.455,FALSE,95th percentile SST
(Intercept),21.427,9.868,NA,2.171,NA,AK_SE,19.097,0.128,0.283,TRUE,95th percentile SST
site_temp95,-0.7,0.668,NA,-1.047,NA,AK_SE,19.097,0.128,0.283,TRUE,95th percentile SST
(Intercept),-1.649,4.137,NA,-0.399,NA,BC_HG,63.996,0.11,0.524,TRUE,95th percentile SST
site_temp95,0.821,0.26,NA,3.153,NA,BC_HG,63.996,0.11,0.524,TRUE,95th percentile SST
(Intercept),23.817,33.477,16.858,0.711,0.487,BC_CC,54.543,0.511,1.011,FALSE,95th percentile SST
site_temp95,-0.787,2.03,16.845,-0.388,0.703,BC_CC,54.543,0.511,1.011,FALSE,95th percentile SST
(Intercept),19.143,4.192,13.406,4.566,0,BC_NV,31.769,0.084,0.273,FALSE,95th percentile SST
site_temp95,-0.548,0.274,13.381,-1.997,0.067,BC_NV,31.769,0.084,0.273,FALSE,95th percentile SST
(Intercept),4.361,6.901,NA,0.632,NA,BC_IC,42.179,0.174,0.387,TRUE,95th percentile SST
site_temp95,0.386,0.36,NA,1.07,NA,BC_IC,42.179,0.174,0.387,TRUE,95th percentile SST
(Intercept),5.751,6.895,NA,0.834,NA,BC_PP,54.048,0.08,0.402,TRUE,95th percentile SST
site_temp95,0.32,0.416,NA,0.77,NA,BC_PP,54.048,0.08,0.402,TRUE,95th percentile SST
(Intercept),11.11,1.147,29.908,9.69,0,WA_PS,50.258,0.126,0.173,FALSE,95th percentile SST
site_temp95,0.037,0.07,29.494,0.524,0.604,WA_PS,50.258,0.126,0.173,FALSE,95th percentile SST
(Intercept),10.822,2.253,15.895,4.803,0,WA_WB,40.913,0.323,0.233,FALSE,95th percentile SST
site_temp95,0.084,0.126,15.871,0.665,0.515,WA_WB,40.913,0.323,0.233,FALSE,95th percentile SST
(Intercept),15.398,4.326,9.547,3.559,0.006,OR_YB,11.332,0.107,0.086,FALSE,95th percentile SST
site_temp95,-0.255,0.283,9.477,-0.9,0.39,OR_YB,11.332,0.107,0.086,FALSE,95th percentile SST
(Intercept),1.092,7.905,2.107,0.138,0.902,OR_CB,8.385,0.337,0.347,FALSE,95th percentile SST
site_temp95,0.732,0.524,2.096,1.397,0.292,OR_CB,8.385,0.337,0.347,FALSE,95th percentile SST
(Intercept),28.933,0.164,2,176.925,0,CA_HB,-1.05,0.075,0,FALSE,95th percentile SST
site_temp95,-1.111,0.003,2,-401.557,0,CA_HB,-1.05,0.075,0,FALSE,95th percentile SST
(Intercept),30.397,10.67,NA,2.849,NA,CA_NC,49.119,0.908,1.812,TRUE,95th percentile SST
site_temp95,-1.078,0.659,NA,-1.637,NA,CA_NC,49.119,0.908,1.812,TRUE,95th percentile SST
(Intercept),27.423,14.739,NA,1.861,NA,CA_SF,38.592,2.726,1.918,TRUE,95th percentile SST
site_temp95,-0.688,0.775,NA,-0.888,NA,CA_SF,38.592,2.726,1.918,TRUE,95th percentile SST
(Intercept),11.495,2.2,4.178,5.226,0.006,CA_MB,4.492,0.166,0.048,FALSE,95th percentile SST
site_temp95,0.168,0.136,4.033,1.237,0.283,CA_MB,4.492,0.166,0.048,FALSE,95th percentile SST
(Intercept),1.253,10.77,14.927,0.116,0.909,CA_LA,58.776,0.399,0.947,FALSE,95th percentile SST
site_temp95,0.806,0.494,14.934,1.634,0.123,CA_LA,58.776,0.399,0.947,FALSE,95th percentile SST
(Intercept),42.213,18.46,12.248,2.287,0.041,CA_SD,69.273,0.645,3.847,FALSE,95th percentile SST
site_temp95,-1.015,0.809,12.195,-1.255,0.233,CA_SD,69.273,0.645,3.847,FALSE,95th percentile SST
