term,intercept,std_error,df,t_value,pr_t,region_name,aic,random_variance,residual_variance,singular,model
(Intercept),9.971,3.554,14.582,2.805,0.014,AK_JN,44.59,0.074,0.48,FALSE,Mean SST
sst_mean,0.046,0.28,14.499,0.165,0.871,AK_JN,44.59,0.074,0.48,FALSE,Mean SST
(Intercept),33.535,24.088,NA,1.392,NA,AK_SE,17.436,0.146,0.286,TRUE,Mean SST
sst_mean,-1.736,1.864,NA,-0.932,NA,AK_SE,17.436,0.146,0.286,TRUE,Mean SST
(Intercept),-0.592,5.574,NA,-0.106,NA,BC_HG,67.38,0.13,0.618,TRUE,Mean SST
sst_mean,0.883,0.411,NA,2.15,NA,BC_HG,67.38,0.13,0.618,TRUE,Mean SST
(Intercept),9.25,28.544,16.094,0.324,0.75,BC_CC,54.734,0.481,1.033,FALSE,Mean SST
sst_mean,0.111,1.994,16.128,0.055,0.956,BC_CC,54.734,0.481,1.033,FALSE,Mean SST
(Intercept),16.82,4.016,14.243,4.188,0.001,BC_NV,32.971,0.073,0.306,FALSE,Mean SST
sst_mean,-0.467,0.31,14.234,-1.506,0.154,BC_NV,32.971,0.073,0.306,FALSE,Mean SST
(Intercept),14.314,4.771,NA,3.001,NA,BC_IC,42.699,0.122,0.409,TRUE,Mean SST
sst_mean,-0.158,0.293,NA,-0.539,NA,BC_IC,42.699,0.122,0.409,TRUE,Mean SST
(Intercept),9.003,8.318,NA,1.082,NA,BC_PP,53.918,0.081,0.411,TRUE,Mean SST
sst_mean,0.143,0.581,NA,0.247,NA,BC_PP,53.918,0.081,0.411,TRUE,Mean SST
(Intercept),11.131,1.399,28.891,7.956,0,WA_PS,49.628,0.126,0.174,FALSE,Mean SST
sst_mean,0.042,0.101,29.434,0.414,0.682,WA_PS,49.628,0.126,0.174,FALSE,Mean SST
(Intercept),13.207,2.47,17.793,5.347,0,WA_WB,40.698,0.256,0.26,FALSE,Mean SST
sst_mean,-0.059,0.158,17.762,-0.371,0.715,WA_WB,40.698,0.256,0.26,FALSE,Mean SST
(Intercept),13.03,3.547,9.705,3.674,0.005,OR_YB,12.047,0.107,0.092,FALSE,Mean SST
sst_mean,-0.118,0.275,9.609,-0.43,0.677,OR_YB,12.047,0.107,0.092,FALSE,Mean SST
(Intercept),2.541,14.18,2.008,0.179,0.874,OR_CB,8.286,0.5,0.493,FALSE,Mean SST
sst_mean,0.762,1.127,2,0.676,0.569,OR_CB,8.286,0.5,0.493,FALSE,Mean SST
(Intercept),38.076,0.21,2,180.897,0,CA_HB,-1.869,0.09,0,FALSE,Mean SST
sst_mean,-1.994,0.009,2,-212.266,0,CA_HB,-1.869,0.09,0,FALSE,Mean SST
(Intercept),28.664,9.013,NA,3.18,NA,CA_NC,48.267,0.655,1.809,TRUE,Mean SST
sst_mean,-1.152,0.66,NA,-1.745,NA,CA_NC,48.267,0.655,1.809,TRUE,Mean SST
(Intercept),24.337,4.658,NA,5.225,NA,CA_SF,37.159,1.832,1.367,TRUE,Mean SST
sst_mean,-0.605,0.278,NA,-2.177,NA,CA_SF,37.159,1.832,1.367,TRUE,Mean SST
(Intercept),10.399,2.016,4.159,5.158,0.006,CA_MB,2.879,0.152,0.036,FALSE,Mean SST
sst_mean,0.259,0.136,4.002,1.9,0.13,CA_MB,2.879,0.152,0.036,FALSE,Mean SST
(Intercept),33.14,12.761,14.46,2.597,0.021,CA_LA,59.424,0.278,1.076,FALSE,Mean SST
sst_mean,-0.718,0.641,14.485,-1.12,0.281,CA_LA,59.424,0.278,1.076,FALSE,Mean SST
(Intercept),35.974,15.549,12.042,2.314,0.039,CA_SD,69.852,0.776,3.878,FALSE,Mean SST
sst_mean,-0.814,0.748,11.979,-1.089,0.298,CA_SD,69.852,0.776,3.878,FALSE,Mean SST
