region_label,model,type,aic,random_variance,residual_variance,term,intercept,std_error,df,t_value,pr_t
"Juneau Region, Alaska",95th percentile SST,LME,43.828,0.078,0.455,Intercept,6.782,4.173,14.693,1.625,0.125
"Juneau Region, Alaska",95th percentile SST,LME,43.828,0.078,0.455,95th percentile SST,0.246,0.271,14.634,0.906,0.38
"Juneau Region, Alaska",75th percentile SST,LME,43.835,0.075,0.462,Intercept,7.233,4.146,14.751,1.745,0.102
"Juneau Region, Alaska",75th percentile SST,LME,43.835,0.075,0.462,75th percentile SST,0.238,0.296,14.692,0.803,0.435
"Juneau Region, Alaska",Mean SST,LME,44.59,0.074,0.48,Intercept,9.971,3.554,14.582,2.805,0.014
"Juneau Region, Alaska",Mean SST,LME,44.59,0.074,0.48,Mean SST,0.046,0.28,14.499,0.165,0.871
Southeast Alaska,95th percentile SST,BLME,19.097,0.128,0.283,Intercept,21.427,9.868,NA,2.171,NA
Southeast Alaska,95th percentile SST,BLME,19.097,0.128,0.283,95th percentile SST,-0.7,0.668,NA,-1.047,NA
Southeast Alaska,75th percentile SST,BLME,18.329,0.239,0.3,Intercept,5.509,37.895,NA,0.145,NA
Southeast Alaska,75th percentile SST,BLME,18.329,0.239,0.3,75th percentile SST,0.402,2.726,NA,0.148,NA
Southeast Alaska,Mean SST,BLME,17.436,0.146,0.286,Intercept,33.535,24.088,NA,1.392,NA
Southeast Alaska,Mean SST,BLME,17.436,0.146,0.286,Mean SST,-1.736,1.864,NA,-0.932,NA
"Haida Gwaii, British Columbia",95th percentile SST,BLME,63.996,0.11,0.524,Intercept,-1.649,4.137,NA,-0.399,NA
"Haida Gwaii, British Columbia",95th percentile SST,BLME,63.996,0.11,0.524,95th percentile SST,0.821,0.26,NA,3.153,NA
"Haida Gwaii, British Columbia",75th percentile SST,BLME,60.345,0.137,0.443,Intercept,-8.442,5.292,NA,-1.595,NA
"Haida Gwaii, British Columbia",75th percentile SST,BLME,60.345,0.137,0.443,75th percentile SST,1.323,0.353,NA,3.749,NA
"Haida Gwaii, British Columbia",Mean SST,BLME,67.38,0.13,0.618,Intercept,-0.592,5.574,NA,-0.106,NA
"Haida Gwaii, British Columbia",Mean SST,BLME,67.38,0.13,0.618,Mean SST,0.883,0.411,NA,2.15,NA
Central Coast British Columbia,95th percentile SST,LME,54.543,0.511,1.011,Intercept,23.817,33.477,16.858,0.711,0.487
Central Coast British Columbia,95th percentile SST,LME,54.543,0.511,1.011,95th percentile SST,-0.787,2.03,16.845,-0.388,0.703
Central Coast British Columbia,75th percentile SST,LME,56.376,0.431,1.042,Intercept,16.201,12.551,13.877,1.291,0.218
Central Coast British Columbia,75th percentile SST,LME,56.376,0.431,1.042,75th percentile SST,-0.344,0.803,13.948,-0.428,0.675
Central Coast British Columbia,Mean SST,LME,54.734,0.481,1.033,Intercept,9.25,28.544,16.094,0.324,0.75
Central Coast British Columbia,Mean SST,LME,54.734,0.481,1.033,Mean SST,0.111,1.994,16.128,0.055,0.956
"North Vancouver Island, British Columbia",95th percentile SST,LME,31.769,0.084,0.273,Intercept,19.143,4.192,13.406,4.566,0
"North Vancouver Island, British Columbia",95th percentile SST,LME,31.769,0.084,0.273,95th percentile SST,-0.548,0.274,13.381,-1.997,0.067
"North Vancouver Island, British Columbia",75th percentile SST,LME,33.76,0.069,0.303,Intercept,14.885,2.585,13.8,5.759,0
"North Vancouver Island, British Columbia",75th percentile SST,LME,33.76,0.069,0.303,75th percentile SST,-0.293,0.184,13.745,-1.593,0.134
"North Vancouver Island, British Columbia",Mean SST,LME,32.971,0.073,0.306,Intercept,16.82,4.016,14.243,4.188,0.001
"North Vancouver Island, British Columbia",Mean SST,LME,32.971,0.073,0.306,Mean SST,-0.467,0.31,14.234,-1.506,0.154
"Inner Coast, British Columbia",95th percentile SST,BLME,42.179,0.174,0.387,Intercept,4.361,6.901,NA,0.632,NA
"Inner Coast, British Columbia",95th percentile SST,BLME,42.179,0.174,0.387,95th percentile SST,0.386,0.36,NA,1.07,NA
"Inner Coast, British Columbia",75th percentile SST,BLME,43.023,0.133,0.415,Intercept,12.449,5.457,NA,2.281,NA
"Inner Coast, British Columbia",75th percentile SST,BLME,43.023,0.133,0.415,75th percentile SST,-0.04,0.305,NA,-0.129,NA
"Inner Coast, British Columbia",Mean SST,BLME,42.699,0.122,0.409,Intercept,14.314,4.771,NA,3.001,NA
"Inner Coast, British Columbia",Mean SST,BLME,42.699,0.122,0.409,Mean SST,-0.158,0.293,NA,-0.539,NA
"Pacific Rim Park, British Columbia",95th percentile SST,BLME,54.048,0.08,0.402,Intercept,5.751,6.895,NA,0.834,NA
