region_label,grp,condval,condsd,model
"Juneau Region, Alaska",JN_AN,0.182,0.194,95th
"Juneau Region, Alaska",JN_BC,-0.165,0.194,95th
"Juneau Region, Alaska",JN_EC,0.257,0.194,95th
"Juneau Region, Alaska",JN_FC,-0.146,0.194,95th
"Juneau Region, Alaska",JN_SB,-0.128,0.194,95th
"Juneau Region, Alaska",JN_AN,0.172,0.195,75th
"Juneau Region, Alaska",JN_BC,-0.164,0.195,75th
"Juneau Region, Alaska",JN_EC,0.257,0.195,75th
"Juneau Region, Alaska",JN_FC,-0.145,0.195,75th
"Juneau Region, Alaska",JN_SB,-0.12,0.195,75th
"Juneau Region, Alaska",JN_AN,0.177,0.201,mean
"Juneau Region, Alaska",JN_BC,-0.181,0.201,mean
"Juneau Region, Alaska",JN_EC,0.288,0.201,mean
"Juneau Region, Alaska",JN_FC,-0.168,0.201,mean
"Juneau Region, Alaska",JN_SB,-0.116,0.201,mean
Southeast Alaska,SE_GK,0.279,0.252,95th
Southeast Alaska,SE_NF,0.062,0.296,95th
Southeast Alaska,SE_NS,-0.188,0.252,95th
Southeast Alaska,SE_NZ,0.024,0.252,95th
Southeast Alaska,SE_RF,-0.161,0.252,95th
Southeast Alaska,SE_SH,-0.017,0.252,95th
Southeast Alaska,SE_GK,0.56,0.309,75th
Southeast Alaska,SE_NF,0.184,0.39,75th
Southeast Alaska,SE_NS,-0.083,0.309,75th
Southeast Alaska,SE_NZ,0.013,0.309,75th
Southeast Alaska,SE_RF,-0.237,0.309,75th
Southeast Alaska,SE_SH,-0.437,0.309,75th
Southeast Alaska,SE_GK,0.251,0.273,mean
Southeast Alaska,SE_NF,0.108,0.325,mean
Southeast Alaska,SE_NS,-0.258,0.273,mean
Southeast Alaska,SE_NZ,0.018,0.273,mean
Southeast Alaska,SE_RF,-0.18,0.273,mean
Southeast Alaska,SE_SH,0.061,0.273,mean
"Haida Gwaii, British Columbia",HG_BH,-0.17,0.273,95th
"Haida Gwaii, British Columbia",HG_DN,0.035,0.293,95th
"Haida Gwaii, British Columbia",HG_DSD,0.028,0.273,95th
"Haida Gwaii, British Columbia",HG_LIE,-0.04,0.273,95th
"Haida Gwaii, British Columbia",HG_MDD,-0.112,0.273,95th
