term,intercept,std_error,df,t_value,pr_t,region_name,aic,random_variance,residual_variance,singular,model
(Intercept),15.035,2.047,2.379,7.344,0.011,OR_CB,10.393,0.304,0.34,FALSE,Upwelling
beuti_year,-0.262,0.179,2.137,-1.463,0.273,OR_CB,10.393,0.304,0.34,FALSE,Upwelling
(Intercept),8.515,1.954,2.007,4.358,0.049,CA_HB,3.502,0.085,0.014,FALSE,Upwelling
beuti_year,0.174,0.083,2.007,2.084,0.172,CA_HB,3.502,0.085,0.014,FALSE,Upwelling
(Intercept),19.15,0.998,15.868,19.187,0,CA_LA,60.135,0.168,1.221,FALSE,Upwelling
beuti_year,-0.252,0.816,13.178,-0.309,0.762,CA_LA,60.135,0.168,1.221,FALSE,Upwelling
(Intercept),14.716,0.358,2.037,41.128,0.001,CA_MB,4.391,0.167,0.025,FALSE,Upwelling
beuti_year,-0.073,0.028,4.005,-2.591,0.061,CA_MB,4.391,0.167,0.025,FALSE,Upwelling
(Intercept),8.72,0.981,25.915,8.892,0,CA_NC,90.647,1.196,0.946,FALSE,Upwelling
beuti_year,0.415,0.085,21.473,4.861,0,CA_NC,90.647,1.196,0.946,FALSE,Upwelling
(Intercept),13.97,2.418,NA,5.777,NA,CA_SF,41.289,2.154,2.083,TRUE,Upwelling
beuti_year,0.042,0.235,NA,0.181,NA,CA_SF,41.289,2.154,2.083,TRUE,Upwelling
(Intercept),17.437,4.253,12.825,4.1,0.001,CA_SD,66.468,0.488,4.346,FALSE,Upwelling
beuti_year,2.521,6.638,12.583,0.38,0.71,CA_SD,66.468,0.488,4.346,FALSE,Upwelling
(Intercept),9.229,2.433,17.752,3.793,0.001,WA_WB,35.517,0.184,0.265,FALSE,Upwelling
beuti_year,1.381,1.101,17.584,1.254,0.226,WA_WB,35.517,0.184,0.265,FALSE,Upwelling
(Intercept),11.814,0.568,9.936,20.801,0,OR_YB,14.161,0.106,0.091,FALSE,Upwelling
beuti_year,-0.051,0.089,8.511,-0.571,0.583,OR_YB,14.161,0.106,0.091,FALSE,Upwelling
