sample_name,motu,reads_adjust_sample,motu_pa,found_taxa_motu,common_name_motu,rank_motu,location,macroveg_group,macroveg_community,pcr_rep,reads_raw_sample,asv,raw_reads,sample_id,site,date,year,depth,spatial_rep,geo_location_name,experiment,temperature_c_surface,salinity_ppt_surface,p_h_surface,temperature_c_bottom,salinity_ppt_bottom,p_h_bottom,bottom_depth_m,lat,long,substrate,freshwater_input,beach_length,exposure,seed_asv,ctrl_mean,reads_adjust,found_taxa_asv,common_name_asv,rank_asv,kingdom,phylum,class,order,family,genus,freshwater_only
edna0001,motu1,137,1,Clupea pallasii,Pacific herring,species,koeye estuary,seagrass,zostera,rep1,861,ASV1,724,edna0001-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV1,1030,0,Clupea pallasii,Pacific herring,species,Eukaryota,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,0
edna0001,motu2,1823,1,Cymatogaster aggregata,Shiner perch,species,koeye estuary,seagrass,zostera,rep1,2670,ASV2,1509,edna0001-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV2,847,662,Cymatogaster aggregata,Shiner perch,species,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
edna0001,motu3,3379,1,Ammodytes personatus,Pacific sandlance,species,koeye estuary,seagrass,zostera,rep1,3381,ASV3,1819,edna0001-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV3,0,1819,Ammodytes personatus,Pacific sandlance,species,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
edna0001,motu5,694,1,Gasterosteus aculeatus,Three-spined stickleback,species,koeye estuary,seagrass,zostera,rep1,694,ASV5,383,edna0001-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV5,0,383,Gasterosteus aculeatus,Three-spined stickleback,species,Eukaryota,Chordata,Teleostei,Perciformes,Gasterosteidae,Gasterosteus,0
edna0001,motu7,271,1,Leptocottus armatus,Pacific staghorn sculpin,species,koeye estuary,seagrass,zostera,rep1,590,ASV7,319,edna0001-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV7,455,0,Leptocottus armatus,Pacific staghorn sculpin,species,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Leptocottus,0
edna0001,motu8,1185,1,Pleuronectidae,Flatfish family,family,koeye estuary,seagrass,zostera,rep1,1185,ASV10,697,edna0001-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV8,0,697,Pleuronectidae,Flatfish family,family,Eukaryota,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,NA,0
edna0001,motu11,15062,1,Cottus,Cottus sculpin species,genus,koeye estuary,seagrass,zostera,rep1,15062,ASV12,6011,edna0001-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV12,0,6011,Cottus,Cottus sculpin species,genus,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Cottus,1
edna0001,motu13,727,1,Pholis laeta,Crescent gunnel,species,koeye estuary,seagrass,zostera,rep1,1050,ASV14,323,edna0001-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV14,630,0,Pholis laeta,Crescent gunnel,species,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Pholis,0
edna0001,motu19,50,1,Citharichthys stigmaeus,Speckled sanddab,species,koeye estuary,seagrass,zostera,rep1,50,ASV28,50,edna0001-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV21,0,50,Citharichthys stigmaeus,Speckled sanddab,species,Eukaryota,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Citharichthys,0
edna0001,motu34,35,1,Enophrys bison,Buffalo sculpin,species,koeye estuary,seagrass,zostera,rep1,35,ASV38,35,edna0001-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV38,0,35,Enophrys bison,Buffalo sculpin,species,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Enophrys,0
edna0001,motu11,15062,1,Cottus,Cottus sculpin species,genus,koeye estuary,seagrass,zostera,rep1,15062,ASV55,418,edna0001-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV12,0,418,Cottus,Cottus sculpin species,genus,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Cottus,1
edna0001,motu64,89,1,Salvelinus,Char species,genus,koeye estuary,seagrass,zostera,rep1,89,ASV79,37,edna0001-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV79,0,37,Salvelinus,Char species,genus,Eukaryota,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus,0
edna0001,motu72,194,1,Liparis cyclopus,Ribbon snailfish,species,koeye estuary,seagrass,zostera,rep1,194,ASV89,133,edna0001-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV89,0,133,Liparis cyclopus,Ribbon snailfish,species,Eukaryota,Chordata,Teleostei,Perciformes,Liparidae,Liparis,0
edna0001,motu44,90,1,Engraulis mordax,Northern anchovy,species,koeye estuary,seagrass,zostera,rep1,90,ASV443,57,edna0001-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV50,0,57,Engraulis mordax,Northern anchovy,species,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Engraulis,0
edna0001,motu237,95,1,Oligocottus maculosus,Tidepool sculpin,species,koeye estuary,seagrass,zostera,rep1,95,ASV733,95,edna0001-rep1,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV733,0,95,Oligocottus maculosus,Tidepool sculpin,species,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Oligocottus,0
edna0001,motu1,137,1,Clupea pallasii,Pacific herring,species,koeye estuary,seagrass,zostera,rep2,861,ASV1,40,edna0001-rep2,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV1,0,40,Clupea pallasii,Pacific herring,species,Eukaryota,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,0
edna0001,motu2,1823,1,Cymatogaster aggregata,Shiner perch,species,koeye estuary,seagrass,zostera,rep2,2670,ASV2,63,edna0001-rep2,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV2,0,63,Cymatogaster aggregata,Shiner perch,species,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
edna0001,motu3,3379,1,Ammodytes personatus,Pacific sandlance,species,koeye estuary,seagrass,zostera,rep2,3381,ASV3,250,edna0001-rep2,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV3,2,248,Ammodytes personatus,Pacific sandlance,species,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
edna0001,motu5,694,1,Gasterosteus aculeatus,Three-spined stickleback,species,koeye estuary,seagrass,zostera,rep2,694,ASV5,18,edna0001-rep2,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV5,0,18,Gasterosteus aculeatus,Three-spined stickleback,species,Eukaryota,Chordata,Teleostei,Perciformes,Gasterosteidae,Gasterosteus,0
edna0001,motu8,1185,1,Pleuronectidae,Flatfish family,family,koeye estuary,seagrass,zostera,rep2,1185,ASV10,50,edna0001-rep2,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV8,0,50,Pleuronectidae,Flatfish family,family,Eukaryota,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,NA,0
edna0001,motu11,15062,1,Cottus,Cottus sculpin species,genus,koeye estuary,seagrass,zostera,rep2,15062,ASV12,979,edna0001-rep2,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV12,0,979,Cottus,Cottus sculpin species,genus,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Cottus,1
edna0001,motu13,727,1,Pholis laeta,Crescent gunnel,species,koeye estuary,seagrass,zostera,rep2,1050,ASV14,80,edna0001-rep2,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV14,0,80,Pholis laeta,Crescent gunnel,species,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Pholis,0
edna0001,motu27,10,1,Myoxocephalus,Myoxocephalus sculpin species,genus,koeye estuary,seagrass,zostera,rep2,10,ASV30,10,edna0001-rep2,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV30,0,10,Myoxocephalus,Myoxocephalus sculpin species,genus,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Myoxocephalus,0
edna0001,motu11,15062,1,Cottus,Cottus sculpin species,genus,koeye estuary,seagrass,zostera,rep2,15062,ASV55,220,edna0001-rep2,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV12,0,220,Cottus,Cottus sculpin species,genus,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Cottus,1
edna0001,motu1,137,1,Clupea pallasii,Pacific herring,species,koeye estuary,seagrass,zostera,rep3,861,ASV1,97,edna0001-rep3,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV1,0,97,Clupea pallasii,Pacific herring,species,Eukaryota,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,0
edna0001,motu2,1823,1,Cymatogaster aggregata,Shiner perch,species,koeye estuary,seagrass,zostera,rep3,2670,ASV2,1098,edna0001-rep3,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV2,0,1098,Cymatogaster aggregata,Shiner perch,species,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
edna0001,motu3,3379,1,Ammodytes personatus,Pacific sandlance,species,koeye estuary,seagrass,zostera,rep3,3381,ASV3,1312,edna0001-rep3,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV3,0,1312,Ammodytes personatus,Pacific sandlance,species,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
edna0001,motu5,694,1,Gasterosteus aculeatus,Three-spined stickleback,species,koeye estuary,seagrass,zostera,rep3,694,ASV5,293,edna0001-rep3,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV5,0,293,Gasterosteus aculeatus,Three-spined stickleback,species,Eukaryota,Chordata,Teleostei,Perciformes,Gasterosteidae,Gasterosteus,0
edna0001,motu7,271,1,Leptocottus armatus,Pacific staghorn sculpin,species,koeye estuary,seagrass,zostera,rep3,590,ASV7,271,edna0001-rep3,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV7,0,271,Leptocottus armatus,Pacific staghorn sculpin,species,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Leptocottus,0
edna0001,motu9,125,1,Oncorhynchus kisutch,Coho salmon,species,koeye estuary,seagrass,zostera,rep3,125,ASV9,125,edna0001-rep3,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV9,0,125,Oncorhynchus kisutch,Coho salmon,species,Eukaryota,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,0
edna0001,motu8,1185,1,Pleuronectidae,Flatfish family,family,koeye estuary,seagrass,zostera,rep3,1185,ASV10,438,edna0001-rep3,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV8,0,438,Pleuronectidae,Flatfish family,family,Eukaryota,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,NA,0
edna0001,motu11,15062,1,Cottus,Cottus sculpin species,genus,koeye estuary,seagrass,zostera,rep3,15062,ASV12,6456,edna0001-rep3,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV12,0,6456,Cottus,Cottus sculpin species,genus,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Cottus,1
edna0001,motu13,727,1,Pholis laeta,Crescent gunnel,species,koeye estuary,seagrass,zostera,rep3,1050,ASV14,647,edna0001-rep3,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV14,0,647,Pholis laeta,Crescent gunnel,species,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Pholis,0
edna0001,motu44,90,1,Engraulis mordax,Northern anchovy,species,koeye estuary,seagrass,zostera,rep3,90,ASV50,33,edna0001-rep3,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV50,0,33,Engraulis mordax,Northern anchovy,species,Eukaryota,Chordata,Teleostei,Clupeiformes,Engraulidae,Engraulis,0
edna0001,motu11,15062,1,Cottus,Cottus sculpin species,genus,koeye estuary,seagrass,zostera,rep3,15062,ASV55,978,edna0001-rep3,2018_koeye-estuary_surface,2018-06-19,2018,surface,1,edna_ko_e3_00,surface,15.9,15.84,7.95,NA,NA,NA,2.2,51.77950168,-127.8716413,sand,NA,NA,NA,ASV12,0,978,Cottus,Cottus sculpin species,genus,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Cottus,1
