scientific_name,JN_EC,JN_SB,JN_BC,JN_AN,JN_FC,SE_GK,SE_NS,SE_SH,SE_NF,SE_RF,SE_NZ,HG_DSD,HG_MDD,HG_TK,HG_DN,HG_SB,HG_RI,HG_BH,HG_LIE,HG_ROI,CC_FAN3,CC_GOG1,CC_KIS2,CC_PBA,CC_CHP,CC_KIS1,NV_KC,NV_PC,NV_KB,NV_BI,NV_JL,IC_OPB,IC_MAB,IC_SHS,IC_GOW,IC_SMB,PP_EB,PP_S,PP_M,PP_O,PP_MI,PP_K,PP_SI,PP_MB,PP_HI,PP_JJ,PP_G,PP_C,PP_E,PS_BB,PS_BP,PS_NC,PS_BH,PS_IC,PS_YB,PS_SP,PS_SH,PS_BV,PS_FB,PS_FJ,WB_DP,WB_WP,WB_SB,WB_WR,WB_SP,WB_CO,WB_BC,WB_ST,WB_PA,YB_F,YB_SBN,YB_IF,YB_SBS,CB_BV,CB_FP,HB_EB,HB_SR,HB_KS,NC_B,NC_WP,NC_D,NC_NC,NC_BL,NC_E,NC_DE,NC_PS,NC_PM,NC_RB,MB_CB,MB_TP,LA_MS,LA_JD,LA_AB,LA_SP,LA_UN,LA_LN,SD_SDL,SD_CV,SD_KF,SD_FI,SD_SI,SD_CI
Hemilepidotus hemilepidotus,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Hexagrammos stelleri,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Myoxocephalus polyacanthocephalus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Liparis callyodon,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Enophrys diceraus,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Gymnocanthus galeatus,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Myoxocephalus scorpius,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Leptocottus armatus,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range
Limanda aspera,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
Lumpenus sagitta,North of range,North of range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,In range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range,South of range
