"","site_code","region_code","region_name","region_name_label","region_code_label","decimal_latitude","decimal_longitude","region_lat_name","avg_region_lat","samples","sites"
"1","JN_EC","AK_JN","AK_JN","Juneau Region, Alaska","Juneau Region, Alaska",58.6628818,-134.91603005,1,58.4775619525,100,5
"2","JN_SB","AK_JN","AK_JN","Juneau Region, Alaska","Juneau Region, Alaska",58.62645875,-134.9406095,1,58.4775619525,100,5
"3","JN_BC","AK_JN","AK_JN","Juneau Region, Alaska","Juneau Region, Alaska",58.385519775,-134.649318925,1,58.4775619525,100,5
"4","JN_AN","AK_JN","AK_JN","Juneau Region, Alaska","Juneau Region, Alaska",58.3810730625,-134.694368,1,58.4775619525,100,5
"5","JN_FC","AK_JN","AK_JN","Juneau Region, Alaska","Juneau Region, Alaska",58.331876375,-134.60853895,1,58.4775619525,100,5
"6","SE_GK","AK_SE","AK_SE","Southeast Alaska","Southeast Alaska",55.7402015,-133.3119625,2,55.5123978333333,55,6
"7","SE_NS","AK_SE","AK_SE","Southeast Alaska","Southeast Alaska",55.708296,-133.341115,2,55.5123978333333,55,6
"8","SE_SH","AK_SE","AK_SE","Southeast Alaska","Southeast Alaska",55.5986045,-133.161292,2,55.5123978333333,55,6
"9","SE_NF","AK_SE","AK_SE","Southeast Alaska","Southeast Alaska",55.496398,-133.167232,2,55.5123978333333,55,6
"10","SE_RF","AK_SE","AK_SE","Southeast Alaska","Southeast Alaska",55.2832375,-133.333312,2,55.5123978333333,55,6
"11","SE_NZ","AK_SE","AK_SE","Southeast Alaska","Southeast Alaska",55.2476495,-132.879147,2,55.5123978333333,55,6
"12","HG_DSD","BC_HGa","BC_HG","Haida Gwaii, British Columbia","Haida Gwaii, British Columbia",54.009672,-132.138685333333,3,52.9281802129648,135,9
"13","HG_MDD","BC_HGa","BC_HG","Haida Gwaii, British Columbia","Haida Gwaii, British Columbia",54.0090613333333,-132.149920666667,3,52.9281802129648,135,9
