sample,asv,reads_raw,sample_id,motu,found_taxa,common_name,rank,identity_percentage,evalue,in_ctrl_field,reads_adjust_field,ctrl_field0,ctrl_fieldlab0,reads_adjust_lab,ctrl_lab0,kingdom,phylum,class,order,family,genus,freshwater_only,biogeographical_notes,group,fish_base_url,n_dups,motu_pa,region_code,region_name,site_code,treatment,location_name,decimal_latitude,decimal_longitude,year,extraction_blank,library,dna_extraction_date,sample_collection_date,swell_m,tide,wind,rain,salinity_psu,collection_method,bottom_depth_m,seagrass_presence,seagrass_notes,describe_transect,notes,temperature_c,organization_participants,bsaredo,reads_adjust
pecoe001,ASV1,5823,pecoe-0001,motu1,Cymatogaster aggregata,Shiner perch,species,100,2.61e-84,NA,5823,no,no,5771,no,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0,NA,Perches,https://www.fishbase.ca/summary/Cymatogaster-aggregata.html,1,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,BSA_redo,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,redone,5771
pecoe001,ASV7,1536,pecoe-0001,motu7,Bos,Cow,offtarget,100,2.61e-84,NA,1536,no,yes,0,yes,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,BSA_redo,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,redone,0
pecoe001,ASV2,14090,pecoe-0001,motu2,Leptocottus armatus,Pacific staghorn sculpin,species,100,2.05e-85,NA,14090,no,no,14090,no,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Leptocottus,0,NA,Sculpins,https://www.fishbase.ca/summary/4112,1,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,BSA_redo,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,redone,14090
pecoe001,ASV4,4311,pecoe-0001,motu4,Atherinops affinis,Topsmelt silverside,species,95.858,1.23e-72,NA,4311,no,no,4311,no,Eukaryota,Chordata,Teleostei,Atheriniformes,Atherinidae,Atherinopsis,0,NA,NA,NA,NA,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,BSA_redo,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,redone,4311
pecoe001,ASV9,6924,pecoe-0001,motu9,Syngnathus californiensis,Bay pipefish,species,100,9.32e-84,NA,6924,no,no,6924,no,Eukaryota,Chordata,Teleostei,Syngnathiformes,Syngnathidae,Syngnathus,0,NA,NA,NA,NA,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,BSA_redo,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,redone,6924
pecoe001,ASV32,6405,pecoe-0001,motu30,Clevelandia ios,Arrow goby,species,100,2.61e-84,NA,6405,no,no,6405,no,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Clevelandia,0,"South to Rivers Inlet, BC",Other,https://www.fishbase.ca/summary/3840,1,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,BSA_redo,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,redone,6405
pecoe001,ASV66,13937,pecoe-0001,motu60,Gobiiformes,Goby order,order,89.697,2.72e-54,NA,13937,no,no,13937,no,Eukaryota,Chordata,Teleostei,Gobiiformes,NA,NA,0,NA,NA,NA,NA,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,BSA_redo,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,redone,13937
pecoe001,ASV331,5486,pecoe-0001,motu182,Clupea pallasii,Pacific herring,species,98.837,3.47e-83,NA,5486,no,no,5486,no,Eukaryota,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,0,NA,Forage fish,https://www.fishbase.ca/summary/Clupea-pallasii+pallasii.html,1,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,BSA_redo,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,redone,5486
pecoe001,ASV478,3258,pecoe-0001,motu1,Cymatogaster aggregata,Shiner perch,species,100,2.61e-84,NA,3258,no,no,3258,no,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0,NA,Perches,https://www.fishbase.ca/summary/Cymatogaster-aggregata.html,1,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,BSA_redo,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,redone,3258
pecoe001,ASV2661,237,pecoe-0001,motu1045,alpha proteobacterium,Bacteria,offtarget,99.209,5.01e-128,NA,237,no,no,237,no,Bacteria,Pseudomonadota,Alphaproteobacteria,NA,NA,NA,NA,NA,NA,NA,NA,1,CA_NCa,CA_NC,NC_E,Sample,Millerton,38.10503,-122.8484,2021,NA,BSA_redo,12/9/21,2021-06-24 00:00:00,0-0.5,low,light,none,35.0,by_foot,1-1.5,present,NA,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,"U: 17.57, L: 19.0",Claire Murphy,redone,237
