asv,reads_raw,sample_id,motu,found_taxa,common_name,rank,identity_percentage,evalue,in_ctrl_field,reads_adjust_field,ctrl_field0,ctrl_fieldlab0,reads_adjust_lab,ctrl_lab0,kingdom,phylum,class,order,family,genus,freshwater_only,biogeographical_notes,group,fish_base_url,n_dups,motu_pa,region_code,region_name,site_code,treatment,location_name,decimal_latitude,decimal_longitude,year,extraction_blank,library,dna_extraction_date,sample_collection_date,swell_m,tide,wind,rain,salinity_psu,collection_method,bottom_depth_m,seagrass_presence,seagrass_notes,describe_transect,notes,temperature_c,collection_time_24h,notes_about_sample,lab_notes,extraction_notes,organization_participants,reads_adjust
ASV1,197,pecoe-0456,motu1,Cymatogaster aggregata,Shiner perch,species,100,2.61e-84,yes,0,yes,yes,197,no,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0,NA,Perches,https://www.fishbase.ca/summary/Cymatogaster-aggregata.html,1,1,AK_SE,AK_SE,SE_GK,Field blank,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,443,NA,NA,NA,"Lia, Jessica, Emily",0
ASV3,55,pecoe-0456,motu3,Clupea pallasii,Pacific herring,species,100,1.6e-86,yes,0,yes,yes,55,no,Eukaryota,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,0,NA,Forage fish,https://www.fishbase.ca/summary/Clupea-pallasii+pallasii.html,1,1,AK_SE,AK_SE,SE_GK,Field blank,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,443,NA,NA,NA,"Lia, Jessica, Emily",0
ASV6,54,pecoe-0456,motu6,Gasterosteus aculeatus,Three-spined stickleback,species,100,7.31e-85,yes,0,yes,yes,54,no,Eukaryota,Chordata,Teleostei,Perciformes,Gasterosteidae,Gasterosteus,0,NA,Other,https://www.fishbase.ca/summary/Gasterosteus-aculeatus.html,1,1,AK_SE,AK_SE,SE_GK,Field blank,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,443,NA,NA,NA,"Lia, Jessica, Emily",0
ASV21,19,pecoe-0456,motu21,Merluccius productus,North Pacific hake,species,100,2.05e-85,yes,0,yes,yes,19,no,Eukaryota,Chordata,Teleostei,Gadiformes,Merlucciidae,Merluccius,0,south to northern Van Island,NA,NA,1,1,AK_SE,AK_SE,SE_GK,Field blank,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,443,NA,NA,NA,"Lia, Jessica, Emily",0
ASV40,17,pecoe-0456,motu38,Sebastes,Rockfish species,genus,100,2.61e-84,yes,0,yes,yes,17,no,Eukaryota,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,0,NA,NA,NA,1,1,AK_SE,AK_SE,SE_GK,Field blank,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,443,NA,NA,NA,"Lia, Jessica, Emily",0
ASV2805,80,pecoe-0456,motu1109,Leuroglossus schmidti,Northern smoothtongue,species,100,7.31e-85,yes,0,yes,yes,80,no,Eukaryota,Chordata,Teleostei,Argentiniformes,Bathylagidae,Leuroglossus,0,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Field blank,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,443,NA,NA,NA,"Lia, Jessica, Emily",0
ASV4025,9,pecoe-0456,motu1824,Unknown organism,Unknown organism,offtarget,98.824,1.83e-127,yes,0,yes,yes,9,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Field blank,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,443,NA,NA,NA,"Lia, Jessica, Emily",0
ASV4064,4,pecoe-0456,motu1860,Bacteria,Bacteria,offtarget,94.882,1.11e-109,yes,0,yes,yes,4,no,Bacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Field blank,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,443,NA,NA,NA,"Lia, Jessica, Emily",0
ASV1,86,pecoe-0457,motu1,Cymatogaster aggregata,Shiner perch,species,100,2.61e-84,yes,0,yes,yes,86,no,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0,NA,Perches,https://www.fishbase.ca/summary/Cymatogaster-aggregata.html,1,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,432,NA,NA,NA,"Lia, Jessica, Emily",0
ASV6,60,pecoe-0457,motu6,Gasterosteus aculeatus,Three-spined stickleback,species,100,7.31e-85,yes,6,no,no,60,no,Eukaryota,Chordata,Teleostei,Perciformes,Gasterosteidae,Gasterosteus,0,NA,Other,https://www.fishbase.ca/summary/Gasterosteus-aculeatus.html,1,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,432,NA,NA,NA,"Lia, Jessica, Emily",6
ASV5,39720,pecoe-0457,motu5,Pholis laeta,Crescent gunnel,species,100,2.61e-84,NA,39720,no,no,39720,no,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Pholis,0,north to northern California,Eelpouts and pricklebacks,https://www.fishbase.ca/summary/Pholis-laeta.html,1,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,432,NA,NA,NA,"Lia, Jessica, Emily",39720
ASV38,21661,pecoe-0457,motu36,Oncorhynchus kisutch,Coho salmon,species,100,2.05e-85,NA,21661,no,no,21661,no,Eukaryota,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,0,NA,Salmon,https://www.fishbase.ca/summary/Oncorhynchus-kisutch.html,1,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,432,NA,NA,NA,"Lia, Jessica, Emily",21661
ASV88,21026,pecoe-0457,motu74,Clinocottus acuticeps,Sharpnose sculpin,species,100,2.05e-85,NA,21026,no,no,21026,no,Eukaryota,Chordata,Teleostei,Perciformes,Cottidae,Clinocottus,0,north to central cali,Sculpins,https://www.fishbase.ca/summary/Clinocottus-acuticeps.html,1,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,432,NA,NA,NA,"Lia, Jessica, Emily",21026
ASV71,26583,pecoe-0457,motu64,Citharichthys stigmaeus,Speckled sanddab,species,100,7.31e-85,NA,26583,no,no,26583,no,Eukaryota,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Citharichthys,0,NA,Flatfish,https://www.fishbase.ca/summary/Citharichthys-stigmaeus,1,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,432,NA,NA,NA,"Lia, Jessica, Emily",26583
ASV146,246,pecoe-0457,motu89,Unknown organism,Unknown organism,offtarget,100,2.31e-131,NA,246,no,no,246,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,432,NA,NA,NA,"Lia, Jessica, Emily",246
ASV393,16,pecoe-0457,motu212,Unknown bacteria,Bacteria,offtarget,99.18,5.11e-123,NA,16,no,no,16,no,Bacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,432,NA,NA,NA,"Lia, Jessica, Emily",16
ASV3073,28,pecoe-0457,motu1240,Bacteria,Bacteria,offtarget,91.829,5.299999999999999e-98,NA,28,no,no,28,no,Bacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,432,NA,NA,NA,"Lia, Jessica, Emily",28
ASV1,125,pecoe-0458,motu1,Cymatogaster aggregata,Shiner perch,species,100,2.61e-84,yes,0,yes,yes,125,no,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0,NA,Perches,https://www.fishbase.ca/summary/Cymatogaster-aggregata.html,1,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,436,NA,NA,NA,"Lia, Jessica, Emily",0
ASV5,76092,pecoe-0458,motu5,Pholis laeta,Crescent gunnel,species,100,2.61e-84,NA,76092,no,no,76092,no,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Pholis,0,north to northern California,Eelpouts and pricklebacks,https://www.fishbase.ca/summary/Pholis-laeta.html,1,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,436,NA,NA,NA,"Lia, Jessica, Emily",76092
ASV114,1491,pecoe-0458,motu89,Unknown organism,Unknown organism,offtarget,100,2.31e-131,NA,1491,no,no,1491,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,436,NA,NA,NA,"Lia, Jessica, Emily",1491
ASV146,952,pecoe-0458,motu89,Unknown organism,Unknown organism,offtarget,100,2.31e-131,NA,952,no,no,952,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,436,NA,NA,NA,"Lia, Jessica, Emily",952
ASV216,10643,pecoe-0458,motu137,Unknown organism,Unknown organism,offtarget,99.605,1.0799999999999996e-129,NA,10643,no,no,10643,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,436,NA,NA,NA,"Lia, Jessica, Emily",10643
ASV297,91,pecoe-0458,motu172,Rhizosolenia  setigera,Diatom,offtarget,100,2.31e-131,NA,91,no,no,91,no,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,NA,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,436,NA,NA,NA,"Lia, Jessica, Emily",91
ASV1479,269,pecoe-0458,motu590,Unknown bacteria,Bacteria,offtarget,97.959,1.4099999999999996e-118,NA,269,no,no,269,no,Bacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,436,NA,NA,NA,"Lia, Jessica, Emily",269
ASV1701,517,pecoe-0458,motu248,Unknown organism,Unknown organism,offtarget,100,2.31e-131,NA,517,no,no,517,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,436,NA,NA,NA,"Lia, Jessica, Emily",517
ASV1844,487,pecoe-0458,motu719,Unknown bacteria,Bacteria,offtarget,98.828,5.079999999999999e-128,NA,487,no,no,487,no,Bacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,436,NA,NA,NA,"Lia, Jessica, Emily",487
ASV3276,137,pecoe-0458,motu264,Bacteria,Bacteria,offtarget,91.304,1.13e-94,NA,137,no,no,137,no,Bacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,436,NA,NA,NA,"Lia, Jessica, Emily",137
ASV3443,115,pecoe-0458,motu1427,Alcaligenes,Bacteria,offtarget,100,2.31e-131,NA,115,no,no,115,no,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,NA,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,436,NA,NA,NA,"Lia, Jessica, Emily",115
ASV3759,9,pecoe-0458,motu1039,Bacteria,Bacteria,offtarget,95.703,1.11e-114,NA,9,no,no,9,no,Bacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,436,NA,NA,NA,"Lia, Jessica, Emily",9
ASV3,35159,pecoe-0459,motu3,Clupea pallasii,Pacific herring,species,100,1.6e-86,yes,35104,no,no,35159,no,Eukaryota,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,0,NA,Forage fish,https://www.fishbase.ca/summary/Clupea-pallasii+pallasii.html,1,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,439,NA,NA,NA,"Lia, Jessica, Emily",35104
ASV5,58018,pecoe-0459,motu5,Pholis laeta,Crescent gunnel,species,100,2.61e-84,NA,58018,no,no,58018,no,Eukaryota,Chordata,Teleostei,Perciformes,Pholidae,Pholis,0,north to northern California,Eelpouts and pricklebacks,https://www.fishbase.ca/summary/Pholis-laeta.html,1,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,439,NA,NA,NA,"Lia, Jessica, Emily",58018
ASV114,909,pecoe-0459,motu89,Unknown organism,Unknown organism,offtarget,100,2.31e-131,NA,909,no,no,909,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,439,NA,NA,NA,"Lia, Jessica, Emily",909
ASV146,209,pecoe-0459,motu89,Unknown organism,Unknown organism,offtarget,100,2.31e-131,NA,209,no,no,209,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,AK_SE,AK_SE,SE_GK,Sample,Guktu Bay,55.7402015,-133.3119625,2022,exblank-2022-028,Library 1,45028,2022-07-12 00:00:00,0-0.5,ebb,none,medium,28.2,by_boat,1,present,NA,NA,NA,11.3,439,NA,NA,NA,"Lia, Jessica, Emily",209
