motu,motu_swarm,asv,curated,lulu_rank,found_taxa,common_name,rank,identity_percentage,evalue,kingdom,phylum,class,order,family,genus,freshwater_only,biogeographical_notes,group,fish_base_url,n_dups,remove
motu41,motu41,ASV44,parent,40,Acanthogobius flavimanus,Yellowfin goby,species,100,9.32e-84,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Acanthogobius,0,japan,NA,NA,1,NA
motu41,motu41,ASV103,parent,40,Acanthogobius flavimanus,Yellowfin goby,species,100,9.32e-84,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Acanthogobius,0,japan,NA,NA,1,NA
motu41,motu41,ASV234,parent,40,Acanthogobius flavimanus,Yellowfin goby,species,100,9.32e-84,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Acanthogobius,0,japan,NA,NA,1,NA
motu318,motu318,ASV798,parent,336,Agonidae,Poacher family,family,98.817,1.58e-81,Eukaryota,Chordata,Teleostei,Perciformes,Agonidae,NA,0,NA,NA,NA,NA,NA
motu189,motu189,ASV417,parent,198,Agonopsis vulsa,Northern spearnose poacher,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Agonidae,Agonopsis,0,NA,NA,NA,NA,NA
motu169,motu169,ASV346,parent,137,Albula,Bonefish species,genus,94.444,1.0200000000000001e-73,Eukaryota,Chordata,Teleostei,Albuliformes,Albulidae,Albula,0,NA,NA,NA,NA,NA
motu169,motu169,ASV368,parent,137,Albula,Bonefish species,genus,94.444,1.0200000000000001e-73,Eukaryota,Chordata,Teleostei,Albuliformes,Albulidae,Albula,0,NA,NA,NA,NA,NA
motu162,motu162,ASV316,parent,170,Alosa sapidissima,American shad,species,100,4.49e-87,Eukaryota,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,0,NA,NA,NA,NA,NA
motu21,motu21,ASV22,parent,22,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0,NA,Forage fish,https://www.fishbase.ca/summary/Ammodytes-personatus.html,1,NA
motu21,motu21,ASV159,parent,22,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0,NA,Forage fish,https://www.fishbase.ca/summary/Ammodytes-personatus.html,1,NA
motu21,motu21,ASV539,parent,22,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0,NA,Forage fish,https://www.fishbase.ca/summary/Ammodytes-personatus.html,1,NA
motu21,motu21,ASV1048,parent,22,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0,NA,Forage fish,https://www.fishbase.ca/summary/Ammodytes-personatus.html,1,NA
motu21,motu21,ASV1225,parent,22,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0,NA,Forage fish,https://www.fishbase.ca/summary/Ammodytes-personatus.html,1,NA
motu21,motu21,ASV1262,parent,22,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0,NA,Forage fish,https://www.fishbase.ca/summary/Ammodytes-personatus.html,1,NA
motu21,motu21,ASV1274,parent,22,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0,NA,Forage fish,https://www.fishbase.ca/summary/Ammodytes-personatus.html,1,NA
motu21,motu21,ASV1693,parent,22,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0,NA,Forage fish,https://www.fishbase.ca/summary/Ammodytes-personatus.html,1,NA
motu21,motu21,ASV1695,parent,22,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0,NA,Forage fish,https://www.fishbase.ca/summary/Ammodytes-personatus.html,1,NA
motu21,motu21,ASV1698,parent,22,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0,NA,Forage fish,https://www.fishbase.ca/summary/Ammodytes-personatus.html,1,NA
