sample_id,year,sequenced,missing,missing_status,lowreads,in_miseq,fish_miseq,treatment,site_code,region_code
exblank-2021-001,2021,yes,missing,dropped before filterandtrim,NA,no,no,Extraction blank,NA,NA
exblank-2021-002,2021,yes,in dataset,NA,NA,no,no,Extraction blank,NA,NA
exblank-2021-003,2021,yes,missing,dropped before filterandtrim,NA,no,no,Extraction blank,NA,NA
exblank-2021-005a,2021,yes,missing,dropped before filterandtrim,NA,no,no,Extraction blank,NA,NA
exblank-2021-005b,2021,yes,in dataset,NA,NA,no,no,Extraction blank,NA,NA
exblank-2021-006,2021,yes,in dataset,NA,NA,no,no,Extraction blank,NA,NA
exblank-2021-007,2021,yes,in dataset,NA,NA,no,no,Extraction blank,NA,NA
exblank-2021-008,2021,yes,missing,dropped before filterandtrim,NA,no,no,Extraction blank,NA,NA
exblank-2021-009,2021,yes,in dataset,NA,NA,no,no,Extraction blank,NA,NA
exblank-2021-010,2021,yes,in dataset,NA,NA,no,no,Extraction blank,NA,NA
exblank-2021-011,2021,yes,in dataset,NA,NA,no,no,Extraction blank,NA,NA
exblank-2021-012,2021,yes,missing,dropped before filterandtrim,NA,no,no,Extraction blank,NA,NA
exblank-2021-013,2021,yes,missing,dropped before filterandtrim,NA,no,no,Extraction blank,NA,NA
exblank-2021-014,2021,yes,in dataset,NA,NA,no,no,Extraction blank,NA,NA
exblank-2021-015,2021,yes,in dataset,NA,NA,no,no,Extraction blank,NA,NA
exblank-2021-016,2021,yes,missing,dropped before filterandtrim,NA,no,no,Extraction blank,NA,NA
exblank-2021-018,2021,yes,missing,dropped before filterandtrim,NA,no,no,Extraction blank,NA,NA
exblank-2021-019,2021,yes,in dataset,NA,NA,no,no,Extraction blank,NA,NA
exblank-2021-020,2021,yes,missing,dropped before filterandtrim,NA,no,no,Extraction blank,NA,NA
exblank-2022-024,2022,yes,missing,NA,NA,no,no,Extraction blank,NA,NA
exblank-2022-025,2022,yes,missing,NA,no,no,no,Extraction blank,NA,NA
exblank-2022-026,2022,yes,missing,NA,no,no,no,Extraction blank,NA,NA
exblank-2022-027,2022,yes,missing,NA,< 25,no,no,Extraction blank,NA,NA
exblank-2022-028,2022,yes,missing,NA,< 100,no,no,Extraction blank,NA,NA
exblank-2022-029,2022,yes,missing,NA,no,no,no,Extraction blank,NA,NA
exblank-2022-031,2022,yes,missing,NA,NA,no,no,Extraction blank,NA,NA
exblank-2022-032,2022,yes,missing,dropped during sequencing,NA,no,no,Extraction blank,NA,NA
exblank-2022-033,2022,yes,missing,NA,NA,no,no,Extraction blank,NA,NA
exblank-2022-034,2022,yes,missing,NA,NA,no,no,Extraction blank,NA,NA
exblank-2022-035,2022,yes,missing,NA,no,no,no,Extraction blank,NA,NA
exblank-2022-036,2022,yes,missing,dropped during sequencing,NA,no,no,Extraction blank,NA,NA
exblank-2022-037,2022,yes,missing,NA,no,no,no,Extraction blank,NA,NA
exblank-2022-038,2022,yes,missing,NA,NA,no,no,Extraction blank,NA,NA
exblank-2023-41,2023,yes,in dataset,NA,no,no,no,Extraction blank,NA,NA
exblank-2023-42,2023,yes,missing,dropped during merge step,< 5,no,no,Extraction blank,NA,NA
exblank-2023-43,2023,yes,missing,dropped during sequencing,NA,no,no,Extraction blank,NA,NA
exblank-2023-44,2023,yes,in dataset,NA,no,no,no,Extraction blank,NA,NA
exblank-2023-45,2023,yes,in dataset,NA,no,no,no,Extraction blank,NA,NA
exblank-2023-46,2023,yes,in dataset,NA,NA,no,no,Extraction blank,NA,NA
exblank-2023-47,2023,yes,missing,dropped before filterandtrim,NA,no,no,Extraction blank,NA,NA
