found_taxa,common_name,temp_95,region_mean_meansst,region_label
Platichthys stellatus,Starry flounder,10.108,12.6841,"Juneau Region, Alaska"
Cryptacanthodes giganteus,Giant wrymouth,12.0389,12.8351,Southeast Alaska
Hemilepidotus hemilepidotus,Red Irish lord,13.502,13.4816,"Haida Gwaii, British Columbia"
Liparis cyclopus,Ribbon snailfish,13.4769,13.4816,"Haida Gwaii, British Columbia"
Platichthys stellatus,Starry flounder,10.108,13.4816,"Haida Gwaii, British Columbia"
Hemilepidotus hemilepidotus,Red Irish lord,13.502,14.3412,Central Coast British Columbia
Platichthys stellatus,Starry flounder,10.108,14.3412,Central Coast British Columbia
Platichthys stellatus,Starry flounder,10.108,12.9267,"North Vancouver Island, British Columbia"
Ammodytes personatus,Pacific sandlance,15.6068,16.3456,"Inner Coast, British Columbia"
Artedius fenestralis,Padded sculpin,16.8227,16.3456,"Inner Coast, British Columbia"
Artedius harringtoni,Scalyhead sculpin,16.3535,16.3456,"Inner Coast, British Columbia"
Clupea pallasii,Pacific herring,15.0505,16.3456,"Inner Coast, British Columbia"
Cymatogaster aggregata,Shiner perch,16.17,16.3456,"Inner Coast, British Columbia"
Enophrys bison,Buffalo sculpin,16.5356,16.3456,"Inner Coast, British Columbia"
Gadus chalcogrammus,Alaska pollock,14.708,16.3456,"Inner Coast, British Columbia"
Gobiesox maeandricus,Northern clingfish,16.407,16.3456,"Inner Coast, British Columbia"
Hexagrammos decagrammus,Kelp greenling,15.3471,16.3456,"Inner Coast, British Columbia"
Hydrolagus colliei,Spotted ratfish,16.02,16.3456,"Inner Coast, British Columbia"
Lepidogobius lepidus,Bay goby,14.8127,16.3456,"Inner Coast, British Columbia"
Merluccius productus,North Pacific hake,16.22,16.3456,"Inner Coast, British Columbia"
Oncorhynchus clarkii,Cutthroat trout,15.1,16.3456,"Inner Coast, British Columbia"
Oncorhynchus gorbuscha,Pink salmon,16.0632,16.3456,"Inner Coast, British Columbia"
Oncorhynchus keta,Chum salmon,15.5522,16.3456,"Inner Coast, British Columbia"
Oncorhynchus kisutch,Coho salmon,16,16.3456,"Inner Coast, British Columbia"
Oncorhynchus tshawytscha,Chinook salmon,15.8,16.3456,"Inner Coast, British Columbia"
Ophiodon elongatus,Lingcod,16.1133,16.3456,"Inner Coast, British Columbia"
Platichthys stellatus,Starry flounder,10.108,16.3456,"Inner Coast, British Columbia"
Pleuronichthys coenosus,C-O sole,15.7508,16.3456,"Inner Coast, British Columbia"
Hemilepidotus hemilepidotus,Red Irish lord,13.502,14.3415,"Pacific Rim Park, British Columbia"
Platichthys stellatus,Starry flounder,10.108,14.3415,"Pacific Rim Park, British Columbia"
Clupea pallasii,Pacific herring,15.0505,13.7372,"Puget Sound & Padilla Bay, Washington"
Cryptacanthodes giganteus,Giant wrymouth,12.0389,13.7372,"Puget Sound & Padilla Bay, Washington"
Platichthys stellatus,Starry flounder,10.108,13.7372,"Puget Sound & Padilla Bay, Washington"
Ammodytes personatus,Pacific sandlance,15.6068,16.0234,"Willapa Bay, Washington"
Clupea pallasii,Pacific herring,15.0505,16.0234,"Willapa Bay, Washington"
Cymatogaster aggregata,Shiner perch,16.17,16.0234,"Willapa Bay, Washington"
Gadus chalcogrammus,Alaska pollock,14.708,16.0234,"Willapa Bay, Washington"
Hexagrammos decagrammus,Kelp greenling,15.3471,16.0234,"Willapa Bay, Washington"
Lepidogobius lepidus,Bay goby,14.8127,16.0234,"Willapa Bay, Washington"
Merluccius productus,North Pacific hake,16.22,16.0234,"Willapa Bay, Washington"
Oncorhynchus clarkii,Cutthroat trout,15.1,16.0234,"Willapa Bay, Washington"
