"","found_taxa","common_name","rank"
"1","Cymatogaster aggregata","Shiner perch","species"
"2","Leptocottus armatus","Pacific staghorn sculpin","species"
"3","Atherinops affinis","Topsmelt silverside","species"
"4","Syngnathus californiensis","Bay pipefish","species"
"5","Clevelandia ios","Arrow goby","species"
"6","Clupea pallasii","Pacific herring","species"
"7","Acanthogobius flavimanus","Yellowfin goby","species"
"8","Gasterosteus aculeatus","Three-spined stickleback","species"
"9","Gillichthys mirabilis","Longjaw mudsucker","species"
"10","Salmo salar","Atlantic salmon","species"
"11","Morone saxatilis","Striped bass invasive","species"
"12","Lavinia exilicauda","Hitch","species"
"13","Ammodytes personatus","Pacific sandlance","species"
"14","Atherinopsis californiensis","Jack silverside","species"
"15","Engraulis mordax","Californian anchovy","species"
"16","Oncorhynchus tshawytscha","Chinook salmon","species"
"17","Embiotoca jacksoni","Black perch","species"
"18","Citharichthys stigmaeus","Speckled sanddab","species"
"19","Lepidogobius lepidus","Bay goby","species"
"20","Cebidichthys violaceus","Monkeyface prickleback","species"
"21","Phanerodon vacca","Pile perch","species"
"22","Pholis ornata","Saddleback gunnel","species"
"23","Pholis laeta","Crescent gunnel","species"
"24","Hexagrammos decagrammus","Kelp greenling","species"
"25","Anoplopoma fimbria","Sablefish","species"
"26","Ophiodon elongatus","Lingcod","species"
"27","Oligocottus snyderi","Fluffy sculpin","species"
"28","Oncorhynchus gorbuscha","Pink salmon","species"
"29","Oncorhynchus keta","Chum salmon","species"
"30","Hemilepidotus hemilepidotus","Red Irish lord","species"
"31","Enophrys bison","Buffalo sculpin","species"
"32","Scorpaenichthys marmoratus","Cabezon","species"
"33","Merluccius productus","North Pacific hake","species"
"34","Artedius harringtoni","Scalyhead sculpin","species"
"35","Oncorhynchus kisutch","Coho salmon","species"
"36","Aulorhynchus flavidus","Tube-snout","species"
"37","Hippoglossus stenolepis","Pacific halibut","species"
"38","Clinocottus acuticeps","Sharpnose sculpin","species"
"39","Auxis rochei","Bullet tuna","species"
"40","Apodichthys flavidus","Penpoint gunnel","species"
"41","Sardinops sagax","South American pilchard","species"
"42","Embiotoca lateralis","Striped seaperch","species"
"43","Allosmerus elongatus","Whitebait smelt","species"
"44","Lumpenus sagitta","Snake prickleback","species"
"45","Artedius lateralis","Smoothhead sculpin","species"
"46","Sebastes entomelas","Widow rockfish","species"
"47","Pleuronichthys coenosus","C-O sole","species"
"48","Artedius fenestralis","Padded sculpin","species"
"49","Ronquilus jordani","Northern ronquil","species"
"50","Rhinogobiops nicholsii","Blackeye goby","species"
"51","Thunnus alalunga","Albacore","species"
"52","Blepsias cirrhosus","Silverspotted sculpin","species"
"53","Ascelichthys rhodorus","Rosylip sculpin","species"
"54","Oncorhynchus clarkii","Cutthroat trout","species"
"55","Paralabrax maculatofasciatus","Spotted sand bass","species"
"56","Alosa sapidissima","American shad","species"
"57","Notorynchus cepedianus","Broadnose sevengill shark","species"
"58","Cryptacanthodes giganteus","Giant wrymouth","species"
"59","Quietula y-cauda","American shadow goby","species"
"60","Anisotremus davidsonii","Xantic sargo","species"
"61","Brachygenys californiensis","Californian salema","species"
"62","Mugil cephalus","Flathead grey mullet","species"
"63","Hypsoblennius gentilis","Bay blenny","species"
"64","Paralabrax clathratus","Kelp bass","species"
"65","Paralabrax nebulifer","Barred sand bass","species"
"66","Anchoa delicatissima","Slough anchovy","species"
"67","Cynoscion parvipinnis","Shortfin weakfish","species"
"68","Seriola lalandi","Yellowtail amberjack","species"
"69","Heterostichus rostratus","Giant kelpfish","species"
"70","Micrometrus minimus","Dwarf perch","species"
"71","Girella nigricans","Rudderfish","species"
"72","Paralichthys californicus","California halibut","species"
"73","Menticirrhus undulatus","California kingcroaker","species"
"74","Fundulus parvipinnis","California killifish","species"
"75","Pleuronichthys guttulatus","Diamond turbot","species"
"76","Anchoa compressa","Deep body anchovy","species"
"77","Leuresthes tenuis","California grunion","species"
"78","Gadus chalcogrammus","Alaska pollock","species"
"79","Atractoscion nobilis","White seabass","species"
"80","Roncador stearnsii","Spotfin croaker","species"
"81","Umbrina roncador","Yellowfin drum","species"
"82","Sebastes nebulosus","China rockfish","species"
"83","Jordania zonope","Longfin sculpin","species"
"84","Nautichthys oculofasciatus","Sailfin sculpin","species"
"85","Gobiesox maeandricus","Northern clingfish","species"
"86","Liparis florae","Tidepool snailfish","species"
"87","Rimicola muscarum","Kelp clingfish","species"
"88","Phytichthys chirus","Ribbon prickleback","species"
"89","Sebastes paucispinis","Bocaccio rockfish","species"
"90","Myoxocephalus stelleri","Steller's sculpin","species"
"91","Brachyistius frenatus","Kelp perch","species"
"92","Psychrolutes paradoxus","Tadpole sculpin","species"
"93","Liparis greeni","Lobefin snailfish","species"
"94","Microgadus proximus","Pacific tomcod","species"
"95","Gibbonsia montereyensis","Crevice kelpfish","species"
"96","Oxylebius pictus","Painted greenling","species"
"97","Oncorhynchus nerka","Sockeye salmon","species"
"98","Citharichthys sordidus","Pacific sanddab","species"
"99","Leuroglossus schmidti","Northern smoothtongue","species"
"100","Platichthys stellatus","Starry flounder","species"
"101","Anarrhichthys ocellatus","Wolf eel","species"
"102","Mallotus villosus","Capelin","species"
"103","Thaleichthys pacificus","Eulachon","species"
"104","Peprilus simillimus","Pacific pompano","species"
"105","Cosmocampus arctus","Snubnose pipefish","species"
"106","Hydrolagus colliei","Spotted ratfish","species"
"107","Hypsoblennius jenkinsi","Mussel blenny","species"
"108","Tautogolabrus adspersus","Cunner no records","species"
"109","Synchirus gilli","Manacled sculpin","species"
"110","Liparis cyclopus","Ribbon snailfish","species"
"111","Pleuronichthys decurrens","Curlfin sole","species"
"112","Seriphus politus","Queenfish","species"
"113","Kyphosus azureus","Zebra-perch sea chub","species"
"114","Lycodes brevipes","Shortfin eelpout","species"
"115","Gambusia affinis","Mosquitofish invasive","species"
"116","Myliobatis californica","Bat ray","species"
"117","Typhlogobius californiensis","Blind goby","species"
"118","Scomber japonicus","Chub mackerel","species"
"119","Liparis mucosus","Slimy snailfish","species"
"120","Tridentiger trigonocephalus","Chameleon goby invasive","species"
"121","Cololabis saira","Pacific saury","species"
"122","Spirinchus starksi","Night smelt","species"
"123","Artedius notospilotus","Bonehead sculpin","species"
"124","Orthonopias triacis","Snubnose sculpin","species"
"125","Clinocottus globiceps","Mosshead sculpin","species"
"126","Clinocottus embryum","Calico sculpin","species"
