found_taxa,common_name,dangerlevel,temp_95,sti_value,region_label,decimal_latitude,site_last5_meansst,site_last5_temp75,site_last5_temp95
Cymatogaster aggregata,Shiner perch,2 uncomfortable,16.17,11.206163030265502,"Bodega Bay, California",38.10503,14.481902173913044,15.490875,16.382949999999997
Leptocottus armatus,Pacific staghorn sculpin,1 safe,18.449,11.537443212943543,"Bodega Bay, California",38.10503,14.481902173913044,15.490875,16.382949999999997
Syngnathus californiensis,Bay pipefish,1 safe,18.918750000000003,13.196948692152915,"Bodega Bay, California",38.10503,14.481902173913044,15.490875,16.382949999999997
Clevelandia ios,Arrow goby,1 safe,23.119999999999997,18.924724489795917,"Bodega Bay, California",38.10503,14.481902173913044,15.490875,16.382949999999997
Clupea pallasii,Pacific herring,3 high,15.0505,8.531887571773222,"Bodega Bay, California",38.10503,14.481902173913044,15.490875,16.382949999999997
Acanthogobius flavimanus,Yellowfin goby,1 safe,26.14,15.471480299448384,"Bodega Bay, California",38.10503,14.481902173913044,15.490875,16.382949999999997
Gasterosteus aculeatus,Three-spined stickleback,1 safe,19.099625,10.770302831408788,"Bodega Bay, California",38.10503,14.481902173913044,15.490875,16.382949999999997
Gillichthys mirabilis,Longjaw mudsucker,1 safe,25.58,19.354855122364196,"Bodega Bay, California",38.10503,14.481902173913044,15.490875,16.382949999999997
Salmo salar,Atlantic salmon,1 safe,16.896,10.431068796938057,"Bodega Bay, California",38.10503,14.481902173913044,15.490875,16.382949999999997
Morone saxatilis,Striped bass invasive,1 safe,20.586,12.587436398620234,"Bodega Bay, California",38.10503,14.481902173913044,15.490875,16.382949999999997
Lavinia exilicauda,Hitch,1 safe,17.34333333333333,14.721582417582418,"Bodega Bay, California",38.10503,14.481902173913044,15.490875,16.382949999999997
Cymatogaster aggregata,Shiner perch,1 safe,16.17,11.206163030265502,"Bodega Bay, California",38.184255,13.88376038104543,14.901499999999999,16.096225
Leptocottus armatus,Pacific staghorn sculpin,1 safe,18.449,11.537443212943543,"Bodega Bay, California",38.184255,13.88376038104543,14.901499999999999,16.096225
