found_taxa,common_name,rank,motu,asv,found_taxa_asv,common_name_asv,rank_asv,identity_percentage,evalue,kingdom,phylum,class,order,family,genus,freshwater_only
Acanthogobius flavimanus,Yellowfin goby,species,motu48,ASV52,Acanthogobius flavimanus,Yellowfin goby,species,100,9.32e-84,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Acanthogobius,0
Acanthogobius flavimanus,Yellowfin goby,species,motu48,ASV104,Acanthogobius flavimanus,Yellowfin goby,species,100,9.32e-84,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Acanthogobius,0
Acanthogobius flavimanus,Yellowfin goby,species,motu48,ASV1847,Acanthogobius flavimanus,Yellowfin goby,species,99.401,4.3399999999999995e-82,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Acanthogobius,0
Acanthogobius flavimanus,Yellowfin goby,species,motu48,ASV2186,Acanthogobius flavimanus,Yellowfin goby,species,99.401,4.3399999999999995e-82,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Acanthogobius,0
Acanthogobius flavimanus,Yellowfin goby,species,motu48,ASV52,Acanthogobius flavimanus,Yellowfin goby,species,100,9.32e-84,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Acanthogobius,0
Acanthogobius flavimanus,Yellowfin goby,species,motu247,ASV585,Acanthogobius flavimanus,Yellowfin goby,species,100,9.45e-84,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Acanthogobius,0
Acinetobacter radioresistens,Bacteria,offtarget,motu1051,ASV2931,Acinetobacter radioresistens,Bacteria,offtarget,98.024,5.05e-123,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,NA
Agonidae,Poacher family,family,motu267,ASV651,Agonidae,Poacher family,family,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Agonidae,NA,0
Agonidae,Poacher family,family,motu267,ASV2341,Agonidae,Poacher family,family,98.817,1.58e-81,Eukaryota,Chordata,Teleostei,Perciformes,Agonidae,NA,0
Agonidae,Poacher family,family,motu267,ASV2926,Agonidae,Poacher family,family,98.817,1.58e-81,Eukaryota,Chordata,Teleostei,Perciformes,Agonidae,NA,0
Agonidae,Poacher family,family,motu267,ASV651,Agonidae,Poacher family,family,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Agonidae,NA,0
Agonidae,Poacher family,family,motu314,ASV813,Agonidae,Poacher family,family,98.817,1.58e-81,Eukaryota,Chordata,Teleostei,Perciformes,Agonidae,NA,0
Agonidae,Poacher family,family,motu1253,ASV3413,Agonidae,Poacher family,family,98.235,7.36e-80,Eukaryota,Chordata,Teleostei,Perciformes,Agonidae,NA,0
Agonopsis vulsa,Northern spearnose poacher,species,motu195,ASV406,Agonopsis vulsa,Northern spearnose poacher,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Agonidae,Agonopsis,0
Albula,Bonefish species,genus,motu164,ASV336,Albula,Bonefish species,genus,94.444,1.0200000000000001e-73,Eukaryota,Chordata,Teleostei,Albuliformes,Albulidae,Albula,0
Albula,Bonefish species,genus,motu164,ASV356,Albula,Bonefish species,genus,94.382,1.32e-72,Eukaryota,Chordata,Teleostei,Albuliformes,Albulidae,Albula,0
Albula,Bonefish species,genus,motu164,ASV336,Albula,Bonefish species,genus,94.444,1.0200000000000001e-73,Eukaryota,Chordata,Teleostei,Albuliformes,Albulidae,Albula,0
Alcaligenes,Bacteria,offtarget,motu1631,ASV4122,Alcaligenes,Bacteria,offtarget,100,2.31e-131,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,NA
Allosmerus elongatus,Whitebait smelt,species,motu1066,ASV2968,Allosmerus elongatus,Whitebait smelt,species,100,2.61e-84,Eukaryota,Chordata,Teleostei,Osmeriformes,Osmeridae,Allosmerus,0
Alosa sapidissima,American shad,species,motu119,ASV182,Alosa sapidissima,American shad,species,100,4.49e-87,Eukaryota,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,0
Alphaproteobacteria,Bacteria,offtarget,motu887,ASV2517,Alphaproteobacteria,Bacteria,offtarget,94.444,1.8699999999999996e-107,Bacteria,Pseudomonadota,Alphaproteobacteria,NA,NA,NA,NA
Alphaproteobacteria,Bacteria,offtarget,motu1414,ASV3725,Alphaproteobacteria,Bacteria,offtarget,100,2.31e-131,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sulfitobacter,NA
Alphaproteobacteria,Bacteria,offtarget,motu1905,ASV4536,Alphaproteobacteria,Bacteria,offtarget,100,2.31e-131,Bacteria,Pseudomonadota,Alphaproteobacteria,NA,NA,NA,NA
Ammodytes personatus,Pacific sandlance,species,motu19,ASV600,Ammodytes,Pacific sandlance species,genus,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV19,Ammodytes personatus,Pacific sandlance,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV331,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV709,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV871,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu19,ASV1019,Ammodytes personatus,Pacific sandlance,species,99.408,3.4e-83,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
