site_code,region_name,region_lat_name,region_code_label,avg_site_lat,sst20_summer_mean_c,sst20_summer_sd_c,sst21_summer_mean_c,sst21_summer_sd_c,sst22_summer_mean_c,sst22_summer_sd_c,sst23_summer_mean_c,sst23_summer_sd_c,sst24_summer_mean_c,sst24_summer_sd_c,region_code,region_name_label,samples,sites,mean_5yr_site
JN_EC,AK_JN,1,"Juneau Region, Alaska",58.6628818,11.484212022325012,0.4709432659339315,12.00872261421812,2.2279026286002317,13.47462831040833,1.4678897575366718,13.062563593109692,2.2409634546268205,13.062563593109692,2.2409634546268205,AK_JN,"Juneau Region, Alaska",102,5,12.61853802663417
JN_SB,AK_JN,1,"Juneau Region, Alaska",58.62645875,11.489944399985593,0.4868154358942947,12.018226836634948,2.2212079230663,13.447797266782912,1.4652002315341897,13.05396550841036,2.252925841417988,13.05396550841036,2.252925841417988,AK_JN,"Juneau Region, Alaska",102,5,12.612779904044835
JN_BC,AK_JN,1,"Juneau Region, Alaska",58.385519775,11.595339158616692,0.6118147005122967,12.089009742812806,2.1150651583633575,13.20438250032554,1.4636010354258626,12.8956135126699,2.3734734982133388,12.8956135126699,2.3734734982133388,AK_JN,"Juneau Region, Alaska",102,5,12.535991685418967
JN_AN,AK_JN,1,"Juneau Region, Alaska",58.3810730625,11.597676277160645,0.5775098204612732,12.06975269317627,2.122020959854126,13.29314136505127,1.4563816785812378,12.937642097473145,2.402280807495117,12.937642097473145,2.402280807495117,AK_JN,"Juneau Region, Alaska",102,5,12.567170906066895
JN_FC,AK_JN,1,"Juneau Region, Alaska",58.331876375,11.617207527160645,0.602923572063446,12.070149421691895,2.101978063583374,13.20208740234375,1.4759242534637451,12.841400146484375,2.4008872509002686,12.841400146484375,2.4008872509002686,AK_JN,"Juneau Region, Alaska",102,5,12.514448928833009
SE_GK,AK_SE,2,Southeast Alaska,55.7402015,12.542449951171875,1.5026999711990356,12.805155754089355,1.482099175453186,12.852070808410645,1.4039597511291504,12.693206787109375,2.059037685394287,12.693206787109375,2.059037685394287,AK_SE,Southeast Alaska,68,6,12.717218017578125
SE_NS,AK_SE,2,Southeast Alaska,55.708296,12.528961181640625,1.5078067779541016,12.7899169921875,1.4970643520355225,12.83936595916748,1.4225127696990967,12.675984382629395,2.0605177879333496,12.675984382629395,2.0605177879333496,AK_SE,Southeast Alaska,68,6,12.702042579650879
SE_SH,AK_SE,2,Southeast Alaska,55.5986045,12.66228199005127,1.4257116317749023,12.985870361328125,1.5399991273880005,13.185028076171875,1.4776614904403687,13.03400707244873,2.160362720489502,13.03400707244873,2.160362720489502,AK_SE,Southeast Alaska,68,6,12.980238914489746
SE_NF,AK_SE,2,Southeast Alaska,55.496398,12.65825366973877,1.407357096672058,12.96729564666748,1.5578217506408691,13.171895027160645,1.513710379600525,13.035685539245605,2.1475610733032227,13.035685539245605,2.1475610733032227,AK_SE,Southeast Alaska,68,6,12.97376308441162
SE_RF,AK_SE,2,Southeast Alaska,55.2832375,12.352253913879395,1.5265361070632935,12.56787109375,1.533024549484253,12.819671630859375,1.5294779539108276,12.518341064453125,1.907262921333313,12.518341064453125,1.907262921333313,AK_SE,Southeast Alaska,68,6,12.555295753479005
