found_taxa,common_name,rank,motu,motu_swarm,asv,curated,lulu_rank,found_taxa_asv,common_name_asv,rank_asv,identity_percentage,evalue,kingdom,phylum,class,order,family,genus,freshwater_only
Acanthogobius flavimanus,Yellowfin goby,species,motu89,motu89,ASV137,parent,82,Acanthogobius flavimanus,Yellowfin goby,species,100,2.2e-84,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Acanthogobius,0
Acanthogobius flavimanus,Yellowfin goby,species,motu89,motu89,ASV177,parent,82,Acanthogobius flavimanus,Yellowfin goby,species,100,2.2e-84,Eukaryota,Chordata,Teleostei,Gobiiformes,Gobiidae,Acanthogobius,0
Acanthuriformes,Acanthuriform order,order,motu150,motu150,ASV489,parent,137,Acanthuriformes,Acanthuriform order,order,85.211,2.39e-34,Eukaryota,Chordata,Teleostei,Acanthuriformes,NA,NA,0
Acipenser,White sturgeon,genus,motu205,motu205,ASV439,parent,223,Acipenser,White sturgeon,genus,100,1.4200000000000001e-91,Eukaryota,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,0
Acipenser transmontanus,White sturgeon,species,motu168,motu168,ASV363,parent,182,Acipenser transmontanus,White sturgeon,species,100,1.4200000000000001e-91,Eukaryota,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,0
Agonopsis vulsa,Northern spearnose poacher,species,motu182,motu182,ASV394,parent,200,Agonopsis vulsa,Northern spearnose poacher,species,100,1.73e-85,Eukaryota,Chordata,Teleostei,Perciformes,Agonidae,Agonopsis,0
Alces alces,Moose,outgroup,motu46,motu46,ASV58,parent,64,Alces alces,Moose,outgroup,100,6.150000000000001e-85,Eukaryota,Chordata,Mammalia,Artiodactyla,Cervidae,Alces,NA
Alosa pseudoharengus,Alewife invasive,species,motu149,motu149,ASV302,parent,160,Alosa pseudoharengus,Alewife invasive,species,100,1.0599999999999998e-87,Eukaryota,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,0
Alosa sapidissima,American shad,species,motu67,motu67,ASV90,parent,90,Alosa sapidissima,American shad,species,100,1.0599999999999998e-87,Eukaryota,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,0
Ammodytes personatus,Pacific sandlance,species,motu17,motu17,ASV18,parent,18,Ammodytes personatus,Pacific sandlance,species,100,1.72e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu17,motu17,ASV123,parent,18,Ammodytes personatus,Pacific sandlance,species,100,1.73e-85,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu17,motu17,ASV932,parent,18,Ammodytes personatus,Pacific sandlance,species,99.408,8.02e-84,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu17,motu17,ASV1141,parent,18,Ammodytes personatus,Pacific sandlance,species,99.408,8.02e-84,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu17,motu17,ASV1318,parent,18,Ammodytes personatus,Pacific sandlance,species,99.408,8.02e-84,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu17,motu17,ASV1370,parent,18,Ammodytes personatus,Pacific sandlance,species,99.408,8.02e-84,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
Ammodytes personatus,Pacific sandlance,species,motu17,motu17,ASV257,parent,18,Ammodytes personatus,Pacific sandlance,species,99.408,8.07e-84,Eukaryota,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,0
