"","verbatim_name","accepted_name","species","taxon_rank","taxonomic_status","class","order","family","genus","taxon_id","is_marine","is_brackish","is_freshwater","ncbi_id"
"1","Syngnathus leptorhynchus","Syngnathus californiensis","Syngnathus californiensis","species","junior subjective synonym","Teleostei","Syngnathiformes","Syngnathidae","Syngnathus",275218,NA,NA,NA,NA
"2","Cottus asper","Cottus asper","Cottus asper","species","accepted","Teleostei","Perciformes","Cottidae","Cottus",274368,NA,NA,NA,NA
"3","Clupea pallasii","Clupea pallasii","Clupea pallasii","species","accepted","Teleostei","Clupeiformes","Clupeidae","Clupea",151159,TRUE,TRUE,TRUE,30724
"4","Parophrys vetulus","Parophrys vetulus","Parophrys vetulus","species","accepted","Teleostei","Pleuronectiformes","Pleuronectidae","Parophrys",254393,TRUE,FALSE,FALSE,172659
"5","Atheresthes stomias","Atheresthes stomias","Atheresthes stomias","species","accepted","Teleostei","Pleuronectiformes","Pleuronectidae","Atheresthes",279792,TRUE,FALSE,FALSE,428034
"6","Glyptocephalus zachirus","Glyptocephalus zachirus","Glyptocephalus zachirus","species","accepted","Teleostei","Pleuronectiformes","Pleuronectidae","Glyptocephalus",274287,TRUE,FALSE,FALSE,195612
"7","Microstomus pacificus","Microstomus pacificus","Microstomus pacificus","species","accepted","Teleostei","Pleuronectiformes","Pleuronectidae","Microstomus",274294,TRUE,FALSE,FALSE,89058
"8","Hydrolagus colliei","Hydrolagus colliei","Hydrolagus colliei","species","accepted","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus",271406,TRUE,FALSE,FALSE,7873
"9","Lepidopsetta bilineata","Lepidopsetta bilineata","Lepidopsetta bilineata","species","accepted","Teleostei","Pleuronectiformes","Pleuronectidae","Lepidopsetta",281305,TRUE,FALSE,FALSE,195623
"10","Sebastes alutus","Sebastes alutus","Sebastes alutus","species","accepted","Teleostei","Perciformes","Sebastidae","Sebastes",254573,TRUE,FALSE,FALSE,72055
"11","Oncorhynchus nerka","Oncorhynchus nerka","Oncorhynchus nerka","species","accepted","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus",254569,TRUE,TRUE,TRUE,8023
