accepted_name,verbatim_name,taxonomic_status,species,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,taxon_id,ncbi_id
Clupea pallasii,Clupea pallasii,accepted,Clupea pallasii,species,Teleostei,Clupeiformes,Clupeidae,Clupea,TRUE,TRUE,TRUE,151159,30724
Parophrys vetulus,Parophrys vetulus,accepted,Parophrys vetulus,species,Teleostei,Pleuronectiformes,Pleuronectidae,Parophrys,TRUE,FALSE,FALSE,254393,172659
Atheresthes stomias,Atheresthes stomias,accepted,Atheresthes stomias,species,Teleostei,Pleuronectiformes,Pleuronectidae,Atheresthes,TRUE,FALSE,FALSE,279792,428034
Glyptocephalus zachirus,Glyptocephalus zachirus,accepted,Glyptocephalus zachirus,species,Teleostei,Pleuronectiformes,Pleuronectidae,Glyptocephalus,TRUE,FALSE,FALSE,274287,195612
Microstomus pacificus,Microstomus pacificus,accepted,Microstomus pacificus,species,Teleostei,Pleuronectiformes,Pleuronectidae,Microstomus,TRUE,FALSE,FALSE,274294,89058
Hydrolagus colliei,Hydrolagus colliei,accepted,Hydrolagus colliei,species,Holocephali,Chimaeriformes,Chimaeridae,Hydrolagus,TRUE,FALSE,FALSE,271406,7873
Lepidopsetta bilineata,Lepidopsetta bilineata,accepted,Lepidopsetta bilineata,species,Teleostei,Pleuronectiformes,Pleuronectidae,Lepidopsetta,TRUE,FALSE,FALSE,281305,195623
Sebastes alutus,Sebastes alutus,accepted,Sebastes alutus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,254573,72055
Oncorhynchus nerka,Oncorhynchus nerka,accepted,Oncorhynchus nerka,species,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,254569,8023
Sebastolobus alascanus,Sebastolobus alascanus,accepted,Sebastolobus alascanus,species,Teleostei,Perciformes,Sebastidae,Sebastolobus,TRUE,FALSE,FALSE,282740,72110
Thaleichthys pacificus,Thaleichthys pacificus,accepted,Thaleichthys pacificus,species,Teleostei,Osmeriformes,Osmeridae,Thaleichthys,TRUE,TRUE,TRUE,282959,240832
Oncorhynchus kisutch,Oncorhynchus kisutch,accepted,Oncorhynchus kisutch,species,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,127184,8019
Gadus macrocephalus,Gadus macrocephalus,accepted,Gadus macrocephalus,species,Teleostei,Gadiformes,Gadidae,Gadus,TRUE,TRUE,FALSE,254538,80720
Gadus chalcogrammus,Gadus chalcogrammus,accepted,Gadus chalcogrammus,species,Teleostei,Gadiformes,Gadidae,Gadus,TRUE,TRUE,FALSE,300735,1042646
Squalus suckleyi,Squalus suckleyi,accepted,Squalus suckleyi,species,Elasmobranchii,Squaliformes,Squalidae,Squalus,TRUE,TRUE,FALSE,299224,7798
Sebastes ruberrimus,Sebastes ruberrimus,accepted,Sebastes ruberrimus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274844,72098
Citharichthys sordidus,Citharichthys sordidus,accepted,Citharichthys sordidus,species,Teleostei,Pleuronectiformes,Paralichthyidae,Citharichthys,TRUE,FALSE,FALSE,275694,319774
Anoplopoma fimbria,Anoplopoma fimbria,accepted,Anoplopoma fimbria,species,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,TRUE,FALSE,FALSE,159463,229290
Hippoglossoides elassodon,Hippoglossoides elassodon,accepted,Hippoglossoides elassodon,species,Teleostei,Pleuronectiformes,Pleuronectidae,Hippoglossoides,TRUE,FALSE,FALSE,274289,30945
Sebastes maliger,Sebastes maliger,accepted,Sebastes maliger,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274815,72084
Sebastes brevispinis,Sebastes brevispinis,accepted,Sebastes brevispinis,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274778,72060
Oncorhynchus keta,Oncorhynchus keta,accepted,Oncorhynchus keta,species,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,127183,8018
Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,accepted,Oncorhynchus gorbuscha,species,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,127182,8017
Sebastes babcocki,Sebastes babcocki,accepted,Sebastes babcocki,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274775,72059
Merluccius productus,Merluccius productus,accepted,Merluccius productus,species,Teleostei,Gadiformes,Merlucciidae,Merluccius,TRUE,TRUE,FALSE,272458,89952
Sebastes zacentrus,Sebastes zacentrus,accepted,Sebastes zacentrus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274869,72108
Sebastes proriger,Sebastes proriger,accepted,Sebastes proriger,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274838,394703
Lyopsetta exilis,Lyopsetta exilis,accepted,Lyopsetta exilis,species,Teleostei,Pleuronectiformes,Pleuronectidae,Lyopsetta,TRUE,FALSE,FALSE,281452,195626
Hippoglossus stenolepis,Hippoglossus stenolepis,accepted,Hippoglossus stenolepis,species,Teleostei,Pleuronectiformes,Pleuronectidae,Hippoglossus,TRUE,FALSE,FALSE,274290,195615
Eopsetta jordani,Eopsetta jordani,accepted,Eopsetta jordani,species,Teleostei,Pleuronectiformes,Pleuronectidae,Eopsetta,TRUE,FALSE,FALSE,280690,195609
Sebastes helvomaculatus,Sebastes helvomaculatus,accepted,Sebastes helvomaculatus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274799,72079
Microgadus proximus,Microgadus proximus,accepted,Microgadus proximus,species,Teleostei,Gadiformes,Gadidae,Microgadus,TRUE,TRUE,FALSE,275873,80721
