"","accepted_name","verbatim_name","taxonomic_status","species","taxon_rank","class","order","family","genus","is_marine","is_brackish","is_freshwater","taxon_id","ncbi_id","fishbase_name"
"1","Clupea pallasii","Clupea pallasii","accepted","Clupea pallasii","species","Teleostei","Clupeiformes","Clupeidae","Clupea",TRUE,TRUE,TRUE,151159,30724,"Clupea pallasii"
"2","Parophrys vetulus","Parophrys vetulus","accepted","Parophrys vetulus","species","Teleostei","Pleuronectiformes","Pleuronectidae","Parophrys",TRUE,FALSE,FALSE,254393,172659,"Parophrys vetulus"
"3","Atheresthes stomias","Atheresthes stomias","accepted","Atheresthes stomias","species","Teleostei","Pleuronectiformes","Pleuronectidae","Atheresthes",TRUE,FALSE,FALSE,279792,428034,"Atheresthes stomias"
"4","Glyptocephalus zachirus","Glyptocephalus zachirus","accepted","Glyptocephalus zachirus","species","Teleostei","Pleuronectiformes","Pleuronectidae","Glyptocephalus",TRUE,FALSE,FALSE,274287,195612,"Glyptocephalus zachirus"
"5","Microstomus pacificus","Microstomus pacificus","accepted","Microstomus pacificus","species","Teleostei","Pleuronectiformes","Pleuronectidae","Microstomus",TRUE,FALSE,FALSE,274294,89058,"Microstomus pacificus"
"6","Hydrolagus colliei","Hydrolagus colliei","accepted","Hydrolagus colliei","species","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus",TRUE,FALSE,FALSE,271406,7873,"Hydrolagus colliei"
"7","Lepidopsetta bilineata","Lepidopsetta bilineata","accepted","Lepidopsetta bilineata","species","Teleostei","Pleuronectiformes","Pleuronectidae","Lepidopsetta",TRUE,FALSE,FALSE,281305,195623,"Lepidopsetta bilineata"
"8","Sebastes alutus","Sebastes alutus","accepted","Sebastes alutus","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,254573,72055,"Sebastes alutus"
"9","Oncorhynchus nerka","Oncorhynchus nerka","accepted","Oncorhynchus nerka","species","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus",TRUE,TRUE,TRUE,254569,8023,"Oncorhynchus nerka"
"10","Sebastolobus alascanus","Sebastolobus alascanus","accepted","Sebastolobus alascanus","species","Teleostei","Perciformes","Sebastidae","Sebastolobus",TRUE,FALSE,FALSE,282740,72110,"Sebastolobus alascanus"
"11","Thaleichthys pacificus","Thaleichthys pacificus","accepted","Thaleichthys pacificus","species","Teleostei","Osmeriformes","Osmeridae","Thaleichthys",TRUE,TRUE,TRUE,282959,240832,"Thaleichthys pacificus"
"12","Oncorhynchus kisutch","Oncorhynchus kisutch","accepted","Oncorhynchus kisutch","species","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus",TRUE,TRUE,TRUE,127184,8019,"Oncorhynchus kisutch"
"13","Gadus macrocephalus","Gadus macrocephalus","accepted","Gadus macrocephalus","species","Teleostei","Gadiformes","Gadidae","Gadus",TRUE,TRUE,FALSE,254538,80720,"Gadus macrocephalus"
"14","Gadus chalcogrammus","Gadus chalcogrammus","accepted","Gadus chalcogrammus","species","Teleostei","Gadiformes","Gadidae","Gadus",TRUE,TRUE,FALSE,300735,1042646,"Gadus chalcogrammus"
"15","Squalus suckleyi","Squalus suckleyi","accepted","Squalus suckleyi","species","Elasmobranchii","Squaliformes","Squalidae","Squalus",TRUE,TRUE,FALSE,299224,7798,"Squalus suckleyi"
"16","Sebastes ruberrimus","Sebastes ruberrimus","accepted","Sebastes ruberrimus","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274844,72098,"Sebastes ruberrimus"
"17","Citharichthys sordidus","Citharichthys sordidus","accepted","Citharichthys sordidus","species","Teleostei","Pleuronectiformes","Paralichthyidae","Citharichthys",TRUE,FALSE,FALSE,275694,319774,"Citharichthys sordidus"
"18","Anoplopoma fimbria","Anoplopoma fimbria","accepted","Anoplopoma fimbria","species","Teleostei","Perciformes","Anoplopomatidae","Anoplopoma",TRUE,FALSE,FALSE,159463,229290,"Anoplopoma fimbria"
"19","Hippoglossoides elassodon","Hippoglossoides elassodon","accepted","Hippoglossoides elassodon","species","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossoides",TRUE,FALSE,FALSE,274289,30945,"Hippoglossoides elassodon"
"20","Sebastes maliger","Sebastes maliger","accepted","Sebastes maliger","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274815,72084,"Sebastes maliger"
