accepted_name,verbatim_name,taxonomic_status,species,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,taxon_id,ncbi_id,region
Gadus chalcogrammus,Gadus chalcogrammus,accepted,Gadus chalcogrammus,species,Teleostei,Gadiformes,Gadidae,Gadus,TRUE,TRUE,FALSE,300735,1042646,Gulf of Alaska
Hippoglossoides elassodon,Hippoglossoides elassodon,accepted,Hippoglossoides elassodon,species,Teleostei,Pleuronectiformes,Pleuronectidae,Hippoglossoides,TRUE,FALSE,FALSE,274289,30945,Gulf of Alaska
Ammodytes hexapterus,Ammodytes hexapterus,accepted,Ammodytes hexapterus,species,Teleostei,Perciformes,Ammodytidae,Ammodytes,TRUE,TRUE,FALSE,254510,476914,Gulf of Alaska
Gadus macrocephalus,Gadus macrocephalus,accepted,Gadus macrocephalus,species,Teleostei,Gadiformes,Gadidae,Gadus,TRUE,TRUE,FALSE,254538,80720,Gulf of Alaska
Atheresthes stomias,Atheresthes stomias,accepted,Atheresthes stomias,species,Teleostei,Pleuronectiformes,Pleuronectidae,Atheresthes,TRUE,FALSE,FALSE,279792,428034,Gulf of Alaska
Glyptocephalus zachirus,Glyptocephalus zachirus,accepted,Glyptocephalus zachirus,species,Teleostei,Pleuronectiformes,Pleuronectidae,Glyptocephalus,TRUE,FALSE,FALSE,274287,195612,Gulf of Alaska
Microstomus pacificus,Microstomus pacificus,accepted,Microstomus pacificus,species,Teleostei,Pleuronectiformes,Pleuronectidae,Microstomus,TRUE,FALSE,FALSE,274294,89058,Gulf of Alaska
Stenobrachius leucopsarus,Stenobrachius leucopsarus,accepted,Stenobrachius leucopsarus,species,Teleostei,Myctophiformes,Myctophidae,Stenobrachius,TRUE,FALSE,FALSE,254363,91658,Gulf of Alaska
Hippoglossus stenolepis,Hippoglossus stenolepis,accepted,Hippoglossus stenolepis,species,Teleostei,Pleuronectiformes,Pleuronectidae,Hippoglossus,TRUE,FALSE,FALSE,274290,195615,Gulf of Alaska
Mallotus villosus,Mallotus villosus,accepted,Mallotus villosus,species,Teleostei,Osmeriformes,Osmeridae,Mallotus,TRUE,TRUE,TRUE,126735,30960,Gulf of Alaska
Hexagrammos decagrammus,Hexagrammos decagrammus,accepted,Hexagrammos decagrammus,species,Teleostei,Perciformes,Hexagrammidae,Hexagrammos,TRUE,FALSE,FALSE,240732,274741,Gulf of Alaska
Lepidopsetta polyxystra,Lepidopsetta polyxystra,accepted,Lepidopsetta polyxystra,species,Teleostei,Pleuronectiformes,Pleuronectidae,Lepidopsetta,TRUE,FALSE,FALSE,281307,433389,Gulf of Alaska
Anoplopoma fimbria,Anoplopoma fimbria,accepted,Anoplopoma fimbria,species,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,TRUE,FALSE,FALSE,159463,229290,Gulf of Alaska
Lepidopsetta bilineata,Lepidopsetta bilineata,accepted,Lepidopsetta bilineata,species,Teleostei,Pleuronectiformes,Pleuronectidae,Lepidopsetta,TRUE,FALSE,FALSE,281305,195623,Gulf of Alaska
Leuroglossus schmidti,Leuroglossus schmidti,accepted,Leuroglossus schmidti,species,Teleostei,Argentiniformes,Bathylagidae,Leuroglossus,TRUE,FALSE,FALSE,254551,557346,Gulf of Alaska
Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,accepted,Oncorhynchus tshawytscha,species,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,158075,74940,Gulf of Alaska
Platichthys stellatus,Platichthys stellatus,accepted,Platichthys stellatus,species,Teleostei,Pleuronectiformes,Pleuronectidae,Platichthys,TRUE,TRUE,TRUE,154781,195632,Gulf of Alaska
Sebastolobus alascanus,Sebastolobus alascanus,accepted,Sebastolobus alascanus,species,Teleostei,Perciformes,Sebastidae,Sebastolobus,TRUE,FALSE,FALSE,282740,72110,Gulf of Alaska
Cryptacanthodes aleutensis,Cryptacanthodes aleutensis,accepted,Cryptacanthodes aleutensis,species,Teleostei,Perciformes,Cryptacanthodidae,Cryptacanthodes,TRUE,FALSE,FALSE,276390,557343,Gulf of Alaska
Hemilepidotus hemilepidotus,Hemilepidotus hemilepidotus,accepted,Hemilepidotus hemilepidotus,species,Teleostei,Perciformes,Cottidae,Hemilepidotus,TRUE,FALSE,FALSE,254521,433390,Gulf of Alaska
Sebastes aleutianus,Sebastes aleutianus,accepted,Sebastes aleutianus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274771,214485,Gulf of Alaska
Sebastes variabilis,Sebastes variabilis,accepted,Sebastes variabilis,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,398442,394707,Gulf of Alaska
Isopsetta isolepis,Isopsetta isolepis,accepted,Isopsetta isolepis,species,Teleostei,Pleuronectiformes,Pleuronectidae,Isopsetta,TRUE,FALSE,FALSE,281189,195617,Gulf of Alaska
Sebastes borealis,Sebastes borealis,accepted,Sebastes borealis,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274777,394687,Gulf of Alaska
Sebastes alutus,Sebastes alutus,accepted,Sebastes alutus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,254573,72055,Gulf of Alaska
