"","found_taxa","hakai_all","mifishlist","ednaasv","npfish"
"1","Cymatogaster aggregata",1,1,1,1
"2","Aulorhynchus flavidus",1,1,1,1
"3","Parophrys vetulus",1,1,0,1
"4","Citharichthys sordidus",1,1,1,1
"5","Psettichthys melanostictus",1,1,0,1
"6","Ammodytes hexapterus",1,1,0,1
"7","Scorpaenichthys marmoratus",1,1,1,1
"8","Platichthys stellatus",1,1,0,1
"9","Hypomesus pretiosus",1,1,1,1
"10","Oncorhynchus nerka",1,1,1,1
"11","Oncorhynchus kisutch",1,1,1,1
"12","Oncorhynchus gorbuscha",1,1,1,1
"13","Leptocottus armatus",1,1,1,1
"14","Salvelinus malma",1,1,0,1
"15","Sebastes melanops",1,1,0,1
"16","Syngnathus californiensis",1,1,1,1
"17","Rimicola muscarum",1,1,1,1
"18","Clupea pallasii",1,1,1,1
"19","Gasterosteus aculeatus",1,1,1,1
"20","Apodichthys flavidus",1,1,1,1
"21","Oligocottus maculosus",1,1,1,1
"22","Hexagrammos decagrammus",1,1,1,1
"23","Enophrys bison",1,1,1,1
"24","Hemilepidotus hemilepidotus",1,1,1,1
"25","Pleuronichthys coenosus",1,1,1,1
"26","Blepsias cirrhosus",1,1,1,1
"27","Clinocottus acuticeps",1,1,1,1
"28","Synchirus gilli",1,1,1,1
"29","Sebastes caurinus",1,1,0,1
"30","Artedius lateralis",1,1,1,1
"31","Rhinogobiops nicholsii",1,1,1,1
"32","Embiotoca lateralis",1,1,1,1
"33","Sebastes pinniger",1,1,0,1
"34","Ophiodon elongatus",1,1,1,1
"35","Gobiesox maeandricus",1,1,1,1
"36","Pholis laeta",1,1,1,1
"37","Brachyistius frenatus",1,1,1,1
"38","Liparis mucosus",1,1,1,1
"39","Artedius fenestralis",1,1,1,1
"40","Hexagrammos lagocephalus",1,1,0,1
"41","Sebastes maliger",1,1,0,1
"42","Gibbonsia metzi",1,1,0,1
"43","Artedius harringtoni",1,1,1,1
"44","Myoxocephalus polyacanthocephalus",1,1,0,1
"45","Oxylebius pictus",1,1,1,1
"46","Hexagrammos stelleri",1,1,0,1
"47","Gibbonsia montereyensis",1,1,1,1
"48","Anoplarchus insignis",1,1,0,1
"49","Orthonopias triacis",1,1,1,1
"50","Anoplarchus purpurescens",1,1,0,1
"51","Trichodon trichodon",1,1,1,1
"52","Xiphister mucosus",1,1,0,1
"53","Ascelichthys rhodorus",1,1,1,1
"54","Nautichthys oculofasciatus",1,1,1,1
"55","Lepidopsetta bilineata",1,1,0,1
"56","Chitonotus pugetensis",1,1,1,1
"57","Microgadus proximus",1,1,1,1
"58","Lepidogobius lepidus",1,1,1,1
"59","Clevelandia ios",1,1,1,1
"60","Cottus asper",1,1,0,1
"61","Engraulis mordax",1,1,1,1
"62","Lumpenus sagitta",1,1,1,1
"63","Citharichthys stigmaeus",1,1,1,1
"64","Sebastes paucispinis",1,1,1,1
"65","Oncorhynchus tshawytscha",1,1,1,1
"66","Pallasina barbata",1,1,0,1
"67","Gadus chalcogrammus",1,1,1,1
"68","Gadus macrocephalus",1,1,1,1
"69","Beringraja binoculata",1,1,0,1
"70","Amphistichus rhodoterus",1,1,1,1
"71","Odontopyxis trispinosa",1,1,1,1
"72","Oncorhynchus keta",1,1,1,1
"73","Jordania zonope",1,1,1,1
"74","Cololabis saira",1,1,0,1
"75","Oncorhynchus mykiss",1,1,0,1
"76","Ptilichthys goodei",1,1,0,1
"77","Sebastes flavidus",1,1,0,1
"78","Podothecus accipenserinus",1,1,0,1
"79","Sebastes miniatus",1,1,0,1
"80","Liparis cyclopus",1,1,1,1
"81","Sardinops sagax",1,1,0,1
"82","Pleuronichthys decurrens",1,1,0,1
"83","Sebastes nebulosus",1,1,1,1
"84","Chirolophis decoratus",1,1,0,1
"85","Sebastes ciliatus",1,1,0,1
"86","Rhamphocottus richardsonii",1,1,1,1
"87","Hydrolagus colliei",1,1,1,1
"88","Sebastes brevispinis",1,1,0,1
"89","Anarrhichthys ocellatus",1,1,1,1
"90","Alos sapidissima",1,0,0,1
"91","Clupea pallasi",1,0,0,1
"92","Coryphopterus nicholsi",1,0,0,1
"93","Oligocottus rimensis",1,0,0,1
"94","Rhacochilus vacca",1,0,0,1
"95","Sebastes diaconus",1,0,0,1
"96","Sebastes nigrocintus",1,0,0,1
"97","Theragra chalcogramma",1,0,0,1
"98","Abalistes filamentosus",0,1,0,0
"99","Abalistes stellatus",0,1,0,0
"100","Abantennarius analis",0,1,0,0
"101","Abantennarius coccineus",0,1,0,0
"102","Abantennarius dorehensis",0,1,0,0
"103","Abantennarius nummifer",0,1,0,0
"104","Abantennarius rosaceus",0,1,0,0
"105","Abbottina rivularis",0,1,0,0
"106","Ablabys gymnothorax",0,1,0,0
"107","Ablabys macracanthus",0,1,0,0
"108","Ablabys taenianotus",0,1,0,0
"109","Ablennes hians",0,1,0,0
"110","Aboma etheostoma",0,1,0,0
"111","Abramis brama",0,1,0,0
"112","Abudefduf abdominalis",0,1,0,0
"113","Abudefduf bengalensis",0,1,0,0
"114","Abudefduf hoefleri",0,1,0,0
"115","Abudefduf natalensis",0,1,0,0
"116","Abudefduf notatus",0,1,0,0
"117","Abudefduf saxatilis",0,1,0,0
"118","Abudefduf septemfasciatus",0,1,0,0
"119","Abudefduf sexfasciatus",0,1,0,0
"120","Abudefduf sordidus",0,1,0,0
"121","Abudefduf sparoides",0,1,0,0
"122","Abudefduf taurus",0,1,0,0
"123","Abudefduf troschelii",0,1,0,0
"124","Abudefduf vaigiensis",0,1,0,0
