"","accession","found_taxa","rank","common_name","taxa_verbatim","ncbi_sp","worms_match","worms_aphiaid","status","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","hybrid","ncbi_taxonomy_2"
"1","LC278276","Abalistes filamentosus","species",NA,"Abalistes filamentosus","Abalistes filamentosus","Abalistes filamentosus",276793,"accepted","Matsuura & Yoshino, 2004","Eukaryota","Chordata","Teleostei","Tetraodontiformes","Balistidae","Abalistes","0","0",NA,NA
"2","AP009202","Abalistes stellatus","species",NA,"Abalistes stellaris","Abalistes stellaris","Abalistes stellaris",219873,"unaccepted","(Anonymous, 1798)","Eukaryota","Chordata","Teleostei","Tetraodontiformes","Balistidae","Abalistes","0","0",NA,NA
"3","MG515171","Abalistes stellatus","species",NA,"Abalistes stellaris","Abalistes stellaris","Abalistes stellaris",219873,"unaccepted","(Anonymous, 1798)","Eukaryota","Chordata","Teleostei","Tetraodontiformes","Balistidae","Abalistes","0","0",NA,NA
"4","AY700248","Abalistes stellatus","species",NA,"Abalistes stellatus","Abalistes stellatus","Abalistes stellatus",219873,"accepted","(Anonymous, 1798)","Eukaryota","Chordata","Teleostei","Tetraodontiformes","Balistidae","Abalistes","0","0",NA,NA
"5","AB282830","Abantennarius coccineus","species",NA,"Abantennarius coccineus","Abantennarius coccineus","Abantennarius coccineus",1605256,"accepted","(Lesson, 1831)","Eukaryota","Chordata","Teleostei","Lophiiformes","Antennariidae","Abantennarius","0","0",NA,NA
"6","OP035140","Abantennarius coccineus","species",NA,"Abantennarius coccineus","Abantennarius coccineus","Abantennarius coccineus",1605256,"accepted","(Lesson, 1831)","Eukaryota","Chordata","Teleostei","Lophiiformes","Antennariidae","Abantennarius","0","0",NA,NA
"7","MZ598147","Abantennarius coccineus","species",NA,"Abantennarius coccineus","Abantennarius coccineus","Abantennarius coccineus",1605256,"accepted","(Lesson, 1831)","Eukaryota","Chordata","Teleostei","Lophiiformes","Antennariidae","Abantennarius","0","0",NA,NA
"8","LC146193","Abantennarius dorehensis","species",NA,"Abantennarius dorehensis","Abantennarius dorehensis","Abantennarius dorehensis",1605258,"accepted","(Bleeker, 1859)","Eukaryota","Chordata","Teleostei","Lophiiformes","Antennariidae","Abantennarius","0","0",NA,NA
"9","PV423358","Abantennarius nummifer","species",NA,"Abantennarius nummifer","Abantennarius nummifer","Abantennarius nummifer",1605260,"accepted","(Cuvier, 1817)","Eukaryota","Chordata","Teleostei","Lophiiformes","Antennariidae","Abantennarius","0","0",NA,NA
"10","MZ598209","Abantennarius nummifer","species",NA,"Abantennarius nummifer","Abantennarius nummifer","Abantennarius nummifer",1605260,"accepted","(Cuvier, 1817)","Eukaryota","Chordata","Teleostei","Lophiiformes","Antennariidae","Abantennarius","0","0",NA,NA
