seagrass_yes,seagrass_maybe,found_taxa,species,f_bname,comments,ana_cat,depth_range_shallow,depth_range_deep,tide_pools,littoral_zone,sub_littoral,intertidal,oceanic,estuaries,lagoons,stream,lakes,soft_bottom,hard_bottom,sand,silt,mud,sea_grass_beds,macrophyte,coral_reefs,vegetation,boat_hulls,pilings,crevices,burrows,add_rems,habitats_ref,special_habitat_ref,habitat_vegetation,habitat_substrate,habitat_features,ana_cat_lit,el_nino_north,introduced,source,notes,comment_eelgrass
x,x,Leptocottus armatus,Leptocottus armatus,Pacific staghorn sculpin,"Commonly found near shore, especially in bays and estuaries; most frequently on sandy bottom (Ref. 2850).  Intertidal individuals breath air when out of water (Ref. 31184).  Can leave tide pools if aquatic conditions become inhospitable (Ref. 31184).  Although some individuals may spend their entire life in highly saline waters (Ref. 28693), some newly metamorphosed young move from the estuarine spawning sites to completely fresh water and may remain there for up to 6 weeks (Ref. 27547).  Adults apparently tend to remain in the shallow lower estuary, or farther offshore (Ref. 27547).  Feeds mostly on crabs, shrimps and amphipods, but also takes larval, juvenile and adult fishes, as well as polychaete worms, mollusks and other invertebrates (Ref. 4930).  Expands its gill covers and produces a low-pitched humming sound when stressed (Ref. 6885).  Considered a nuisance by anglers (Ref. 27547).",amphidromous,0,156,-1,-1,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,NA,9730,NA,Eelgrass,NA,NA,NA,NA,NA,Mecklenberg 2002 Fishes of Alaska,NA,2
x,x,Cymatogaster aggregata,Cymatogaster aggregata,Shiner perch,"Usually in shallow water, around eelgrass beds, piers and pilings and commonly found in bays and quiet back waters (Ref. 2850).  Also in calm areas of exposed coast (Ref. 2850).  Enter estuaries and brackish waters (Ref. 114138) [noted from freshwaters in Ref. 2850, but it is unlikely or rarely]. Found in loose schools or aggregations (Ref. 2850, Ref. 114138).  Young feed mainly on copepods, while adults eat various small crustaceans, mollusks, and algae (Ref. 27547).  Viviparous, female carries the developing young (Ref. 205).  Exhibit seasonal onshore-offshore movements (Ref. 27547).",non-migratory,1,146,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feeds on zoobenthos and plants (Ref. 27547).,2850,NA,Seaweed,NA,"Bays, pilings, shallow in summer",NA,NA,NA,"Hart, Lamb & Edgell 2010",Early egg development in warmer temps + faster development of embryo in warmer waters,1
x,x,Clupea pallasii,Clupea pallasii,Pacific herring,"Neritic species (Ref. 11230).  A coastal and schooling species (Ref. 188).  Landlocked populations exist.  Mature adults migrate inshore, entering estuaries to breed.  During the summer of their first year, young  form schools in shallow bays, inlets and channels that appear at the surface; these schools disappear in the fall and remain in deep water for the next 2-3 years (Ref. 6885, 27547).  Young feed mainly on crustaceans, but also take decapod and mollusk larvae; adults prey mainly on large crustaceans and small fishes (Ref. 6885, 27547).  Because it does not undertake extensive coastal migrations, the mixing of local populations is relatively rare (Ref. 27547).  In the eastern Pacific, the fish is mainly caught for roe markets in Asia (Ref. 9988).  There is a fishery for eggs laid on kelp, which when salted, is called kazunoko-kombu, and is considered a delicacy in Japan (Ref. 27547).  Used in Chinese medicine (Ref. 12166).  Utilized fresh, dried or salted, smoked, canned, and frozen; eaten pan-fried, broiled, and baked (Ref. 9988).  Possibly to 475 m depth (Ref. 6793).",non-migratory,0,475,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Migrating inshore to breed, but without any strong north-south migrations, the populations being localized.  Apparently landlocked populations (races) exist in the lakes of South Sakhalin, eastern Hokkaido and eastern Honshu. Salinity resistance (min. 1.5%) is maximal in newly hatched larvae and fry, and minimal in larvae of 20-30 days old (Ref. 6507).  Pelagic and neritic.  Schooling species.  Moves vertically at the water column, surfacing in the evening and descending at dawn.  Found in nearshore areas; in harbors, inlets, bays and brackish estuaries when spawning; and may enter fresh water.  Biological anti-freeze enables tolerance to below zero temperatures up to -1.4°C.  Feeds on crustaceans, benthic infauna, foraminiferans, plant materials, and fishes (Ref. 117245).",188,NA,Eelgrass,NA,Shallow bays,NA,NA,NA,"Hart, Lamb & Edgell 2010",Eggs adhere to eelgrass,NA
x,NA,Syngnathus californiensis,Syngnathus californiensis,Kelp pipefish,"Found among attached or drifting kelp (<i>Macrocystis</i>) (Ref. 126547), rarely in bays (Ref. 2850).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,NA,15,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feeds by sucking the food items into the mouth from a distance of 2.5 cm or more. This takes place so rapidly that it is nearly impossible for the human eye to follow the action (Ref. 4930).,4930,NA,Eelgrass,NA,NA,NA,NA,NA,"Hart, Lamb & Edgell 2010",NA,NA
NA,x,Clevelandia ios,Clevelandia ios,Arrow goby,"Inhabits sand or mud bottom.  Retreats into shrimp burrows when threatened and at low tide (Ref. 6885).  Commonly in estuaries, lagoons and tidal sloughs.  Reported to occur in freshwater.  Adults feeds on diatoms, green algae, tintinnids, eggs and young of their hosts (Ref. 6885).  Positions large food particles near crabs to be torn to smaller pieces (Ref. 6885).  Preyed upon by <i>Sebastes</i>, staghorn sculpin, whitespot greenling, and terns (Ref. 6885).  Unlike other gobies, it does not build a nest or care for its young (Ref. 2850).",NA,0,2,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Inhabits sand or mud bottom.  Retreats into shrimp burrows when threatened and at low tide (Ref. 6885).  Commonly in estuaries, lagoons and tidal sloughs.  Reported to occur in freshwater.  Adults feeds on diatoms, green algae, tintinnids, eggs and young of their hosts (Ref. 6885).  Positions large food particles near crabs to be torn to smaller pieces (Ref. 6885).  Preyed upon by <i>Sebastes</i>, staghorn sculpin, whitespot greenling, and terns (Ref. 6885).",6885,NA,NA,"Mud flats, burrows","Bays, sheltered",Tolerant to salinity changes,NA,NA,"Hart, Lamb & Edgell 2010",NA,2
NA,x,Acanthogobius flavimanus,Acanthogobius flavimanus,Yellowfin goby,"Inhabits muddy and sandy bottoms along the shore of bays and estuaries, sometimes ascends rivers. Intertidal to at least 6.5 m (Ref. 96339). Oviparous, spawn in winter to early spring (Ref. 205).  Eggs are deposited in Y-shaped nests (Ref. 205).  Used in Chinese medicine (Ref. 12166).",amphidromous,1,6,0,0,0,0,-1,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,"Inhabits muddy and sandy bottoms along the shore of bays and estuaries, sometimes ascends rivers (Ref. 559). Larvae and juveniles (0.9-1.3 cm SL) took mainly small planktonic animals, while newly settled and benthic juveniles (1.4-2.0 cm SL) consumed predominantly small benthic or epiphytic crustaceans, along with polychaetes. The contribution of polychaetes to the diets increased in larger individuals (2.1-5.3 and 5.4-11.4 cm SL). (Ref. 53631).",559,NA,NA,NA,"Bays, estuaries, rivers",NA,NA,"First observed in Sacramento River delta in 1963; ballast or with live seed oysters. Established in san francisco bay, central and south California bays",Hart,Expanding,2
NA,x,Citharichthys sordidus,Citharichthys sordidus,Pacific sanddab,Found on sand bottoms (Ref. 2850).  Young may occur at depth less than 9 m (Ref. 2850).,NA,0,549,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,54094,NA,NA,Sand bottom,Shallower at night time or young,NA,NA,NA,"Eschmeyer, Lamb & Edgell 2010, Hart",Spawns February in puget sound,2
NA,x,Atherinops affinis,Atherinops affinis,Topsmelt silverside,"Common in bays, muddy and rocky areas and kelp beds, also in estuaries (Ref. 36497).  Form schools.  Adults feed on zooplankton (Ref. 9273), while juveniles feed on algae and kelp fly larvae (Ref. 4930).  Demersal spawner in nearshore habitats (Ref. 56049).  Oviparous, with planktonic, primarily neustonic larvae (Ref. 36497).  Eggs are attached to spawning substrate and to one another by adhesive filaments (Ref. 36497).",NA,NA,26,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,NA,4930,NA,NA,Mud flats,NA,NA,x,NA,"Hart, Lamb & Edgell 2010",NA,2
x,x,Gasterosteus aculeatus,Gasterosteus aculeatus,Three-spined stickleback,"Adults occur in fresh waters, estuaries and coastal seas (Ref. 4119).  Anadromous, with numerous non-anadromous populations in brackish or pure freshwater, rarely in marine waters.  In the sea, confined to coastal waters.  In freshwater, adults prefer to live in small stream but may occur in a variety of habitats including lakes and large rivers (Ref. 59043).  Inhabit shallow vegetated areas, usually over mud or sand (Ref. 5723).  Form schools.  Young associated with drifting seaweed (Ref. 12114, 12115).  Juveniles move to the sea (anadromous populations) or to deeper, larger water bodies (freshwater populations) in July-August, forming large feeding schools (Ref. 59043).  Feed on worms, crustaceans, larvae and adult aquatic insects, drowned aerial insects, and small fishes; has also been reported to feed on their own fry and eggs (Ref. 1998).  Eggs are found in nests constructed from plant material (Ref. 41678).  Males build, guard and aerate the nest where the eggs are deposited (Ref. 205).  Maximum length in freshwater is 8 cm while in saltwater is 11 cm (Ref. 35388).  Occasionally taken commercially in Scandinavia and processed into fishmeal and oil (Ref. 28219, 28964).  Commonly used as a laboratory animal (Ref. 1998).  A large bibliography is available at www.geocities.com/CapeCanaveral/Hall/1345/stickbibl.html.",anadromous,0,100,0,0,0,0,-1,-1,0,-1,-1,-1,0,-1,0,-1,0,0,0,-1,0,0,0,0,"Shoaling species outside the breeding season, especially when young.  Inhabits vegetated areas, usually over mud or sand (Ref. 5723).  In the sea, confined to coastal waters.  Forms schools.  Eggs are found in nests constructed from plant material (Ref. 41678).  Anadromous and nerito-pelagic (Ref. 58426).  Feeds on worms, crustaceans, larvae and adult aquatic insects, drowned aerial insects, and small fishes; has also been reported to feed on their own fry and eggs (Ref. 1998).  Length in freshwater is 8 cm while in saltwater is 11 cm (Ref. 35388).  Preyed upon by American mergansers.",4119,5723,Eelgrass,NA,NA,NA,NA,NA,Hart,NA,2
x,x,Gasterosteus aculeatus,Gasterosteus aculeatus,Three-spined stickleback,"Adults occur in fresh waters, estuaries and coastal seas (Ref. 4119).  Anadromous, with numerous non-anadromous populations in brackish or pure freshwater, rarely in marine waters.  In the sea, confined to coastal waters.  In freshwater, adults prefer to live in small stream but may occur in a variety of habitats including lakes and large rivers (Ref. 59043).  Inhabit shallow vegetated areas, usually over mud or sand (Ref. 5723).  Form schools.  Young associated with drifting seaweed (Ref. 12114, 12115).  Juveniles move to the sea (anadromous populations) or to deeper, larger water bodies (freshwater populations) in July-August, forming large feeding schools (Ref. 59043).  Feed on worms, crustaceans, larvae and adult aquatic insects, drowned aerial insects, and small fishes; has also been reported to feed on their own fry and eggs (Ref. 1998).  Eggs are found in nests constructed from plant material (Ref. 41678).  Males build, guard and aerate the nest where the eggs are deposited (Ref. 205).  Maximum length in freshwater is 8 cm while in saltwater is 11 cm (Ref. 35388).  Occasionally taken commercially in Scandinavia and processed into fishmeal and oil (Ref. 28219, 28964).  Commonly used as a laboratory animal (Ref. 1998).  A large bibliography is available at www.geocities.com/CapeCanaveral/Hall/1345/stickbibl.html.",anadromous,0,100,0,0,0,0,-1,-1,0,-1,-1,-1,0,-1,0,-1,0,0,0,-1,0,0,0,0,"Shoaling species outside the breeding season, especially when young.  Inhabits vegetated areas, usually over mud or sand (Ref. 5723).  In the sea, confined to coastal waters.  Forms schools.  Eggs are found in nests constructed from plant material (Ref. 41678).  Anadromous and nerito-pelagic (Ref. 58426).  Feeds on worms, crustaceans, larvae and adult aquatic insects, drowned aerial insects, and small fishes; has also been reported to feed on their own fry and eggs (Ref. 1998).  Length in freshwater is 8 cm while in saltwater is 11 cm (Ref. 35388).  Preyed upon by American mergansers.",4119,5723,Eelgrass,NA,Brackish water in harbors,NA,NA,NA,Hart,NA,2
