"","sample_id","raw_f","raw_r","cutadapt_f","cutadapt_r","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percentraw_retainedby_cutadapt","percent_retained_aftermerge","percent_notsingleton","percent_notchimera","percent_retained_of_raw"
"1","20240123_Pool12.edna0079.R1",20856,20856,20810,20810,20081,20081,20081,20081,17873,17392,5373,5355,5275,99.7794399693134,30.0621048508924,99.6649916247906,98.5060690943044,25.2924817798236
"2","20240123_Pool13.edna0004.R1",31973,31973,31799,31799,30771,30771,30771,30771,29557,28383,13459,12546,12450,99.4557908235073,45.5357444936902,93.2164350991901,99.2348158775705,38.9391048697338
"3","20240123_Pool14.edna0003.R1",13110,13110,13089,13089,12253,12253,12253,12253,10856,10134,4728,4650,4546,99.8398169336384,43.5519528371408,98.3502538071066,97.763440860215,34.6758199847445
"4","20240123_Pool16.edna0002.R1",31824,31824,31792,31792,30441,30441,30441,30441,28700,27443,13970,13312,13098,99.8994469582705,48.6759581881533,95.2899069434502,98.3924278846154,41.157616892911
"5","20240123_Pool16.edna0005.R1",26108,26108,26074,26074,25087,25087,25087,25087,23201,22242,12852,12369,12007,99.8697717174812,55.3941640446533,96.2418300653595,97.0733284824966,45.9897349471426
"6","20240123_Pool16.edna0007.R1",19609,19609,19583,19583,19140,19140,19140,19140,17107,16674,6680,6663,6613,99.8674078229384,39.0483427836558,99.7455089820359,99.2495872730001,33.7243102656943
"7","20240123_Pool16.edna0013.R1",30549,30549,30503,30503,29512,29512,29512,29512,26996,26024,9887,9844,9793,99.8494222396805,36.6239442880427,99.5650854657631,99.4819179195449,32.0566958001899
"8","20240123_Pool17.edna0006.R1",9484,9484,9464,9464,9057,9057,9057,9057,7855,7653,2718,2718,2700,99.7891185153943,34.6021642266073,100,99.3377483443709,28.469000421763
"9","20240123_Pool17.edna0008.R1",16109,16109,16083,16083,15619,15619,15619,15619,14147,13765,5666,5646,5627,99.8385995406295,40.0508941825122,99.6470172961525,99.6634785688983,34.9307840337699
"10","20240123_Pool17.edna0009.R1",13657,13657,13636,13636,13185,13185,13185,13185,11676,11314,4354,4349,4335,99.8462327011789,37.2901678657074,99.8851630684428,99.6780869165325,31.7419638280735
"11","20240123_Pool17.edna0011.R1",7332,7332,7319,7319,7107,7107,7107,7107,6188,5983,2291,2291,2291,99.822695035461,37.0232708468003,100,100,31.2465902891435
"12","20240123_Pool17.edna0012.R1",7543,7543,7535,7535,7264,7264,7264,7264,6361,6107,2347,2345,2326,99.893941402625,36.8967143530891,99.9147848317,99.1897654584222,30.8365371867957
"13","20240123_Pool17.edna0014.R1",10621,10621,10603,10603,10249,10249,10249,10249,8932,8686,3070,3066,3059,99.8305244327276,34.3708016121809,99.8697068403909,99.7716894977169,28.8014311270125
"14","20240123_Pool17.edna0015.R1",12478,12478,12457,12457,12085,12085,12085,12085,10871,10484,4600,4587,4582,99.8317037986857,42.3144144972864,99.7173913043478,99.890996293874,36.7206283058182
"15","20240123_Pool18.edna0022.R1",12100,12100,12081,12081,11667,11667,11667,11667,10269,9858,4574,4565,4526,99.8429752066116,44.5418249099231,99.80323567993,99.1456736035049,37.404958677686
"16","20240123_Pool18.edna0024.R1",14699,14699,14663,14663,14274,14274,14274,14274,12516,12272,5694,5673,5623,99.7550853799578,45.4937679769895,99.6311907270811,99.1186321170457,38.2543030138105
"17","20240123_Pool18.edna0025.R1",11122,11122,11072,11072,10816,10816,10816,10816,9405,8966,3902,3895,3866,99.5504405682431,41.4885699096225,99.820604818042,99.2554557124519,34.7599352634418
"18","20240123_Pool18.edna0026.R1",11754,11754,11741,11741,11397,11397,11397,11397,9999,9591,4267,4260,4214,99.8893993534116,42.6742674267427,99.8359503163815,98.9201877934272,35.8516249787306
"19","20240123_Pool18.edna0027.R1",18050,18050,18014,18014,17471,17471,17471,17471,15803,15240,8286,8234,8227,99.8005540166205,52.4330823261406,99.3724354332609,99.9149866407578,45.5789473684211
"20","20240123_Pool18.edna0028.R1",23550,23550,23492,23492,22854,22854,22854,22854,21251,20658,9832,9759,9668,99.7537154989384,46.2660580678556,99.2575264442636,99.0675274105953,41.0530785562633
"21","20240123_Pool18.edna0058.R1",14161,14161,14139,14139,13859,13859,13859,13859,12839,12558,7087,7082,7070,99.8446437398489,55.1990030376198,99.9294482855933,99.8305563400169,49.9258526940188
"22","20240123_Pool19.edna0029.R1",38202,38202,38132,38132,36615,36615,36615,36615,34295,33206,14455,14353,14218,99.8167635202345,42.1490013121446,99.2943618125216,99.0594300843029,37.217946704361
"23","20240123_Pool19.edna0030.R1",36004,36004,35941,35941,35097,35097,35097,35097,33061,32237,13644,13557,13456,99.8250194422842,41.2691691116421,99.3623570800352,99.2549974183079,37.3736251527608
"24","20240123_Pool19.edna0031.R1",22560,22560,22494,22494,21767,21767,21767,21767,20277,19691,8941,8928,8853,99.7074468085106,44.0942940277161,99.8546023934683,99.1599462365591,39.2420212765957
"25","20240123_Pool19.edna0032.R1",28324,28324,28257,28257,27458,27458,27458,27458,25641,24948,13482,13420,13185,99.7634514899026,52.5798525798526,99.5401275775107,98.2488822652757,46.5506284423104
"26","20240123_Pool19.edna0035.R1",29543,29543,29507,29507,28711,28711,28711,28711,27284,26341,11320,11259,11167,99.8781437227093,41.4895176660314,99.4611307420495,99.182875921485,37.7991402362658
"27","20240123_Pool20.edna0036.R1",11736,11736,11711,11711,11303,11303,11303,11303,10053,9782,5324,5322,5312,99.7869802317655,52.959315627176,99.9624342599549,99.8121007140173,45.2624403544649
"28","20240123_Pool20.edna0037.R1",15794,15794,15761,15761,15406,15406,15406,15406,13483,13183,5901,5844,5822,99.7910598961631,43.7662241340948,99.0340620233859,99.6235455167693,36.8620995314676
"29","20240123_Pool20.edna0038.R1",17152,17152,17066,17066,16634,16634,16634,16634,14796,14352,6742,6705,6658,99.4986007462687,45.566369288997,99.4512014239098,99.2990305741984,38.8176305970149
"30","20240123_Pool20.edna0039.R1",9167,9167,9146,9146,8932,8932,8932,8932,7525,7138,3103,3090,3071,99.7709174211847,41.2358803986711,99.5810505961972,99.3851132686084,33.5005999781826
"31","20240123_Pool20.edna0040.R1",10300,10300,10277,10277,10011,10011,10011,10011,8528,8294,3611,3602,3582,99.7766990291262,42.3428705440901,99.7507615618942,99.4447529150472,34.7766990291262
"32","20240123_Pool20.edna0041.R1",10505,10505,10486,10486,10251,10251,10251,10251,8579,8324,3367,3348,3342,99.8191337458353,39.2469984846719,99.4356994356994,99.820788530466,31.8134221799143
"33","20240123_Pool20.edna0042.R1",16044,16044,16024,16024,15588,15588,15588,15588,13723,13291,6473,6442,6401,99.87534280728,47.168986373242,99.5210875946238,99.3635516920211,39.8965345300424
"34","20240123_Pool21.edna0043.R1",33918,33918,33876,33876,32796,32796,32796,32796,30192,29410,12265,12225,12183,99.8761719441005,40.6233439321675,99.6738687321647,99.6564417177914,35.9189810719972
"35","20240123_Pool21.edna0044.R1",38114,38114,38067,38067,37212,37212,37212,37212,34566,33932,14150,13965,13690,99.8766857322769,40.9361800613319,98.6925795053003,98.030791263874,35.9185601091462
"36","20240123_Pool21.edna0045.R1",24441,24441,24407,24407,23710,23710,23710,23710,21487,21068,9404,9341,9306,99.8608894889734,43.7659980453297,99.3300723096555,99.6253077828926,38.0753651650914
"37","20240123_Pool21.edna0046.R1",18706,18706,18673,18673,18217,18217,18217,18217,16344,15830,7165,7126,7118,99.8235860151823,43.8387175721978,99.4556873691556,99.8877350547292,38.0519619373463
"38","20240123_Pool21.edna0047.R1",24515,24515,24491,24491,23783,23783,23783,23783,21469,20707,9811,9752,9569,99.90210075464,45.6984489263589,99.3986341861176,98.1234618539787,39.0332449520702
"39","20240123_Pool21.edna0048.R1",34831,34831,34788,34788,33836,33836,33836,33836,30835,29963,12710,12619,12543,99.876546754328,41.2193935462948,99.2840283241542,99.3977335763531,36.0110246619391
"40","20240123_Pool21.edna0049.R1",31976,31976,31922,31922,30860,30860,30860,30860,29098,27892,15864,15725,15616,99.8311233425069,54.5192109423328,99.1238023197176,99.3068362480127,48.836627470603
"41","20240123_Pool22.edna0050.R1",19181,19181,19161,19161,18511,18511,18511,18511,17243,16816,10712,10658,10255,99.8957301496272,62.1237603665256,99.4958924570575,96.2188027772565,53.4643657786351
"42","20240123_Pool22.edna0051.R1",28054,28054,28023,28023,27245,27245,27245,27245,25624,25309,11191,11097,11027,99.8894988236972,43.6738994692476,99.1600393173086,99.3691988825809,39.3063377771441
"43","20240123_Pool22.edna0052.R1",21391,21391,21357,21357,20726,20726,20726,20726,19635,19009,11326,11274,10885,99.8410546491515,57.6827094474153,99.5408793925481,96.5495831115842,50.8858865878173
"44","20240123_Pool22.edna0053.R1",21621,21621,21584,21584,20922,20922,20922,20922,19281,18721,8689,8674,8629,99.8288700800148,45.0650899849593,99.8273679364714,99.481208208439,39.9102724203321
"45","20240123_Pool22.edna0054.R1",21431,21431,21409,21409,20658,20658,20658,20658,19172,18620,10209,10185,10088,99.8973449675703,53.2495305654079,99.7649133117837,99.047619047619,47.0719985068359
"46","20240123_Pool22.edna0055.R1",19958,19958,19940,19940,19325,19325,19325,19325,17860,17215,7660,7642,7601,99.9098106022648,42.8891377379619,99.7650130548303,99.4634912326616,38.084978454755
"47","20240123_Pool22.edna0056.R1",31219,31219,31171,31171,30064,30064,30064,30064,28170,27285,14634,14558,14428,99.8462474774977,51.9488817891374,99.4806614732814,99.1070201950817,46.2154457221564
"48","20240123_Pool23.edna0059.R1",20139,20139,20091,20091,19414,19414,19414,19414,17925,17481,9254,9231,9199,99.7616564874125,51.626220362622,99.7514588286147,99.6533419997833,45.6775410894285
"49","20240123_Pool23.edna0060.R1",17621,17621,17608,17608,17174,17174,17174,17174,16119,15821,10369,10352,10141,99.9262243913512,64.3278118990012,99.8360497637188,97.9617465224111,57.5506497928608
"50","20240123_Pool23.edna0061.R1",16676,16676,16643,16643,15982,15982,15982,15982,14195,14016,3612,3608,3520,99.802110817942,25.4455794293765,99.8892580287929,97.5609756097561,21.1081794195251
"51","20240123_Pool23.edna0062.R1",16275,16275,16236,16236,15723,15723,15723,15723,13803,13378,4083,4081,3928,99.7603686635945,29.5805259726146,99.9510164095028,96.2509188924283,24.1351766513057
"52","20240123_Pool23.edna0063.R1",31062,31062,30969,30969,30096,30096,30096,30096,27730,26562,9744,9661,8916,99.7005988023952,35.1388388027407,99.1481937602627,92.2885829624262,28.7038825574657
"53","20240123_Pool24.edna0064.R1",22540,22540,22499,22499,21666,21666,21666,21666,19284,18453,5466,5449,5129,99.8181011535049,28.3447417548226,99.6889864617636,94.1273628188658,22.7551020408163
"54","20240123_Pool24.edna0065.R1",19740,19740,19710,19710,19096,19096,19096,19096,17162,16361,6804,6763,6560,99.8480243161094,39.6457289360214,99.3974132863022,96.9983735028833,33.2320162107396
"55","20240123_Pool24.edna0066.R1",14677,14677,14657,14657,14165,14165,14165,14165,12475,12156,4034,4014,3887,99.8637323703754,32.3366733466934,99.5042141794745,96.8360737419033,26.4836138175376
"56","20240123_Pool24.edna0067.R1",13110,13110,13088,13088,12717,12717,12717,12717,11223,10882,3352,3352,3289,99.8321891685736,29.8672369241736,100,98.1205250596659,25.0877192982456
"57","20240123_Pool24.edna0068.R1",19832,19832,19805,19805,19238,19238,19238,19238,17250,16737,6022,6008,5924,99.8638563937071,34.9101449275362,99.7675190966456,98.6018641810919,29.8709156918112
"58","20240123_Pool24.edna0069.R1",24638,24638,24609,24609,23894,23894,23894,23894,21351,20966,6203,6176,6039,99.8822956408799,29.0525033956255,99.5647267451233,97.7817357512953,24.5109180940011
"59","20240123_Pool24.edna0070.R1",23153,23153,23123,23123,22519,22519,22519,22519,20293,19807,7841,7778,7537,99.8704271584676,38.6389395358005,99.1965310547124,96.9015170995115,32.5530168876603
"60","20240123_Pool25.edna0071.R1",24771,24771,24733,24733,23979,23979,23979,23979,21392,20572,6949,6901,6751,99.8465948084454,32.4841062079282,99.3092531299468,97.8264019707289,27.2536433732994
"61","20240123_Pool25.edna0072.R1",26531,26531,26497,26497,25893,25893,25893,25893,23912,23351,9232,9166,9038,99.8718480268365,38.6082301773168,99.2850953206239,98.6035348025311,34.0658098073951
"62","20240123_Pool25.edna0073.R1",29394,29394,29349,29349,28723,28723,28723,28723,26191,25708,11141,10988,10921,99.8469075321494,42.5375128861059,98.6266941926218,99.390243902439,37.1538409199156
"63","20240123_Pool25.edna0074.R1",14572,14572,14544,14544,14254,14254,14254,14254,12776,12297,5342,5298,5247,99.8078506725226,41.8127739511584,99.1763384500187,99.0373725934315,36.0074114740598
"64","20240123_Pool25.edna0075.R1",15999,15999,15948,15948,15576,15576,15576,15576,13825,13487,5915,5899,5816,99.6812300768798,42.7848101265823,99.7295012679628,98.5929818613324,36.3522720170011
"65","20240123_Pool25.edna0077.R1",26446,26446,26419,26419,25754,25754,25754,25754,23259,22321,7908,7867,7681,99.8979051652424,33.9997420353412,99.4815376833586,97.6356934028219,29.0440898434546
"66","20240123_Pool25.edna0118.R1",9766,9766,9751,9751,9521,9521,9521,9521,8466,7992,3097,3093,3038,99.8464058980135,36.5816206000473,99.8708427510494,98.2217911412868,31.1079254556625
"67","20240123_Pool26.edna0078.R1",36818,36818,36763,36763,35604,35604,35604,35604,32679,31769,12751,12681,12408,99.8506165462545,39.0189418280853,99.4510234491412,97.8471729358883,33.7009071649737
"68","20240123_Pool26.edna0080.R1",34227,34227,34128,34128,33056,33056,33056,33056,29954,29265,11328,11266,11009,99.7107546673679,37.8179875809575,99.4526836158192,97.7187999289899,32.1646653226985
"69","20240123_Pool26.edna0081.R1",22545,22545,22503,22503,21769,21769,21769,21769,19467,18674,7652,7511,7447,99.8137059214904,39.3075461036626,98.157344485102,99.1479163892957,33.0317143490796
"70","20240123_Pool26.edna0082.R1",29875,29875,29834,29834,28786,28786,28786,28786,25178,23478,9971,9920,9659,99.8627615062762,39.6020335213281,99.4885166984254,97.3689516129032,32.3313807531381
"71","20240123_Pool26.edna0084.R1",29481,29481,29448,29448,28389,28389,28389,28389,25278,24088,10890,10769,10568,99.8880634985245,43.0809399477807,98.8888888888889,98.1335314328164,35.8468165937383
"72","20240123_Pool27.edna0085.R1",8937,8937,8929,8929,8592,8592,8592,8592,7344,7044,2793,2789,2689,99.9104845026295,38.031045751634,99.8567848191908,96.4144854786662,30.0883965536534
"73","20240123_Pool27.edna0087.R1",18743,18743,18711,18711,18132,18132,18132,18132,16293,15734,8455,8423,8310,99.8292695939817,51.8934511753514,99.6215257244234,98.6584352368515,44.3365523128635
"74","20240123_Pool27.edna0088.R1",5581,5581,5568,5568,5434,5434,5434,5434,4510,4271,1470,1470,1470,99.7670668339007,32.5942350332594,100,100,26.3393657050708
"75","20240123_Pool27.edna0089.R1",9319,9319,9288,9288,9064,9064,9064,9064,7708,7303,2087,2087,2077,99.6673462817899,27.0757654385054,100,99.5208433157643,22.2877991200773
"76","20240123_Pool27.edna0090.R1",7676,7676,7658,7658,7480,7480,7480,7480,6202,5969,2059,2057,2042,99.7655028660761,33.1989680748146,99.9028654686741,99.2707826932426,26.6023970818134
"77","20240123_Pool27.edna0154.R1",12011,12011,12000,12000,11758,11758,11758,11758,10880,10625,4998,4998,4986,99.9084172841562,45.9375,100,99.7599039615846,41.5119473815669
"78","20240123_Pool28.edna0092.R1",17743,17743,17716,17716,17254,17254,17254,17254,15140,14635,3777,3773,3737,99.8478273121794,24.9471598414795,99.8940958432618,99.0458521070766,21.0618271994589
"79","20240123_Pool28.edna0093.R1",22498,22498,22471,22471,22002,22002,22002,22002,19593,18927,5784,5745,5655,99.8799893323851,29.5207472056347,99.3257261410788,98.4334203655353,25.1355676060094
"80","20240123_Pool28.edna0094.R1",19719,19719,19691,19691,19214,19214,19214,19214,16820,16266,4664,4640,4586,99.858004969826,27.7288941736029,99.4854202401372,98.8362068965517,23.256757442061
"81","20240123_Pool28.edna0095.R1",16886,16886,16855,16855,16549,16549,16549,16549,14621,14137,5936,5902,5859,99.8164159658889,40.5991382258395,99.4272237196765,99.2714334124026,34.6973824469975
"82","20240123_Pool28.edna0096.R1",26796,26796,26747,26747,26135,26135,26135,26135,23188,22023,6436,6395,6301,99.8171368861024,27.7557357253752,99.3629583592293,98.5301016419077,23.5147036871175
"83","20240123_Pool28.edna0097.R1",27191,27191,27155,27155,26641,26641,26641,26641,23740,22974,7723,7658,7617,99.8676032510757,32.5315922493682,99.1583581509776,99.4646121702794,28.0129454598948
"84","20240123_Pool28.edna0098.R1",26475,26475,26424,26424,25910,25910,25910,25910,23643,22754,9091,9045,8966,99.8073654390935,38.4511271835215,99.4940050599494,99.126589275843,33.8659112370161
"85","20240123_Pool29.edna0099.R1",23895,23895,23846,23846,23062,23062,23062,23062,20722,20298,6834,6811,6723,99.794936179117,32.9794421387897,99.6634474685397,98.7079723975921,28.135593220339
"86","20240123_Pool29.edna0102.R1",13232,13232,13216,13216,12799,12799,12799,12799,11472,11138,5051,5020,5001,99.8790810157195,44.028940027894,99.3862601465056,99.6215139442231,37.7947400241838
"87","20240123_Pool29.edna0103.R1",11823,11823,11810,11810,11303,11303,11303,11303,10138,9700,4437,4379,4358,99.8900448278779,43.7660288025252,98.6928104575163,99.5204384562686,36.8603569314049
"88","20240123_Pool29.edna0104.R1",11493,11493,11483,11483,11083,11083,11083,11083,9736,9356,3968,3936,3936,99.9129905159662,40.7559572719803,99.1935483870968,100,34.2469329156878
"89","20240123_Pool29.edna0105.R1",14599,14599,14579,14579,14044,14044,14044,14044,12545,12007,5608,5543,5529,99.8630043153641,44.7030689517736,98.8409415121255,99.7474291899693,37.8724570176039
"90","20240123_Pool29.edna0149.R1",16348,16348,16326,16326,16025,16025,16025,16025,14738,14518,6067,6065,6034,99.8654269635429,41.1656941240331,99.9670347783089,99.4888705688376,36.9097137264497
"91","20240123_Pool3.edna0023.R1",11868,11868,11850,11850,11586,11586,11586,11586,10303,9979,4636,4619,4567,99.8483316481294,44.9966029311851,99.6333045729077,98.8742151980948,38.4816312773846
"92","20240123_Pool30.edna0106.R1",14294,14294,14274,14274,13754,13754,13754,13754,12442,11804,5958,5942,5923,99.8600811529313,47.8861919305578,99.7314535078886,99.6802423426456,41.4369665593956
"93","20240123_Pool30.edna0107.R1",24081,24081,24059,24059,23483,23483,23483,23483,21897,20974,10443,10376,10212,99.9086416677048,47.6914645841896,99.358421909413,98.4194294525829,42.4068767908309
"94","20240123_Pool30.edna0110.R1",17373,17373,17344,17344,16914,16914,16914,16914,15698,15168,6243,6233,6233,99.833074310712,39.7693973754618,99.839820599071,100,35.8775110804121
"95","20240123_Pool30.edna0111.R1",21450,21450,21419,21419,21011,21011,21011,21011,19805,18910,7268,7263,7214,99.8554778554779,36.6978035849533,99.9312052834342,99.3253476524852,33.6317016317016
"96","20240123_Pool30.edna0112.R1",20210,20210,20188,20188,19740,19740,19740,19740,18334,17294,7513,7490,7289,99.8911429985156,40.9785098723683,99.6938639691202,97.3164218958612,36.0663038099951
"97","20240123_Pool30.edna0115.R1",16623,16623,16602,16602,16214,16214,16214,16214,14338,13568,5432,5408,5299,99.8736690128136,37.8853396568559,99.5581737849779,97.9844674556213,31.8775191000421
"98","20240123_Pool31.edna0108.R1",20950,20950,20924,20924,20335,20335,20335,20335,18643,17876,9426,9311,9299,99.8758949880668,50.5605321032023,98.7799702949289,99.8711201804317,44.3866348448687
"99","20240123_Pool31.edna0113.R1",16429,16429,16408,16408,15914,15914,15914,15914,14202,13485,4874,4869,4759,99.8721772475501,34.3191099845092,99.8974148543291,97.740809201068,28.9670704242498
"100","20240123_Pool31.edna0116.R1",8695,8695,8495,8495,8294,8294,8294,8294,7039,6582,2720,2716,2651,97.6998274870615,38.6418525358716,99.8529411764706,97.6067746686303,30.4887866589994
"101","20240123_Pool31.edna0117.R1",10413,10413,10400,10400,10123,10123,10123,10123,8553,8176,3543,3537,3451,99.8751560549313,41.4240617327254,99.8306519898391,97.5685609273395,33.1412657255354
"102","20240123_Pool31.edna0119.R1",18735,18735,18710,18710,18326,18326,18326,18326,16951,15992,6577,6551,6332,99.8665599145983,38.8000707922836,99.6046829861639,96.6569989314608,33.7977048305311
"103","20240123_Pool31.edna0121.R1",19511,19511,19492,19492,18234,18234,18234,18234,17022,16311,6644,6619,6496,99.9026190354159,39.0318411467513,99.6237206502107,98.1417132497356,33.2940392599047
"104","20240123_Pool32.edna0120.R1",21406,21406,21375,21375,20783,20783,20783,20783,18984,18048,6329,6313,6187,99.8551807904326,33.3386009270965,99.7471954495181,98.0041184856645,28.903111277212
"105","20240123_Pool32.edna0122.R1",15398,15398,15379,15379,14969,14969,14969,14969,14036,13573,6902,6881,6781,99.8766073516041,49.1735537190083,99.6957403651116,98.5467228600494,44.0381867775036
"106","20240123_Pool32.edna0123.R1",16729,16729,16697,16697,16021,16021,16021,16021,15019,14651,6840,6820,6765,99.8087154043876,45.5423130701112,99.7076023391813,99.1935483870968,40.438759041186
"107","20240123_Pool32.edna0124.R1",13245,13245,13217,13217,12577,12577,12577,12577,11647,11439,4853,4850,4780,99.7885994714987,41.6673821584958,99.938182567484,98.5567010309278,36.0890902227256
"108","20240123_Pool32.edna0125.R1",17201,17201,17178,17178,16712,16712,16712,16712,15616,15119,6795,6789,6736,99.8662868437882,43.5130635245902,99.9116997792494,99.21932537929,39.1605139236091
"109","20240123_Pool32.edna0126.R1",16784,16784,16772,16772,15931,15931,15931,15931,14864,14511,6612,6597,6492,99.928503336511,44.4833153928956,99.7731397459165,98.4083674397453,38.6796949475691
"110","20240123_Pool32.edna0128.R1",20437,20437,20355,20355,19622,19622,19622,19622,18420,17874,8695,8670,8590,99.5987669423105,47.2041259500543,99.7124784358827,99.0772779700115,42.0316093360082
"111","20240123_Pool33.edna0033.R1",16932,16932,16906,16906,16411,16411,16411,16411,14408,13643,5895,5869,5730,99.8464446019372,40.9147695724597,99.5589482612383,97.6316237859942,33.8412473423104
"112","20240123_Pool33.edna0086.R1",19478,19478,19453,19453,18847,18847,18847,18847,17120,16414,6495,6481,6332,99.871650066742,37.9380841121495,99.7844495765974,97.7009720722111,32.508471095595
"113","20240123_Pool33.edna0127.R1",19465,19465,19351,19351,18745,18745,18745,18745,17561,17081,7911,7885,7815,99.4143334189571,45.0486874323786,99.6713436986474,99.1122384273938,40.1489853583355
"114","20240123_Pool33.edna0129.R1",13556,13556,13542,13542,12993,12993,12993,12993,12111,11587,5427,5420,5400,99.8967246975509,44.81050284865,99.8710152939009,99.6309963099631,39.8347595160814
"115","20240123_Pool33.edna0130.R1",10685,10685,10664,10664,10418,10418,10418,10418,9690,9455,4508,4501,4495,99.8034627983154,46.5221878224974,99.8447204968944,99.8666962897134,42.0683200748713
