"","sample_id","raw_f","raw_r","cutadapt_f","cutadapt_r","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percentraw_retainedby_cutadapt","percent_retained_aftermerge","percent_notsingleton","percent_notchimera","percent_retained_of_raw"
"1","20240205_Pool12.edna0079.R1",44535,44535,44250,44250,43871,43871,43871,43871,42003,40837,38786,38612,37384,99.3600538901987,92.3410232602433,99.5513845201877,96.8196415622086,83.9429662063546
"2","20240205_Pool13.edna0004.R1",72384,72384,71634,71634,70946,70946,70946,70946,69352,68455,58438,53016,52344,98.9638594164456,84.26289076018,90.7217906156953,98.7324581258488,72.314323607427
"3","20240205_Pool14.edna0003.R1",27710,27710,27530,27530,27151,27151,27151,27151,25363,22575,13318,12611,12474,99.3504150126308,52.5095611717857,94.69139510437,98.9136468162715,45.0162396246842
"4","20240205_Pool16.edna0002.R1",76067,76067,75582,75582,74271,74271,74271,74271,72339,71234,59401,54733,53689,99.3624041963006,82.1147652027261,92.1415464386121,98.092558419966,70.5811981542588
"5","20240205_Pool16.edna0005.R1",62148,62148,61812,61812,61107,61107,61107,61107,58753,57903,45721,42646,41626,99.4593550878548,77.8190049869794,93.2744253187813,97.6082164798574,66.978824740941
"6","20240205_Pool16.edna0007.R1",50728,50728,50403,50403,50213,50213,50213,50213,47950,47527,45361,45025,44538,99.3593281816748,94.6006256517205,99.2592755891625,98.9183786785119,87.7976659832834
"7","20240205_Pool16.edna0013.R1",72666,72666,72218,72218,71493,71493,71493,71493,68785,68006,64581,64069,62567,99.3834805823907,93.8882023697027,99.2071971632523,97.6556524996488,86.1021660749181
"8","20240205_Pool17.edna0006.R1",18551,18551,18422,18422,18272,18272,18272,18272,16973,15678,14945,14933,14832,99.3046196970514,88.0516113827844,99.9197055871529,99.3236456170897,79.9525632041399
"9","20240205_Pool17.edna0008.R1",31281,31281,31090,31090,30976,30976,30976,30976,29579,28285,27176,26922,26784,99.3894057095361,91.8759931032151,99.0653517809832,99.4874080677513,85.6238611297593
"10","20240205_Pool17.edna0009.R1",29009,29009,28810,28810,28676,28676,28676,28676,26971,25373,23899,23874,23703,99.3140059981385,88.6099885061733,99.8953931126825,99.2837396330736,81.7091247543866
"11","20240205_Pool17.edna0011.R1",14600,14600,14506,14506,14442,14442,14442,14442,13408,12439,11645,11598,11439,99.3561643835616,86.8511336515513,99.5963933018463,98.6290739782721,78.3493150684932
"12","20240205_Pool17.edna0012.R1",14220,14220,14123,14123,14055,14055,14055,14055,13049,11929,11449,11424,11376,99.3178621659634,87.7385240248295,99.7816403179317,99.5798319327731,80
"13","20240205_Pool17.edna0014.R1",20488,20488,20360,20360,20222,20222,20222,20222,18979,17443,16283,16264,16017,99.3752440452948,85.7948258601612,99.8833138856476,98.481308411215,78.1774697383834
"14","20240205_Pool17.edna0015.R1",23318,23318,23197,23197,23029,23029,23029,23029,21614,20054,18940,18870,18814,99.4810875718329,87.628389007125,99.6304118268215,99.7032326444091,80.6844497812848
"15","20240205_Pool18.edna0022.R1",33067,33067,32814,32814,32593,32593,32593,32593,30227,29351,26178,25868,25383,99.2348867450933,86.6046911701459,98.8157995263198,98.1250966445029,76.7623310248889
"16","20240205_Pool18.edna0024.R1",43113,43113,42789,42789,42598,42598,42598,42598,40000,38566,35560,35278,34879,99.2484865353838,88.9,99.206974128234,98.8689835024661,80.9013522603391
"17","20240205_Pool18.edna0025.R1",32714,32714,32414,32414,32274,32274,32274,32274,30009,29055,26803,26504,26144,99.0829614232439,89.3165383718218,98.8844532328471,98.641714458195,79.9168551690408
"18","20240205_Pool18.edna0026.R1",31686,31686,31519,31519,31353,31353,31353,31353,29156,28041,25803,25564,25036,99.4729533547939,88.4997942104541,99.0737511142115,97.934595524957,79.0128132298176
"19","20240205_Pool18.edna0027.R1",49675,49675,49294,49294,49015,49015,49015,49015,46315,45184,41923,41322,41052,99.2330145948666,90.5171110871208,98.5664193879255,99.3465950341223,82.6411675893306
"20","20240205_Pool18.edna0028.R1",64882,64882,64427,64427,64116,64116,64116,64116,61203,59828,54467,53844,52742,99.2987269196387,88.9940035619169,98.8561881506233,97.9533467052968,81.2891094602509
"21","20240205_Pool18.edna0058.R1",38813,38813,38581,38581,38470,38470,38470,38470,36741,36296,34393,34035,33459,99.4022621286682,93.6093192890776,98.9590905126043,98.3076245041869,86.2056527452142
"22","20240205_Pool19.edna0029.R1",106430,106430,105717,105717,104646,104646,104646,104646,100307,98003,87429,85639,83676,99.330076106361,87.1614144576151,97.9526244152398,97.7078200352643,78.6206896551724
"23","20240205_Pool19.edna0030.R1",97568,97568,96950,96950,96574,96574,96574,96574,93387,92077,86330,85291,83772,99.3665956051164,92.4432736890574,98.7964786285185,98.219038351057,85.8601180714988
"24","20240205_Pool19.edna0031.R1",66783,66783,66257,66257,65796,65796,65796,65796,63167,61693,54782,54620,52941,99.2123744066604,86.7256637168142,99.7042824285349,96.9260344196265,79.2731683212794
"25","20240205_Pool19.edna0032.R1",81456,81456,80902,80902,80332,80332,80332,80332,77484,75885,71187,70401,67908,99.3198782164604,91.8731609106396,98.8958658181971,96.4588571185068,83.367707719505
"26","20240205_Pool19.edna0035.R1",81290,81290,80865,80865,80515,80515,80515,80515,77848,76362,69736,69286,67724,99.4771804650019,89.5796937622033,99.3547091889411,97.7455763069018,83.3116004428589
"27","20240205_Pool20.edna0036.R1",27324,27324,27128,27128,26889,26889,26889,26889,25157,24305,21836,21727,21479,99.2826818913775,86.7989028898517,99.5008243267998,98.8585630781976,78.6085492607232
"28","20240205_Pool20.edna0037.R1",36491,36491,36295,36295,36139,36139,36139,36139,33683,33381,30763,29943,29623,99.4628812583925,91.3309384556008,97.3344602281962,98.9313028086698,81.1789208297936
"29","20240205_Pool20.edna0038.R1",43312,43312,42875,42875,42672,42672,42672,42672,39829,39245,35807,35399,34800,98.9910417436276,89.9018303246378,98.8605579914542,98.3078618040058,80.3472478758774
"30","20240205_Pool20.edna0039.R1",22319,22319,22171,22171,22077,22077,22077,22077,19843,19237,17490,17369,17254,99.3368878533985,88.141914025097,99.3081761006289,99.3379008578502,77.306330928805
"31","20240205_Pool20.edna0040.R1",23439,23439,23287,23287,23169,23169,23169,23169,21149,20486,18979,18776,18567,99.3515081701438,89.73946758712,98.9303967543074,98.8868768640818,79.2141302956611
"32","20240205_Pool20.edna0041.R1",25020,25020,24846,24846,24738,24738,24738,24738,22351,21356,19620,19503,19246,99.3045563549161,87.7813073240571,99.4036697247706,98.6822540122033,76.9224620303757
"33","20240205_Pool20.edna0042.R1",37307,37307,37084,37084,36920,36920,36920,36920,34247,33647,30663,30274,29965,99.402256949098,89.5348497678629,98.7313700551153,98.9793221906586,80.3200471761332
"34","20240205_Pool21.edna0043.R1",43671,43671,43387,43387,43177,43177,43177,43177,40462,39235,36102,35646,35106,99.3496828558998,89.2244575156937,98.7369120824331,98.4851035179263,80.3874424675414
"35","20240205_Pool21.edna0044.R1",48295,48295,47987,47987,47875,47875,47875,47875,45125,44436,42180,41850,40351,99.362252821203,93.4736842105263,99.2176386913229,96.4181600955795,83.5510922455741
"36","20240205_Pool21.edna0045.R1",33332,33332,33099,33099,32973,32973,32973,32973,30702,29600,27527,27285,27002,99.3009720388816,89.6586541593382,99.1208631525411,98.9628000733003,81.0092403696148
"37","20240205_Pool21.edna0046.R1",24926,24926,24788,24788,24687,24687,24687,24687,22688,21956,20593,20396,20244,99.4463612292385,90.7660437235543,99.0433642499879,99.2547558344774,81.216400545615
"38","20240205_Pool21.edna0047.R1",31346,31346,31172,31172,31055,31055,31055,31055,28709,27660,25791,25593,25107,99.4449052510687,89.8359399491449,99.2322903338374,98.1010432540148,80.0963440311363
"39","20240205_Pool21.edna0048.R1",44806,44806,44455,44455,44245,44245,44245,44245,41244,39442,36295,35924,35567,99.2166227737357,88.0006788866259,98.9778206364513,99.0062353858145,79.379993750837
"40","20240205_Pool21.edna0049.R1",39430,39430,39211,39211,38929,38929,38929,38929,36828,35636,31479,31274,30975,99.4445853411108,85.475724991854,99.3487721973379,99.0439342584895,78.5569363428861
"41","20240205_Pool22.edna0050.R1",48240,48240,47921,47921,47662,47662,47662,47662,45540,41604,38491,38138,36667,99.3387230514096,84.5212999560826,99.0829024966875,96.1429545335361,76.009535655058
"42","20240205_Pool22.edna0051.R1",69340,69340,68918,68918,68613,68613,68613,68613,66320,62960,58367,57807,56942,99.3914046726276,88.0081423401689,99.0405537375572,98.5036414275088,82.1199884626478
"43","20240205_Pool22.edna0052.R1",57009,57009,56640,56640,56402,56402,56402,56402,54321,50291,46728,46403,44380,99.352733778877,86.0219804495499,99.3044855332991,95.64036807965,77.847357434791
"44","20240205_Pool22.edna0053.R1",54881,54881,54515,54515,54228,54228,54228,54228,51660,47984,44020,43708,43320,99.3331025309306,85.2109949670925,99.2912312585188,99.1122906561728,78.9344217488748
"45","20240205_Pool22.edna0054.R1",52609,52609,52300,52300,52039,52039,52039,52039,49783,45288,41954,41749,41277,99.4126480260032,84.2737480666091,99.511369595271,98.8694339984191,78.4599593225494
"46","20240205_Pool22.edna0055.R1",51283,51283,50948,50948,50686,50686,50686,50686,48405,44504,39682,39542,39054,99.3467620849014,81.9791343869435,99.6471952018547,98.7658692023671,76.1538911530137
"47","20240205_Pool22.edna0056.R1",73426,73426,73018,73018,72645,72645,72645,72645,69919,64291,57053,56645,55869,99.4443385176913,81.59870707533,99.2848754666713,98.6300644364022,76.0888513605535
"48","20240205_Pool23.edna0059.R1",46286,46286,45926,45926,45617,45617,45617,45617,43282,42246,37173,37052,36604,99.22222702329,85.8855875421653,99.6744949291152,98.7908884810537,79.0822278874822
"49","20240205_Pool23.edna0060.R1",40519,40519,40315,40315,40170,40170,40170,40170,38422,37899,35825,35414,34760,99.4965324909302,93.2408515954401,98.8527564549895,98.1532727170046,85.7869147807202
"50","20240205_Pool23.edna0061.R1",35186,35186,34983,34983,34708,34708,34708,34708,33424,32854,31448,31257,30116,99.423065992156,94.0880804212542,99.3926481811244,96.3496176856384,85.5908600011368
"51","20240205_Pool23.edna0062.R1",35641,35641,35380,35380,35214,35214,35214,35214,33510,32849,30877,30754,28714,99.2676973148902,92.1426439868696,99.6016452375555,93.3667165246797,80.5645183917399
"52","20240205_Pool23.edna0063.R1",66900,66900,66400,66400,66060,66060,66060,66060,63704,62994,59626,58575,52037,99.2526158445441,93.5985181464272,98.237346124174,88.8382415706359,77.7832585949178
"53","20240205_Pool24.edna0064.R1",50240,50240,49872,49872,49509,49509,49509,49509,47081,45437,42592,42429,39060,99.2675159235669,90.465368195238,99.6172990232908,92.0596761648872,77.7468152866242
"54","20240205_Pool24.edna0065.R1",43735,43735,43483,43483,43098,43098,43098,43098,40828,40028,37721,37397,34517,99.4238024465531,92.3900264524346,99.1410620079001,92.2988475011364,78.923059334629
"55","20240205_Pool24.edna0066.R1",35277,35277,35058,35058,34707,34707,34707,34707,33072,32266,30533,30322,28570,99.3791989114721,92.3228108369618,99.3089444207906,94.2220170173471,80.9876123253111
"56","20240205_Pool24.edna0067.R1",30651,30651,30486,30486,30340,30340,30340,30340,28814,28092,26652,26563,25910,99.4616815112068,92.4967029916013,99.6660663364851,97.5416933328314,84.5323154220091
"57","20240205_Pool24.edna0068.R1",43838,43838,43562,43562,43315,43315,43315,43315,41287,40294,38411,38259,37566,99.3704092339979,93.0341269649042,99.6042800239515,98.1886614914138,85.6927779551987
"58","20240205_Pool24.edna0069.R1",54827,54827,54423,54423,54160,54160,54160,54160,51910,50316,47764,47400,46283,99.2631367756762,92.0130995954537,99.2379197722134,97.6434599156118,84.4164371568753
"59","20240205_Pool24.edna0070.R1",51139,51139,50865,50865,50631,50631,50631,50631,48437,47199,44900,44524,42853,99.464205400966,92.697731073353,99.162583518931,96.2469679274099,83.7971020160738
"60","20240205_Pool25.edna0071.R1",52426,52426,52057,52057,51583,51583,51583,51583,48771,47412,44039,43840,42737,99.2961507648876,90.2975128662525,99.5481277958173,97.4840328467153,81.5187120894213
"61","20240205_Pool25.edna0072.R1",53635,53635,53316,53316,53056,53056,53056,53056,50801,50005,47442,46811,45731,99.4052391162487,93.3879254345387,98.6699548922895,97.6928499711606,85.2633541530717
"62","20240205_Pool25.edna0073.R1",68184,68184,67720,67720,67442,67442,67442,67442,63534,62674,58638,57662,56867,99.3194884430365,92.2938898857305,98.3355503257273,98.6212757101731,83.4022644608706
"63","20240205_Pool25.edna0074.R1",32811,32811,32605,32605,32452,32452,32452,32452,30016,29337,27534,27265,26983,99.3721617750145,91.7310767590618,99.0230260768504,98.9657069503026,82.2376641979824
"64","20240205_Pool25.edna0075.R1",31730,31730,31453,31453,31218,31218,31218,31218,29047,28393,26440,26314,25861,99.1270091396155,91.0248906943918,99.5234493192133,98.2784829368397,81.5033091711314
"65","20240205_Pool25.edna0077.R1",50915,50915,50650,50650,50337,50337,50337,50337,47935,46792,43143,42811,40811,99.4795246980261,90.0031292375091,99.2304661242844,95.3283034734064,80.1551605617205
"66","20240205_Pool25.edna0118.R1",20251,20251,20118,20118,20006,20006,20006,20006,18572,18077,17174,17134,16585,99.3432423090218,92.4725393064829,99.7670897868872,96.7958445196685,81.8971902622093
"67","20240205_Pool26.edna0078.R1",92812,92812,92176,92176,91550,91550,91550,91550,87890,81661,75438,75014,72830,99.3147437831315,85.8322903629537,99.4379490442483,97.0885434718852,78.4704564064992
"68","20240205_Pool26.edna0080.R1",95926,95926,95093,95093,94481,94481,94481,94481,90536,85072,79079,78544,76525,99.1316222921836,87.3453653795175,99.3234613487778,97.4294662864127,79.775034922753
"69","20240205_Pool26.edna0081.R1",59790,59790,59435,59435,58974,58974,58974,58974,56263,52887,48829,47824,46762,99.4062552266265,86.78705365871,97.9417968829999,97.7793576446972,78.2104030774377
"70","20240205_Pool26.edna0082.R1",71278,71278,70795,70795,70172,70172,70172,70172,65324,58434,52881,52072,50217,99.3223715592469,80.9518706754026,98.4701499593427,96.4376248271624,70.4523134768091
"71","20240205_Pool26.edna0084.R1",69025,69025,68639,68639,67908,67908,67908,67908,63842,58616,54638,53442,51571,99.4407823252445,85.5831584223552,97.8110472564882,96.4990082706486,74.7135095979718
"72","20240205_Pool27.edna0085.R1",24421,24421,24234,24234,23910,23910,23910,23910,21910,20834,18825,18715,17902,99.2342655910896,85.9196713829302,99.4156706507304,95.6558909965268,73.3057614348307
"73","20240205_Pool27.edna0087.R1",55730,55730,55367,55367,54937,54937,54937,54937,51637,48802,44022,43383,42489,99.3486452539027,85.252822588454,98.5484530462042,97.9392849733767,76.2408038758299
"74","20240205_Pool27.edna0088.R1",15986,15986,15887,15887,15792,15792,15792,15792,14344,14036,13224,13186,13082,99.3807081196046,92.1918572225321,99.7126436781609,99.2112846958896,81.8341048417365
"75","20240205_Pool27.edna0089.R1",23629,23629,23421,23421,23264,23264,23264,23264,21520,20856,19812,19662,19382,99.1197257607178,92.0631970260223,99.2428831011508,98.5759332723019,82.0263235854247
