found_taxa,max_lat,min_lat,max_long,min_long
Leptocottus armatus,57.395882,30.24962,-115.96,-170.237287
Atherinops affinis,48.371319,23.74436,-114.747184,-123.715703
Clevelandia ios,51.64957,24.586778,-111.990034,-127.454409
Acanthogobius flavimanus,38.3,30.24962,-116.622547,-123.02
Cymatogaster aggregata,58.13,30.424,-117.690367,-133.646908
Salmo salar,64.149413,47.567102,-122.441141,-170.237287
Ammodytes personatus,65.174452,33.606624,172.952581,-164.452327
Clupea pallasii,84.01888,30.24962,-102.028972,-116.36733
Atherinopsis californiensis,44.617522,24.586778,-111.990034,-124.02307
Oligocottus maculosus,57.395882,33.732516,-118.408033,-170.237287
Engraulis mordax,59.664597,22.887545,-109.900546,-139.866389
Oncorhynchus tshawytscha,71.477825,27.995387,-114.495095,-167.566733
Embiotoca jacksoni,39.442303,24.586778,-111.990034,-123.820271
Citharichthys stigmaeus,60.103395,24.586778,-111.820064,-149.409546
Amphistichus argenteus,38.280053,29.663159,-116.102689,-123.01113
Lepidogobius lepidus,55,27.995387,-114.495095,-133.646908
Pholis ornata,48.93,32.693406,-117.246039,-123.19
Pholis laeta,56.944237,37.93783,166.947822,-158.696486
Hexagrammos decagrammus,52.893586,32.875426,172.952581,-117.263604
Anoplopoma fimbria,63.374318,28.1,179.604897,-170.188079
Ophiodon elongatus,63.110317,27.872227,-115.183663,-164.820328
Oligocottus snyderi,57.031577,29.1,-114.7,-159.557979
Oncorhynchus gorbuscha,74.546993,53.161587,-125.298079,-128.976299
Oncorhynchus keta,74.546993,32.530729,-115.071977,-128.976299
Hemilepidotus hemilepidotus,65.174452,34.930161,-120.667768,-161.766547
Enophrys bison,54.246064,33.266374,179.042959,-164.452327
Scorpaenichthys marmoratus,59.951531,24.586778,-111.990034,-141.504555
Merluccius productus,52.893586,18.816279,172.952581,-112.769896
Artedius harringtoni,57.446876,34.035428,-120.371443,-166.821843
Oncorhynchus kisutch,71.440058,30.24962,-117.690367,-167.566733
Aulorhynchus flavidus,57.446876,28.73,-114.35,-161.508495
Hippoglossus stenolepis,71.440058,30.818966,151.769918,-167.566733
Clinocottus acuticeps,54.246064,34.967697,172.952581,-164.452327
Apodichthys flavidus,57.446876,32.693406,-117.246039,-153.429926
Sardinops sagax,58.134615,-0.789628,166.947822,-136.548877
Embiotoca lateralis,54.993013,29.044094,-118.27618,-132.416917
Lumpenus sagitta,63.849715,36.803439,166.947822,-172.742954
Sebastes entomelas,56.369186,30.24962,-116.686264,-152.416923
Pleuronichthys coenosus,60.696658,26.711589,-113.5715,-146.998158
Artedius fenestralis,55.822573,37.761543,-122.44445,-177.932681
Ronquilus jordani,55.58,32.875426,179.042959,-169.99
Blepsias cirrhosus,64.149413,35.642633,-121.189367,-170.237287
Ascelichthys rhodorus,60.744106,37.494601,-122.501077,-146.998158
Paralabrax maculatofasciatus,36.803439,16.846231,-99.878662,-121.911948
Cryptacanthodes giganteus,65.174452,40.807509,-124.181128,-166.821843
Mugil cephalus,46.916014,-40.3,151.769918,-90.637652
Hypsoblennius gentilis,36.803439,23.74436,-107.0801,-121.911948
Paralabrax clathratus,47.452422,22.857054,-115.566391,-120.318277
Paralabrax nebulifer,36.954174,22.857054,-115.566391,-122.021277
Seriola lalandi,54.364822,-0.789628,-81.608178,-126.382074
Heterostichus rostratus,54.364822,22.887545,-109.900546,-126.382074
Paralichthys californicus,47.912509,22.83,-108.9,-124.590481
Gadus chalcogrammus,74.546993,36.019788,-121.568343,-152.172606
Odontopyxis trispinosa,60.696658,27.965935,-114.093907,-146.998158
Sebastes nebulosus,57.446876,33.244505,-118.396967,-153.429926
Jordania zonope,60.696658,33.266374,-118.12029,-148.08
Nautichthys oculofasciatus,55.066347,34.035428,-120.371443,-160.050129
Gobiesox maeandricus,55.501299,29.044094,-118.27618,-133.677869
Liparis florae,57.446876,33.85251,-118.12029,-153.429926
Rimicola muscarum,58.648101,30.24962,-117.690367,-136.081231
Phytichthys chirus,54.246064,33.266374,179.042959,-164.452327
Brachyistius frenatus,57.031577,27.69057,-114.891754,-135.415671
Microgadus proximus,55.269969,34.902522,-120.67164,-164.452327
Gibbonsia montereyensis,54.364822,27.872227,-111.056576,-126.382074
Myoxocephalus stelleri,54.905066,54.905066,166.947822,166.947822
Clinocottus globiceps,57.446876,33.266374,-118.12029,-153.429926
Hydrolagus colliei,57.446876,9.2,-84.85,-153.429926
Citharichthys sordidus,57.446876,22.887545,-109.900546,-153.429926
Oxylebius pictus,60.696658,22.857054,-115.566391,-151.33537
Rhamphocottus richardsonii,64.149413,33.266374,-118.12029,-166.821843
Podothecus accipenserinus,64.149413,38.014216,151.769918,-170.188079
Syngnathus californiensis,60.766678,22.929295,-109.815056,-148.114732
Syngnathus exilis,37.476147,24.586778,-111.990034,-122.466238
Myoxocephalus quadricornis,74.546993,53.161587,-153.208136,-170.188079
Leuroglossus schmidti,64.149413,48.547953,-133.709896,-126.382074
Sebastes jordani,54.38,22.857054,-115.566391,-133.45
