"","sample_id","raw_f","raw_r","cutadapt_f","cutadapt_r","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percentraw_retainedby_cutadapt","percent_retained_aftermerge","percent_notsingleton","percent_notchimera","percent_retained_of_raw"
"1","PECO-NEG-PCR-p04_S93_L001_R1_001",683,683,285,285,188,188,188,188,63,61,57,57,57,41.7276720351391,90.4761904761905,100,100,8.34553440702782
"2","PECO-NEG-PCR-p05_S188_L001_R1_001",563,563,508,508,256,256,256,256,239,207,151,151,84,90.2309058614565,63.1799163179916,100,55.6291390728477,14.9200710479574
"3","PECO-NEG-PCR-p06_S209_L001_R1_001",307,307,281,281,79,79,79,79,20,17,14,14,14,91.5309446254072,70,100,100,4.56026058631922
"4","PECOe036-2_S210_L001_R1_001",73245,73245,73238,73238,64587,64587,64587,64587,64472,64376,62237,62212,60690,99.9904430336542,96.5333788311205,99.9598309687164,97.5535266508069,82.8588982183084
"5","PECOe037-2_S211_L001_R1_001",40856,40856,40746,40746,33994,33994,33994,33994,33924,33835,32896,32896,31177,99.730761699628,96.969696969697,100,94.7744406614786,76.3094771881731
"6","PECOe038-2_S212_L001_R1_001",72886,72886,72677,72677,63580,63580,63580,63580,63301,62894,61567,61537,60904,99.7132508300634,97.2607067818834,99.951272597333,98.971350569576,83.560628927366
"7","PECOe039-2_S213_L001_R1_001",91105,91105,90953,90953,77420,77420,77420,77420,77290,76908,74758,74590,72714,99.8331595411887,96.7240263941001,99.7752748869686,97.4849175492693,79.8134021184348
"8","PECOe040-2_S214_L001_R1_001",82936,82936,82731,82731,69237,69237,69237,69237,69056,68915,66957,66957,64231,99.7528214526864,96.960437905468,100,95.9287303791986,77.4464647438989
"9","PECOe206-2_S204_L001_R1_001",55396,55396,55302,55302,45205,45205,45205,45205,45128,45029,43828,43796,41486,99.8303126579536,97.1193050877504,99.9269873140458,94.7255457119372,74.8898837461189
"10","PECOe207-2_S205_L001_R1_001",78830,78830,78574,78574,66063,66063,66063,66063,65919,65557,64542,64535,61080,99.6752505391349,97.9110726801074,99.989154349106,94.6463159525839,77.4831916782951
"11","PECOe208-2_S206_L001_R1_001",78066,78066,78003,78003,66432,66432,66432,66432,66274,65881,64276,64276,62233,99.9192990546461,96.9852430817515,100,96.8215196963097,79.7184433684318
"12","PECOe209-2_S207_L001_R1_001",67043,67043,66919,66919,56674,56674,56674,56674,56445,56176,55163,55072,53687,99.8150440761899,97.72876251218,99.8350343527364,97.4851104009297,80.0784571096162
"13","PECOe210-2_S208_L001_R1_001",51870,51870,51745,51745,44419,44419,44419,44419,44366,44212,43208,43208,39629,99.7590129169077,97.3898931614299,100,91.7168117015368,76.4006169269327
"14","PECOe211_S1_L001_R1_001",75855,75855,75674,75674,63840,63840,63840,63840,63561,62911,61060,60618,55300,99.7613868565025,96.0651972121269,99.2761218473633,91.2270282754297,72.9022477094457
"15","PECOe212_S2_L001_R1_001",83963,83963,83665,83665,70924,70924,70924,70924,70699,70365,67966,67728,61458,99.6450817622048,96.1343159026295,99.6498249124562,90.7423812898653,73.1965270416731
"16","PECOe213_S3_L001_R1_001",71640,71640,71547,71547,62978,62978,62978,62978,62824,62594,60858,60762,60232,99.8701842546064,96.8706226919649,99.8422557428769,99.1277443138804,84.0759352317141
"17","PECOe214_S4_L001_R1_001",72591,72591,72576,72576,62783,62783,62783,62783,62662,62225,60320,60298,58753,99.9793362813572,96.2624876320577,99.9635278514589,97.4377259610601,80.9370307613892
"18","PECOe215_S5_L001_R1_001",54847,54847,54312,54312,44723,44723,44723,44723,44460,44519,43411,43349,37763,99.024559228399,97.6405757984705,99.8571790559996,87.1138895937623,68.851532444801
"19","PECOe216_S6_L001_R1_001",1524,1524,1517,1517,1080,1080,1080,1080,1044,1042,1039,1039,1039,99.5406824146982,99.5210727969349,100,100,68.1758530183727
"20","PECOe217_S7_L001_R1_001",73460,73460,73405,73405,64024,64024,64024,64024,63924,63817,62278,62233,59486,99.92512932208,97.42506726738,99.9277433443592,95.5859431491331,80.9774026681187
"21","PECOe218_S8_L001_R1_001",63970,63970,63811,63811,54239,54239,54239,54239,53985,53990,52311,52283,47379,99.751445990308,96.8991386496249,99.9464739729694,90.6202781018687,74.0644051899328
"22","PECOe219_S9_L001_R1_001",67103,67103,67012,67012,57305,57305,57305,57305,57138,56856,56230,56225,54763,99.8643875832675,98.4108649235185,99.9911079494932,97.3997332147621,81.6103601925398
"23","PECOe220_S10_L001_R1_001",85553,85553,85453,85453,73880,73880,73880,73880,73781,73499,72455,72357,70351,99.8831133916987,98.2027893360079,99.8647436339797,97.2276351977003,82.2308978060384
"24","PECOe221_S11_L001_R1_001",35495,35495,35378,35378,29554,29554,29554,29554,29522,29515,28930,28930,27162,99.6703761093112,97.9947158051622,100,93.8886968544763,76.5234540076067
"25","PECOe222_S12_L001_R1_001",53437,53437,53436,53436,44924,44924,44924,44924,44848,44616,43902,43902,43422,99.9981286374609,97.8906528719229,100,98.906655733224,81.2583041712671
"26","PECOe223_S13_L001_R1_001",60107,60107,60059,60059,51235,51235,51235,51235,51156,50828,49342,49317,46046,99.9201424126974,96.4539838924075,99.9493332252442,93.3673986657745,76.6067180195318
"27","PECOe224_S14_L001_R1_001",247,247,247,247,152,152,152,152,105,104,101,101,101,100,96.1904761904762,100,100,40.8906882591093
"28","PECOe225_S15_L001_R1_001",68381,68381,68312,68312,59118,59118,59118,59118,59010,58862,57546,57480,53448,99.8990947777892,97.5190645653279,99.8853091439891,92.9853862212944,78.1620625612378
"29","PECOe226_S16_L001_R1_001",224,224,223,223,163,163,163,163,133,133,133,133,17,99.5535714285714,100,100,12.781954887218,7.58928571428571
"30","PECOe227_S17_L001_R1_001",62899,62899,62879,62879,50363,50363,50363,50363,50288,49774,49294,49292,45194,99.9682029920984,98.0233853006682,99.9959427110805,91.6862776921204,71.8516987551471
"31","PECOe228_S18_L001_R1_001",370,370,369,369,167,167,167,167,92,60,44,44,0,99.7297297297297,47.8260869565217,100,0,0
"32","PECOe229_S19_L001_R1_001",66426,66426,66407,66407,58057,58057,58057,58057,57940,57577,55890,55890,54719,99.9713967422395,96.461857093545,100,97.904813025586,82.3758769156656
"33","PECOe230_S20_L001_R1_001",340,340,336,336,225,225,225,225,137,76,76,76,33,98.8235294117647,55.4744525547445,100,43.421052631579,9.70588235294118
"34","PECOe231_S21_L001_R1_001",617,617,607,607,442,442,442,442,363,355,355,355,355,98.3792544570503,97.7961432506887,100,100,57.5364667747164
"35","PECOe232_S22_L001_R1_001",325,325,325,325,206,206,206,206,111,105,77,77,2,100,69.3693693693694,100,2.5974025974026,0.615384615384615
"36","PECOe233_S23_L001_R1_001",63223,63223,63190,63190,55986,55986,55986,55986,55818,55550,54067,53997,51602,99.9478038055771,96.8630190977821,99.8705310078236,95.5645684019483,81.6190310488272
"37","PECOe234_S24_L001_R1_001",256,256,256,256,193,193,193,193,111,69,69,69,69,100,62.1621621621622,100,100,26.953125
"38","PECOe235_S25_L001_R1_001",61303,61303,61245,61245,51915,51915,51915,51915,51835,51693,50971,50971,49445,99.9053879907998,98.3331725667985,100,97.0061407466991,80.6567378431724
"39","PECOe236_S26_L001_R1_001",43346,43346,43253,43253,35102,35102,35102,35102,34898,34779,34549,34549,33232,99.7854473307802,98.9999426901255,100,96.1880228081855,76.6668204678632
"40","PECOe237_S27_L001_R1_001",51626,51626,51601,51601,42853,42853,42853,42853,42693,42416,41872,41872,40226,99.9515747878976,98.0769681212377,100,96.0689721054643,77.9181032812924
"41","PECOe238_S28_L001_R1_001",63589,63589,63557,63557,55347,55347,55347,55347,55187,55029,53388,53386,50595,99.9496768308984,96.7401743164151,99.9962538398142,94.7720376128573,79.565648146692
"42","PECOe239_S29_L001_R1_001",33031,33031,33025,33025,25211,25211,25211,25211,25114,25055,24719,24719,24441,99.9818352456783,98.4271720952457,100,98.8753590355597,73.994126729436
"43","PECOe240_S30_L001_R1_001",52910,52910,52908,52908,43390,43390,43390,43390,43227,43010,42381,42333,41447,99.99621999622,98.0428898605039,99.8867417002902,97.9070701344105,78.3349083349083
"44","PECOe241_S31_L001_R1_001",336,336,323,323,228,228,228,228,113,31,29,29,29,96.1309523809524,25.6637168141593,100,100,8.63095238095238
"45","PECOe242_S32_L001_R1_001",78870,78870,78697,78697,65466,65466,65466,65466,65154,65017,63373,63373,58977,99.7806517053379,97.2664763483439,100,93.0632919382071,74.7774819322936
"46","PECOe243_S33_L001_R1_001",39939,39939,39906,39906,34485,34485,34485,34485,34385,34372,33337,33337,31792,99.9173739953429,96.9521593718191,100,95.3655097939227,79.6013921229876
"47","PECOe244_S34_L001_R1_001",60502,60502,60463,60463,53058,53058,53058,53058,52885,52723,51874,51832,50260,99.9355393210142,98.0883048123286,99.9190345837992,96.9671245562587,83.0716339955704
"48","PECOe245_S35_L001_R1_001",68167,68167,68121,68121,60898,60898,60898,60898,60591,60427,59345,59248,55936,99.9325186673904,97.943588981862,99.8365489931755,94.4099378881988,82.0573004532985
"49","PECOe280_S36_L001_R1_001",37674,37674,37589,37589,31249,31249,31249,31249,31144,31133,30382,30370,27989,99.7743802091628,97.5533007963011,99.9605029293661,92.1600263417847,74.2926155969634
"50","PECOe281_S37_L001_R1_001",60823,60823,60785,60785,53131,53131,53131,53131,52968,52799,51854,51854,47029,99.9375236341516,97.8968433771334,100,90.6950283488255,77.3210791970143
"51","PECOe282_S38_L001_R1_001",59995,59995,59920,59920,49197,49197,49197,49197,48991,48662,47868,47823,45681,99.8749895824652,97.7077422383703,99.9059914765605,95.520983627125,76.1413451120927
"52","PECOe283_S39_L001_R1_001",67787,67787,67730,67730,60931,60931,60931,60931,60747,60527,59763,59763,55685,99.9159130806792,98.3801669218233,100,93.1763800344695,82.1470193399914
"53","PECOe284_S40_L001_R1_001",609,609,604,604,453,453,453,453,396,393,392,392,308,99.1789819376026,98.989898989899,100,78.5714285714286,50.5747126436782
"54","PECOe285_S41_L001_R1_001",54428,54428,54395,54395,46784,46784,46784,46784,46525,46507,45237,45132,43728,99.9393694421989,97.2315959161741,99.7678891173155,96.8891252326509,80.3410009553906
"55","PECOe286_S42_L001_R1_001",328,328,313,313,186,186,186,186,97,87,86,86,86,95.4268292682927,88.659793814433,100,100,26.219512195122
"56","PECOe287_S43_L001_R1_001",44662,44662,44633,44633,37277,37277,37277,37277,36958,37072,35609,35600,34847,99.935067842909,96.349910709454,99.9747254907467,97.8848314606742,78.0238233845327
"57","PECOe288_S44_L001_R1_001",54606,54606,54590,54590,46587,46587,46587,46587,46100,45860,44951,44912,43644,99.9706991905651,97.5075921908894,99.9132388600921,97.1767011043819,79.9252829359411
"58","PECOe289_S45_L001_R1_001",49459,49459,49441,49441,42674,42674,42674,42674,42492,42339,41518,41501,40164,99.9636062192927,97.7078038218959,99.9590539043307,96.7783908821474,81.206656018116
"59","PECOe290_S46_L001_R1_001",62680,62680,62622,62622,51701,51701,51701,51701,51565,51357,50489,50489,41361,99.9074664964901,97.9133132939009,100,81.9208144348274,65.9875558391832
"60","PECOe291_S47_L001_R1_001",70351,70351,70333,70333,56756,56756,56756,56756,56656,56588,53915,53873,47239,99.9744140097511,95.1620304998588,99.9220996012241,87.6858537671932,67.147588520419
"61","PECOe292_S48_L001_R1_001",46434,46434,46333,46333,38253,38253,38253,38253,38170,38134,36702,36700,33609,99.7824869707542,96.1540476814252,99.9945507056836,91.5776566757493,72.3801524744799
"62","PECOe293_S49_L001_R1_001",57418,57418,57397,57397,46462,46462,46462,46462,46343,46134,44693,44693,40280,99.9634261033125,96.4395917398528,100,90.1259705099233,70.1522170747849
"63","PECOe294_S50_L001_R1_001",28258,28258,28179,28179,22417,22417,22417,22417,22275,22242,21835,21826,20342,99.7204331516739,98.0246913580247,99.9587817723838,93.2007697241822,71.986694033548
"64","PECOe295_S51_L001_R1_001",55694,55694,55617,55617,47830,47830,47830,47830,47620,47364,46533,46501,44625,99.8617445326247,97.7173456530869,99.9312315990802,95.965678157459,80.1253276834129
"65","PECOe296_S52_L001_R1_001",47232,47232,47095,47095,38241,38241,38241,38241,38119,37871,36668,36668,29176,99.7099424119241,96.1934993048086,100,79.5680157085197,61.7716802168022
"66","PECOe297_S53_L001_R1_001",50917,50917,50658,50658,44849,44849,44849,44849,44542,44753,43809,43809,43809,99.4913290256692,98.3543621750258,100,100,86.0400259245439
"67","PECOe298_S54_L001_R1_001",64275,64275,64168,64168,53325,53325,53325,53325,53106,52996,52002,51988,49888,99.8335278101906,97.9211388543667,99.9730779585401,95.9606062937601,77.6164916374951
"68","PECOe299_S55_L001_R1_001",66358,66358,66229,66229,56195,56195,56195,56195,56027,55832,54476,54424,45958,99.8055999276651,97.2316918628518,99.9045451207871,84.444362781126,69.2576629795955
"69","PECOe300_S56_L001_R1_001",48438,48438,48339,48339,38956,38956,38956,38956,38746,38604,37145,37121,34340,99.7956150130063,95.8679605636711,99.9353883429802,92.5082837208049,70.8947520541723
"70","PECOe301_S57_L001_R1_001",51891,51891,51827,51827,41307,41307,41307,41307,41122,40983,39194,39165,36348,99.8766645468386,95.311512085988,99.9260090830229,92.8073535044044,70.0468289298722
"71","PECOe302_S58_L001_R1_001",70045,70045,69861,69861,56445,56445,56445,56445,56367,56226,53913,53908,50530,99.7373117281747,95.6463888445367,99.9907257989724,93.733768642873,72.1393389963595
"72","PECOe303_S59_L001_R1_001",73568,73568,73466,73466,60454,60454,60454,60454,60256,60111,57328,57313,52233,99.8613527620705,95.1407328730749,99.973834775328,91.1363913946225,70.999619399739
"73","PECOe304_S60_L001_R1_001",32210,32210,32081,32081,26864,26864,26864,26864,26818,26767,25891,25891,23911,99.5995032598572,96.5433663957044,100,92.3525549418717,74.234709717479
"74","PECOe305_S61_L001_R1_001",59756,59756,59660,59660,50623,50623,50623,50623,50492,50182,49568,49568,47642,99.8393466764844,98.1700071298423,100,96.114428663654,79.7275587388714
"75","PECOe306_S62_L001_R1_001",71205,71205,71181,71181,58315,58315,58315,58315,58102,57613,55662,55639,52382,99.9662945017906,95.8004887955664,99.9586791707089,94.1461924189867,73.5650586335229
"76","PECOe307_S63_L001_R1_001",65126,65126,65068,65068,55300,55300,55300,55300,55148,54668,53414,53412,50635,99.9109418665356,96.8557336621455,99.9962556633092,94.8007938291021,77.7492859994472
"77","PECOe308_S64_L001_R1_001",255,255,255,255,193,193,193,193,19,12,2,2,2,100,10.5263157894737,100,100,0.784313725490196
