"","sample_id","raw_f","raw_r","cutadapt_f","cutadapt_r","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percentraw_retainedby_cutadapt","percent_retained_aftermerge","percent_notsingleton","percent_notchimera","percent_retained_of_raw"
"1","PECO-NEG-PCR-p01_S92_L001_R1_001",78,78,76,76,16,16,16,16,2,2,0,0,0,97.4358974358974,0,NA,NA,0
"2","PECO-NEG-PCR-p02_S188_L001_R1_001",840,840,251,251,38,38,38,38,15,5,5,5,5,29.8809523809524,33.3333333333333,100,100,0.595238095238095
"3","PECO-NEG-PCR-p03_S215_L001_R1_001",122,122,119,119,35,35,35,35,16,17,15,15,15,97.5409836065574,93.75,100,100,12.2950819672131
"4","PECO-NEG-PCR-p08_S216_L001_R1_001",68048,68048,68028,68028,55598,55598,55598,55598,55559,55288,53493,53493,44108,99.9706089818951,96.2814305513058,100,82.4556484025947,64.818951328474
"5","PECOe001_S1_L001_R1_001",81424,81424,81250,81250,66624,66624,66624,66624,66427,65983,64493,64493,62210,99.7863037924936,97.0885332771313,100,96.4600809390166,76.4025348791511
"6","PECOe002_S2_L001_R1_001",94886,94886,94837,94837,78006,78006,78006,78006,77792,76833,74281,74281,71751,99.9483590835318,95.4866824352118,100,96.5940146201586,75.6181101532365
"7","PECOe003_S3_L001_R1_001",82977,82977,82949,82949,68857,68857,68857,68857,68771,68153,66642,66540,64347,99.9662557094135,96.9042183478501,99.8469433690465,96.7042380522994,77.5479952275932
"8","PECOe004_S4_L001_R1_001",91782,91782,91742,91742,74937,74937,74937,74937,74773,74066,72231,72231,66492,99.9564184698525,96.6003771414816,100,92.0546579723387,72.4455775642283
"9","PECOe005_S5_L001_R1_001",54391,54391,54332,54332,45511,45511,45511,45511,45456,45290,44746,44746,43147,99.8915261716093,98.4380499824006,100,96.4264962231261,79.3274622639775
"10","PECOe006_S6_L001_R1_001",378,378,377,377,139,139,139,139,63,63,63,63,63,99.7354497354497,100,100,100,16.6666666666667
"11","PECOe007_S7_L001_R1_001",82757,82757,82700,82700,69173,69173,69173,69173,69090,68602,66572,66572,62758,99.9311236511715,96.3554783615574,100,94.2708646277714,75.8340684171732
"12","PECOe011_S8_L001_R1_001",78901,78901,78860,78860,63650,63650,63650,63650,63568,63434,61739,61739,53188,99.9480361465634,97.1227661716587,100,86.1497594713228,67.4110594289046
"13","PECOe012_S9_L001_R1_001",77156,77156,77105,77105,61743,61743,61743,61743,61630,61117,57870,57767,55304,99.9339001503448,93.8990751257504,99.8220148608951,95.736320044316,71.6781585359531
"14","PECOe013_S10_L001_R1_001",92356,92356,92279,92279,74291,74291,74291,74291,74210,73915,72679,72638,62173,99.9166269652215,97.9369357229484,99.9435875562405,85.5929403342603,67.3188531335268
"15","PECOe014_S11_L001_R1_001",64840,64840,64770,64770,52245,52245,52245,52245,52187,52021,50886,50886,14143,99.892041949414,97.5070419836358,100,27.7934991942774,21.8121529919803
"16","PECOe015_S12_L001_R1_001",82411,82411,82382,82382,65439,65439,65439,65439,65364,65052,64363,64363,62540,99.9648105228671,98.4685759745426,100,97.1676273635474,75.8879275824829
"17","PECOe016_S13_L001_R1_001",61323,61323,61300,61300,50654,50654,50654,50654,50491,50564,48232,48232,43198,99.9624936810006,95.5259353152047,100,89.5629457621496,70.4433899189537
"18","PECOe017_S14_L001_R1_001",73626,73626,73588,73588,59550,59550,59550,59550,59473,59054,57504,57504,55652,99.9483877977888,96.6892539471693,100,96.7793544796884,75.587428354114
"19","PECOe018_S15_L001_R1_001",46497,46497,46468,46468,36215,36215,36215,36215,36067,35965,35019,35019,32558,99.937630384756,97.0942967255386,100,92.9723864188012,70.021721831516
"20","PECOe019_S16_L001_R1_001",79946,79946,79915,79915,65146,65146,65146,65146,65008,64565,62828,62786,60839,99.9612238260826,96.6465665764214,99.9331508244732,96.8989902207499,76.1001175793661
"21","PECOe020_S17_L001_R1_001",134,134,131,131,45,45,45,45,4,1,0,0,0,97.7611940298508,0,NA,NA,0
"22","PECOe021_S18_L001_R1_001",120,120,120,120,36,36,36,36,9,5,0,0,0,100,0,NA,NA,0
"23","PECOe022_S19_L001_R1_001",101,101,97,97,24,24,24,24,4,3,0,0,0,96.039603960396,0,NA,NA,0
"24","PECOe023_S20_L001_R1_001",41105,41105,40917,40917,34064,34064,34064,34064,33865,33818,33443,33443,31206,99.5426347159713,98.7538756828584,100,93.3110067876686,75.9177715606374
"25","PECOe024_S21_L001_R1_001",59020,59020,58978,58978,49625,49625,49625,49625,49585,49386,48667,48664,45265,99.9288376821416,98.1486336593728,99.9938356586599,93.0153707052441,76.6943409013894
"26","PECOe025_S22_L001_R1_001",62415,62415,62350,62350,51103,51103,51103,51103,51031,50871,49857,49857,45021,99.8958583673796,97.6994375967549,100,90.3002587399964,72.1316991107907
"27","PECOe026_S23_L001_R1_001",76018,76018,75952,75952,62930,62930,62930,62930,62769,62595,61029,61029,57784,99.9131784577337,97.2279309850404,100,94.6828556915565,76.0135757320635
"28","PECOe027_S24_L001_R1_001",61662,61662,61631,61631,50724,50724,50724,50724,50600,50484,49418,49405,47390,99.9497259252051,97.6640316205534,99.9736937957829,95.9214654387208,76.8544646621907
"29","PECOe028_S25_L001_R1_001",50871,50871,50810,50810,39191,39191,39191,39191,39139,39026,38532,38532,27140,99.8800888521948,98.44911724878,100,70.4349631475138,53.3506319907216
"30","PECOe030_S26_L001_R1_001",80770,80770,80736,80736,67199,67199,67199,67199,66883,66853,65032,64996,60223,99.957905162808,97.2324806004515,99.9446426374708,92.6564711674565,74.5610994181008
"31","PECOe031_S27_L001_R1_001",66721,66721,66689,66689,52697,52697,52697,52697,52588,52358,49618,49618,48931,99.9520390881432,94.3523237240435,100,98.6154218227256,73.3367305645899
"32","PECOe032_S28_L001_R1_001",91227,91227,91184,91184,74975,74975,74975,74975,74810,74423,71776,71776,61568,99.9528648316836,95.944392460901,100,85.7779759251003,67.488791695441
"33","PECOe033_S29_L001_R1_001",40660,40660,40636,40636,28171,28171,28171,28171,28140,27930,25739,25739,25739,99.9409739301525,91.4676616915423,100,100,63.3030004918839
"34","PECOe034_S30_L001_R1_001",441,441,433,433,254,254,254,254,218,204,204,204,204,98.1859410430839,93.5779816513761,100,100,46.2585034013605
"35","PECOe035_S31_L001_R1_001",62640,62640,62603,62603,50767,50767,50767,50767,50685,50324,48145,48145,45619,99.940932311622,94.9886554207359,100,94.7533492574514,72.8272669220945
"36","PECOe036_S32_L001_R1_001",77501,77501,77468,77468,63992,63992,63992,63992,63914,63688,61944,61929,59051,99.9574199042593,96.9177332039929,99.9757845796203,95.3527426569136,76.193855563154
"37","PECOe037_S33_L001_R1_001",606,606,596,596,385,385,385,385,339,350,336,336,0,98.3498349834984,99.1150442477876,100,0,0
"38","PECOe038_S34_L001_R1_001",80979,80979,80928,80928,70029,70029,70029,70029,69940,69658,68453,68409,66234,99.9370207090727,97.8738919073491,99.9357223204242,96.82059378152,81.7915755936724
"39","PECOe039_S35_L001_R1_001",84538,84538,84491,84491,72711,72711,72711,72711,72638,72320,70762,70762,67597,99.9444037001112,97.4173297722955,100,95.5272603939968,79.960491140079
"40","PECOe040_S36_L001_R1_001",96345,96345,96300,96300,83513,83513,83513,83513,83433,83179,81340,81340,77866,99.9532928538066,97.4914002852588,100,95.7290386033932,80.8199698998391
"41","PECOe041_S37_L001_R1_001",1108,1108,1108,1108,875,875,875,875,849,841,784,784,784,100,92.3439340400471,100,100,70.7581227436823
