"","sample_id","raw_f","raw_r","cutadapt_f","cutadapt_r","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percentraw_retainedby_cutadapt","percent_retained_aftermerge","percent_notsingleton","percent_notchimera","percent_retained_of_raw"
"1","Neg-PCR-PECO-BSA-redos_S96_L001_R1_001",36346,36346,34095,34095,29654,29654,29654,29654,29573,29524,28517,28517,28060,93.8067462719419,96.429175261218,100,98.3974471367956,77.2024431849447
"2","PECOe001-BSAredo_S1_L001_R1_001",184857,184857,184288,184288,157842,157842,157842,157842,157257,156025,148998,148846,122723,99.6921945071055,94.7480875255156,99.8979852078551,82.4496459427865,66.3880729428694
"3","PECOe023-BSAredo_S2_L001_R1_001",200589,200589,198863,198863,175706,175706,175706,175706,175308,174558,164274,164110,146277,99.1395340721575,93.705934697789,99.9001667945019,89.1335080129182,72.9237395869165
"4","PECOe343-BSAredo_S3_L001_R1_001",209390,209390,207857,207857,185253,185253,185253,185253,185017,183453,172077,171832,163734,99.2678733463871,93.006048092878,99.8576218785776,95.2872573211043,78.1957113520225
"5","PECOe351-BSAredo_S4_L001_R1_001",166204,166204,164660,164660,142253,142253,142253,142253,141934,140940,132684,132304,109132,99.0710211547255,93.4828864119943,99.7136052576045,82.4857903011247,65.6614762580925
"6","PECOe352-BSAredo_S5_L001_R1_001",177126,177126,175601,175601,153192,153192,153192,153192,152761,152082,143162,142794,120790,99.1390309723022,93.7163281203972,99.742948547799,84.5903889519168,68.1943926922078
"7","PECOe353-BSAredo_S6_L001_R1_001",112644,112644,110447,110447,92057,92057,92057,92057,91868,91363,87895,87771,68866,98.049607613366,95.6753167588279,99.8589225780761,78.4609950894943,61.135968182948
"8","PECOe354-BSAredo_S7_L001_R1_001",158417,158417,156528,156528,137737,137737,137737,137737,137483,136932,129356,128545,112094,98.8075774695898,94.088723696748,99.3730480225115,87.2021471080166,70.7588200761282
"9","PECOe355-BSAredo_S8_L001_R1_001",67224,67224,56241,56241,48362,48362,48362,48362,48259,48170,46292,46292,44047,83.6620849696537,95.9240763380924,100,95.1503499524756,65.522729977389
"10","PECOe356-BSAredo_S9_L001_R1_001",194444,194444,193779,193779,172736,172736,172736,172736,172607,172327,162969,162615,155045,99.6579992182839,94.4162171870202,99.7827807742577,95.344832887495,79.7376108288248
"11","PECOe357-BSAredo_S10_L001_R1_001",201675,201675,201473,201473,171431,171431,171431,171431,171043,169901,158806,158046,142947,99.8998388496343,92.8456586940126,99.5214286613856,90.4464522986978,70.879880996653
"12","PECOe358-BSAredo_S11_L001_R1_001",178805,178805,177468,177468,155825,155825,155825,155825,155548,154470,145630,145430,130580,99.2522580464752,93.6238331576105,99.8626656595482,89.7889018771918,73.0292777047622
"13","PECOe359-BSAredo_S12_L001_R1_001",170660,170660,170305,170305,145664,145664,145664,145664,144964,144187,135683,135117,114574,99.7919840618774,93.5977208134433,99.5828512046461,84.79613964194,67.1358256181882
"14","PECOe360-BSAredo_S13_L001_R1_001",164253,164253,164104,164104,143748,143748,143748,143748,143402,142217,135782,135605,122248,99.9092862839644,94.6862665792667,99.8696439881575,90.150068212824,74.4266466974728
"15","PECOe361-BSAredo_S14_L001_R1_001",168043,168043,167659,167659,142297,142297,142297,142297,142093,141037,132275,131827,110672,99.7714870598597,93.0904407676663,99.6613116613117,83.9524528359137,65.8593336229417
"16","PECOe362-BSAredo_S15_L001_R1_001",173441,173441,172848,172848,155812,155812,155812,155812,155590,155398,146540,146457,140629,99.6580969897544,94.1834308117488,99.9433601746963,96.0206750104126,81.08175114304
"17","PECOe363-BSAredo_S16_L001_R1_001",153691,153691,153518,153518,132645,132645,132645,132645,132414,131640,124593,124311,105560,99.8874364796898,94.0935248538674,99.7736630468806,84.916057307881,68.683267074845
"18","PECOe364-BSAredo_S17_L001_R1_001",188127,188127,187743,187743,164888,164888,164888,164888,164658,163526,155443,154850,124889,99.7958825686903,94.4035516039306,99.618509678789,80.6515983209558,66.3854736428051
"19","PECOe365-BSAredo_S18_L001_R1_001",259607,259607,259230,259230,232511,232511,232511,232511,232211,230548,213283,212827,186998,99.854780495133,91.8487926928526,99.7861995564579,87.8638518609011,72.031185599772
"20","PECOe366-BSAredo_S19_L001_R1_001",159477,159477,158890,158890,143110,143110,143110,143110,142898,141909,134841,134464,118186,99.6319218445293,94.3617125502106,99.7204114475568,87.8941575440267,74.1084921336619
"21","PECOe367-BSAredo_S20_L001_R1_001",257653,257653,257212,257212,229403,229403,229403,229403,229289,228518,213219,212955,176682,99.8288395632886,92.991377693653,99.8761836421707,82.9668239768965,68.5736242155147
