"","sample_id","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percent_retained_aftermerge","percent_notsingleton","percent_notchimera"
"1","filtered20250425_EXBLANK-2021-02_S357_R1_001",53063,53063,53063,53063,53050,52990,52630,52630,52630,99.2082940622055,100,100
"2","filtered20250425_EXBLANK-2021-05B_S361_R1_001",3,3,3,3,3,3,3,3,3,100,100,100
"3","filtered20250425_EXBLANK-2021-06_S362_R1_001",613,613,613,613,613,613,613,613,613,100,100,100
"4","filtered20250425_EXBLANK-2021-07_S363_R1_001",225,225,225,225,225,224,224,224,224,99.5555555555556,100,100
"5","filtered20250425_EXBLANK-2021-09_S365_R1_001",1434,1434,1434,1434,1433,1431,1430,1430,1430,99.7906489881368,100,100
"6","filtered20250425_EXBLANK-2021-10_S366_R1_001",153048,153048,153048,153048,153022,152932,151525,151525,151525,99.0217092967024,100,100
"7","filtered20250425_EXBLANK-2021-11_S367_R1_001",33552,33552,33552,33552,33542,33522,33256,33256,33256,99.1473376662095,100,100
"8","filtered20250425_EXBLANK-2021-14_S370_R1_001",19,19,19,19,19,19,19,19,19,100,100,100
"9","filtered20250425_EXBLANK-2021-15_S371_R1_001",62715,62715,62715,62715,62690,62597,61877,61761,40289,98.7031424469612,99.8125313121192,65.2337235472224
"10","filtered20250425_EXBLANK-2021-17_S373_R1_001",24,24,24,24,24,24,24,24,24,100,100,100
"11","filtered20250425_EXBLANK-2021-19_S375_R1_001",117,117,117,117,117,117,117,117,117,100,100,100
"12","filtered20250425_NEGPCR-2021-4_S377_R1_001",9,9,9,9,9,9,9,9,9,100,100,100
"13","filtered20250425_PECOe-001_S1_R1_001",209094,209094,209094,209094,208831,208432,205293,204787,197629,98.3058070880281,99.7535230134491,96.5046609403917
"14","filtered20250425_PECOe-002_S2_R1_001",163666,163666,163666,163666,163553,163303,132095,131362,128952,80.7658679449475,99.4450963321852,98.1653750704161
"15","filtered20250425_PECOe-003_S3_R1_001",151337,151337,151337,151337,151256,151097,148883,148779,148041,98.4311366160681,99.9301464908687,99.5039622527373
"16","filtered20250425_PECOe-004_S4_R1_001",215677,215677,215677,215677,215529,214303,208182,207965,184571,96.5911779853291,99.8957642831753,88.75099175342
"17","filtered20250425_PECOe-005_S5_R1_001",16460,16460,16460,16460,16458,16442,16267,16267,16267,98.8394701664844,100,100
"18","filtered20250425_PECOe-007_S7_R1_001",227491,227491,227491,227491,227386,227103,223098,223071,219625,98.1142198728154,99.9878976951833,98.4552003622165
"19","filtered20250425_PECOe-011_S8_R1_001",233711,233711,233711,233711,233602,233121,228904,227996,226675,97.9888870814462,99.6033271589837,99.4206038702433
"20","filtered20250425_PECOe-012_S9_R1_001",146664,146664,146664,146664,146334,146090,143679,141158,134549,98.1856574685309,98.2453942468976,95.3180124399609
"21","filtered20250425_PECOe-013_S10_R1_001",179472,179472,179472,179472,179290,179036,176894,176464,168969,98.6636176027665,99.7569165715061,95.7526747665246
"22","filtered20250425_PECOe-014_S11_R1_001",45927,45927,45927,45927,45890,45860,45081,45081,45081,98.2370886903465,100,100
"23","filtered20250425_PECOe-015_S12_R1_001",188154,188154,188154,188154,188076,187863,185175,184771,180659,98.4575384419065,99.78182800054,97.7745425418491
"24","filtered20250425_PECOe-016_S13_R1_001",211958,211958,211958,211958,211774,211548,209002,208688,189587,98.6910574480342,99.8497622032325,90.8471018937361
"25","filtered20250425_PECOe-017_S14_R1_001",191114,191114,191114,191114,190932,190555,188305,188014,167788,98.624117486854,99.8454634768062,89.2422904677311
"26","filtered20250425_PECOe-018_S15_R1_001",188970,188970,188970,188970,188656,188383,185438,181445,167900,98.2942498515817,97.8467196583225,92.534927939596
"27","filtered20250425_PECOe-019_S16_R1_001",175321,175321,175321,175321,175140,174888,172975,172747,167686,98.7638460660043,99.8681890446596,97.0702819730589
"28","filtered20250425_PECOe-021_S18_R1_001",215614,215614,215614,215614,215577,215434,210064,210064,210064,97.4426770944952,100,100
"29","filtered20250425_PECOe-023_S20_R1_001",141038,141038,141038,141038,140941,140168,138188,137986,114609,98.0467003923628,99.8538223290011,83.0584262171525
"30","filtered20250425_PECOe-024_S21_R1_001",251753,251753,251753,251753,251688,251343,247346,247346,244870,98.2748482247863,100,98.9989730984127
"31","filtered20250425_PECOe-025_S22_R1_001",251783,251783,251783,251783,251628,251228,245888,244785,241207,97.7188548174289,99.5514217855284,98.5383091284188
