"","sample_id","raw_f","raw_r","cutadapt_f","cutadapt_r","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percentraw_retainedby_cutadapt","percent_retained_aftermerge","percent_notsingleton","percent_notchimera","percent_retained_of_raw"
"1","NEG-PCR1_S96_L001_R1_001",1174,1174,682,682,183,183,183,183,111,109,68,68,68,58.09199318569,61.2612612612613,100,100,5.79216354344123
"2","PECOe456_S1_L001_R1_001",1078,1078,999,999,619,619,619,619,554,502,435,435,435,92.6716141001855,78.5198555956679,100,100,40.3525046382189
"3","PECOe457_S2_L001_R1_001",139379,139379,139339,139339,119891,119891,119891,119891,119298,118087,112611,111914,109426,99.9713012720711,94.3947090479304,99.3810551367096,97.7768643780045,78.509675058653
"4","PECOe458_S3_L001_R1_001",108742,108742,108686,108686,95242,95242,95242,95242,94993,94587,91126,90928,90928,99.9485019587648,95.9291737285905,99.7827184338169,100,83.6181052399257
"5","PECOe459_S4_L001_R1_001",123981,123981,123952,123952,103546,103546,103546,103546,103309,101272,97160,97032,95397,99.9766093191699,94.0479532276956,99.8682585426101,98.3149888696513,76.944854453505
"6","PECOe460_S5_L001_R1_001",2100,2100,1903,1903,1068,1068,1068,1068,954,927,866,866,866,90.6190476190476,90.7756813417191,100,100,41.2380952380952
"7","PECOe461_S6_L001_R1_001",609,609,528,528,197,197,197,197,148,137,124,124,124,86.6995073891626,83.7837837837838,100,100,20.3612479474548
"8","PECOe462_S7_L001_R1_001",112687,112687,112653,112653,96580,96580,96580,96580,95909,94911,88606,87369,82116,99.9698279304623,92.3854904127871,98.6039320136334,93.9875699618858,72.8708724165165
"9","PECOe463_S8_L001_R1_001",122365,122365,122325,122325,107340,107340,107340,107340,106906,106193,100528,100160,94024,99.9673109140686,94.0340111873983,99.6339328346331,93.8738019169329,76.8389653904303
"10","PECOe464_S9_L001_R1_001",143165,143165,143047,143047,124967,124967,124967,124967,124174,122298,114779,113653,103406,99.9175776202284,92.4340038977564,99.0189843089764,90.9839599482636,72.2285474801802
"11","PECOe465_S10_L001_R1_001",166196,166196,166113,166113,142587,142587,142587,142587,142106,140722,134688,134052,124426,99.9500589665215,94.7799529928363,99.5277975766215,92.8192044878107,74.8670244771234
"12","PECOe466_S11_L001_R1_001",17635,17635,17500,17500,13472,13472,13472,13472,13432,13382,12961,12961,12961,99.2344768925432,96.4934484812388,100,100,73.4958888573859
"13","PECOe467_S12_L001_R1_001",59863,59863,59214,59214,46849,46849,46849,46849,46555,45198,44290,44248,43379,98.9158578754823,95.1347868112985,99.9051704673741,98.0360694268668,72.4637923258106
"14","PECOe468_S13_L001_R1_001",52313,52313,52270,52270,39215,39215,39215,39215,38952,38476,36581,36333,34152,99.91780245828,93.9130211542411,99.3220524315902,93.9971926347948,65.2839638330816
"15","PECOe469_S14_L001_R1_001",170462,170462,170416,170416,145425,145425,145425,145425,145165,145078,133411,132867,132867,99.9730145134986,91.9030069231564,99.5922375216436,100,77.9452311952224
"16","PECOe470_S15_L001_R1_001",79022,79022,77824,77824,67133,67133,67133,67133,66861,66103,63279,63155,59765,98.4839664903445,94.6426167721093,99.8040424153353,94.6322539783073,75.6308369821063
"17","PECOe471_S16_L001_R1_001",1556,1556,982,982,448,448,448,448,409,357,321,321,321,63.1105398457584,78.4841075794621,100,100,20.6298200514139
"18","PECOe472_S17_L001_R1_001",172044,172044,171965,171965,153534,153534,153534,153534,153414,153284,149354,149253,149253,99.9540815140313,97.3535661673641,99.932375430186,100,86.7528074213573
"19","PECOe473_S18_L001_R1_001",157778,157778,157724,157724,141507,141507,141507,141507,141380,141254,137472,137444,432,99.965774696092,97.2358183618616,99.9796322160149,0.314309828002677,0.273802431264181
"20","PECOe474_S19_L001_R1_001",49284,49284,47422,47422,40187,40187,40187,40187,40062,39978,38868,38759,38759,96.2218975732489,97.0196195896361,99.7195636513327,100,78.6441847252658
"21","PECOe475_S20_L001_R1_001",125319,125319,125255,125255,110551,110551,110551,110551,110260,109358,104056,103826,94394,99.9489303297984,94.3732994739706,99.7789651725994,90.9155702810471,75.3229757658456
"22","PECOe476_S21_L001_R1_001",2160,2160,1662,1662,591,591,591,591,480,307,235,235,235,76.9444444444444,48.9583333333333,100,100,10.8796296296296
"23","PECOe477_S22_L001_R1_001",161540,161540,161482,161482,143193,143193,143193,143193,142384,141807,133778,133237,122514,99.9640955800421,93.9557815484886,99.5955986784075,91.9519352732349,75.8412777021171
"24","PECOe478_S23_L001_R1_001",73537,73537,73496,73496,55602,55602,55602,55602,55230,54626,46779,46381,44346,99.9442457538382,84.6985334057577,99.1491908762479,95.6124275026412,60.3043365924637
"25","PECOe479_S24_L001_R1_001",106514,106514,106461,106461,91771,91771,91771,91771,91529,90226,87065,86656,74771,99.9502412828361,95.1228572365043,99.5302360305519,86.2848504431315,70.1982837936797
"26","PECOe480_S25_L001_R1_001",105564,105564,105472,105472,92156,92156,92156,92156,91836,91479,87400,87176,79522,99.912849077337,95.1696502460909,99.7437070938215,91.2200605671286,75.3306051305369
"27","PECOe481_S26_L001_R1_001",1884,1884,1239,1239,624,624,624,624,537,532,481,481,442,65.7643312101911,89.5716945996276,100,91.8918918918919,23.4607218683652
"28","PECOe482_S27_L001_R1_001",133135,133135,133078,133078,110565,110565,110565,110565,109786,109013,86964,86593,67369,99.957186314643,79.2122857194907,99.5733866887448,77.7995911909739,50.6020205055019
"29","PECOe483_S28_L001_R1_001",133602,133602,133543,133543,116721,116721,116721,116721,116162,114837,98635,98011,79273,99.9558389844463,84.9115889877929,99.3673645257769,80.8817377641285,59.3351895929702
"30","PECOe484_S29_L001_R1_001",79899,79899,79880,79880,52581,52581,52581,52581,51649,50042,39584,39584,35524,99.9762199777219,76.6403996205154,100,89.7433306386419,44.4611321793765
"31","PECOe485_S30_L001_R1_001",180393,180393,180332,180332,156207,156207,156207,156207,155415,154047,141715,140292,114053,99.9661849406573,91.1848920631857,98.9958719966129,81.2968665355116,63.2247371017722
"32","PECOe486_S31_L001_R1_001",90535,90535,90348,90348,80829,80829,80829,80829,80554,80386,77694,77339,76788,99.7934500469432,96.449586612707,99.5430792596597,99.2875522052263,84.8158170873143
"33","PECOe487_S32_L001_R1_001",118979,118979,118937,118937,105547,105547,105547,105547,104679,104103,89977,89296,68457,99.9646996528799,85.9551581501543,99.2431399135335,76.6630084214299,57.5370443523647
"34","PECOe488_S33_L001_R1_001",138848,138848,138777,138777,124789,124789,124789,124789,123638,122728,108365,107310,90573,99.9488649458401,87.6470017308594,99.026438425691,84.4031311154599,65.2317642313897
"35","PECOe489_S34_L001_R1_001",110377,110377,110323,110323,98253,98253,98253,98253,97357,96456,86741,84765,70745,99.9510767641809,89.0958020481321,97.7219538626486,83.4601545449183,64.0939688522065
"36","PECOe490_S35_L001_R1_001",76747,76747,76175,76175,67383,67383,67383,67383,66732,65893,52490,52383,44683,99.2546939945535,78.6579152430618,99.796151647933,85.3005746139015,58.2211682541337
