"","cutadapt_f","cutadapt_r"
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_EXBLANK-2022-21_S4_R1_001.fastq.gz",3,3
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_EXBLANK-2022-23_S6_R1_001.fastq.gz",163474,163474
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_EXBLANK-2022-24_S7_R1_001.fastq.gz",8614,8614
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_EXBLANK-2022-25_S8_R1_001.fastq.gz",86276,86276
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_EXBLANK-2022-26_S368_R1_001.fastq.gz",61697,61697
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_EXBLANK-2022-27_S369_R1_001.fastq.gz",5,5
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_EXBLANK-2022-28_S370_R1_001.fastq.gz",101,101
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_EXBLANK-2022-29_S371_R1_001.fastq.gz",11832,11832
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_EXBLANK-2022-31_S373_R1_001.fastq.gz",3532,3532
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_EXBLANK-2022-33_S375_R1_001.fastq.gz",439,439
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_EXBLANK-2022-34_S376_R1_001.fastq.gz",3175,3175
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_EXBLANK-2022-35_S377_R1_001.fastq.gz",96407,96407
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_EXBLANK-2022-37_S379_R1_001.fastq.gz",213710,213710
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_EXBLANK-2022-40_S382_R1_001.fastq.gz",3,3
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-456_S9_R1_001.fastq.gz",48,48
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO_2022_Redos_Run20250301/Analysis/1/Data/fastq/fixed/cutadapt/20250430_PECOe-457_S10_R1_001.fastq.gz",263787,263787
