"","cutadapt_f","cutadapt_r"
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_EXBLANK-2023-41_S345_R1_001.fastq.gz",125469,125469
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_EXBLANK-2023-42_S346_R1_001.fastq.gz",1,75049
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_EXBLANK-2023-44_S348_R1_001.fastq.gz",75049,14784
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_EXBLANK-2023-45_S349_R1_001.fastq.gz",14784,829
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_EXBLANK-2023-46_S350_R1_001.fastq.gz",829,1
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_EXBLANK-2023-48_S352_R1_001.fastq.gz",1,11266
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_EXBLANK-2023-49_S353_R1_001.fastq.gz",11266,108
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_EXBLANK-2023-50_S354_R1_001.fastq.gz",108,126
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_EXBLANK-2023-53_S357_R1_001.fastq.gz",126,23580
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_EXBLANK-2023-58_S362_R1_001.fastq.gz",23580,46
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2023_Run20240907/Analysis/1/Data/fastq/fixed/cutadapt/20240923_EXBLANK-2023-59_S363_R1_001.fastq.gz",46,2218
