"","sample_id","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percent_retained_aftermerge","percent_notsingleton","percent_notchimera"
"1","filtered20240923_EXBLANK-2023-41_S345_R1_001",123597,123597,123597,123597,123590,123499,121780,121765,121765,98.535480216846,99.98768270652,100
"2","filtered20240923_EXBLANK-2023-42_S346_R1_001",1,1,1,1,1,1,0,0,0,0,NA,NA
"3","filtered20240923_EXBLANK-2023-44_S348_R1_001",74252,74252,74252,74252,74245,74188,74149,74094,74094,99.8706983635262,99.9258250279842,100
"4","filtered20240923_EXBLANK-2023-45_S349_R1_001",14581,14581,14581,14581,14579,14554,14284,14284,14212,97.9765416009328,100,99.4959395127415
"5","filtered20240923_EXBLANK-2023-46_S350_R1_001",818,818,818,818,817,817,817,817,817,100,100,100
"6","filtered20240923_EXBLANK-2023-48_S352_R1_001",1,1,1,1,1,1,1,1,1,100,100,100
"7","filtered20240923_EXBLANK-2023-49_S353_R1_001",11145,11145,11145,11145,11145,11134,11010,11010,0,98.7886944818304,100,0
"8","filtered20240923_EXBLANK-2023-50_S354_R1_001",104,104,104,104,104,103,103,103,103,99.0384615384615,100,100
"9","filtered20240923_EXBLANK-2023-53_S357_R1_001",123,123,123,123,122,122,121,121,116,99.1803278688525,100,95.8677685950413
"10","filtered20240923_EXBLANK-2023-58_S362_R1_001",1,1,1,1,1,1,1,1,1,100,100,100
"11","filtered20240923_EXBLANK-2023-59_S363_R1_001",45,45,45,45,45,45,45,45,45,100,100,100
"12","filtered20240923_EXBLANK-2023-60_S364_R1_001",2178,2178,2178,2178,2163,2175,2161,2161,2161,99.9075358298659,100,100
"13","filtered20240923_NEGPCR-2023-1_S96_R1_001",2,2,2,2,2,2,0,0,0,0,NA,NA
"14","filtered20240923_NEGPCR-2023-3_S288_R1_001",8721,8721,8721,8721,8721,8715,8708,8708,8708,99.8509345258571,100,100
"15","filtered20240923_PECOe-1003_S86_R1_001",297781,297781,297781,297781,297100,296861,273742,270520,226144,92.138000673174,98.8229793016782,83.5960372615703
