"","cutadapt_f","cutadapt_r"
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_EXBLANK-2024-062_S364_R1_001.fastq.gz",1,1
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_EXBLANK-2024-063_S365_R1_001.fastq.gz",3,3
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_EXBLANK-2024-064_S366_R1_001.fastq.gz",3,3
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_EXBLANK-2024-065_S367_R1_001.fastq.gz",3,3
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_EXBLANK-2024-066_S368_R1_001.fastq.gz",5,5
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_EXBLANK-2024-068_S370_R1_001.fastq.gz",2,2
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_EXBLANK-2024-070_S372_R1_001.fastq.gz",3,3
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_EXBLANK-2024-071_S373_R1_001.fastq.gz",5,5
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_EXBLANK-2024-072_S374_R1_001.fastq.gz",6292,6292
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_EXBLANK-2024-073_S375_R1_001.fastq.gz",45,45
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_EXBLANK-2024-074_S376_R1_001.fastq.gz",1,1
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_EXBLANK-2024-080_S382_R1_001.fastq.gz",378665,378665
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_EXBLANK-2024-081_S383_R1_001.fastq.gz",177047,177047
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_EXBLANK-2024-082_S377_R1_001.fastq.gz",1,1
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_EXBLANK-2024-086_S379_R1_001.fastq.gz",115082,115082
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_EXBLANK-2024-087_S380_R1_001.fastq.gz",229018,229018
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_EXBLANK-2024-089_S381_R1_001.fastq.gz",245423,245423
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_NEGPCR-2024-3_S288_R1_001.fastq.gz",4,4
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_NEGPCR-2024-4_S384_R1_001.fastq.gz",3,3
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1342_S2_R1_001.fastq.gz",185291,185291
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1343_S3_R1_001.fastq.gz",129042,129042
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1344_S4_R1_001.fastq.gz",135439,135439
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1345_S5_R1_001.fastq.gz",163546,163546
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1347_S7_R1_001.fastq.gz",166524,166524
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1348_S8_R1_001.fastq.gz",91061,91061
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1349_S9_R1_001.fastq.gz",149992,149992
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1350_S10_R1_001.fastq.gz",144695,144695
"/Users/katesheridan/Documents/GitHub/chapter2/rawdata/peco/fastq/12S_PECO2024_20250525/Analysis/1/Data/fastq/fixed/cutadapt/20250425_PECOe-1351_S11_R1_001.fastq.gz",6,6
