"","sample_id","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percent_retained_aftermerge","percent_notsingleton","percent_notchimera"
"1","filtered20250425_EXBLANK-2024-062_S364_R1_001",1,1,1,1,1,1,1,1,1,100,100,100
"2","filtered20250425_EXBLANK-2024-063_S365_R1_001",3,3,3,3,3,3,3,3,3,100,100,100
"3","filtered20250425_EXBLANK-2024-064_S366_R1_001",3,3,3,3,2,2,2,2,2,100,100,100
"4","filtered20250425_EXBLANK-2024-065_S367_R1_001",3,3,3,3,2,2,0,0,0,0,NA,NA
"5","filtered20250425_EXBLANK-2024-066_S368_R1_001",5,5,5,5,2,2,2,2,2,100,100,100
"6","filtered20250425_EXBLANK-2024-068_S370_R1_001",2,2,2,2,1,1,1,1,1,100,100,100
"7","filtered20250425_EXBLANK-2024-070_S372_R1_001",3,3,3,3,2,2,0,0,0,0,NA,NA
"8","filtered20250425_EXBLANK-2024-071_S373_R1_001",5,5,5,5,4,4,4,4,4,100,100,100
"9","filtered20250425_EXBLANK-2024-072_S374_R1_001",6168,6168,6168,6168,6168,6159,6159,6159,6159,99.8540856031128,100,100
"10","filtered20250425_EXBLANK-2024-073_S375_R1_001",44,44,44,44,41,41,41,41,41,100,100,100
"11","filtered20250425_EXBLANK-2024-074_S376_R1_001",1,1,1,1,1,1,1,1,1,100,100,100
"12","filtered20250425_EXBLANK-2024-080_S382_R1_001",375009,375009,375009,375009,374914,374702,369429,369397,363019,98.5369978181663,99.9913379837533,98.27340232866
"13","filtered20250425_EXBLANK-2024-081_S383_R1_001",174798,174798,174798,174798,174776,174627,171305,171305,171305,98.0140293861857,100,100
"14","filtered20250425_EXBLANK-2024-082_S377_R1_001",1,1,1,1,1,1,0,0,0,0,NA,NA
"15","filtered20250425_EXBLANK-2024-086_S379_R1_001",113721,113721,113721,113721,113707,113618,111148,111050,46791,97.7494789239009,99.9118292726815,42.13507429086
"16","filtered20250425_EXBLANK-2024-087_S380_R1_001",225897,225897,225897,225897,225850,225593,222173,220795,168511,98.3719282709763,99.3797626174198,76.3201159446545
"17","filtered20250425_EXBLANK-2024-089_S381_R1_001",242944,242944,242944,242944,242889,242742,241208,241208,241208,99.3079143147693,100,100
"18","filtered20250425_NEGPCR-2024-3_S288_R1_001",4,4,4,4,3,3,3,3,3,100,100,100
"19","filtered20250425_NEGPCR-2024-4_S384_R1_001",3,3,3,3,1,1,1,1,1,100,100,100
"20","filtered20250425_PECOe-1342_S2_R1_001",183148,183148,183148,183148,182610,182264,179535,178536,160815,98.3160834565467,99.4435625365528,90.0742707353139
"21","filtered20250425_PECOe-1343_S3_R1_001",127258,127258,127258,127258,126919,126111,124708,123752,114112,98.2579440430511,99.233409243994,92.2102269054238
"22","filtered20250425_PECOe-1344_S4_R1_001",133895,133895,133895,133895,133685,133399,131792,130846,125324,98.5839847402476,99.2822022581037,95.7797716399431
"23","filtered20250425_PECOe-1345_S5_R1_001",161792,161792,161792,161792,161405,161119,159553,158870,145617,98.852575818593,99.5719290768585,91.6579593378234
"24","filtered20250425_PECOe-1347_S7_R1_001",163796,163796,163796,163796,163139,162659,159949,158355,136885,98.0446122631621,99.0034323440597,86.4418553250608
"25","filtered20250425_PECOe-1348_S8_R1_001",89902,89902,89902,89902,89224,89034,87511,86385,76288,98.0801129740877,98.7133046131343,88.311628176188
"26","filtered20250425_PECOe-1349_S9_R1_001",147790,147790,147790,147790,147216,146818,144469,141511,126362,98.134034344093,97.9525019208273,89.2948251372685
"27","filtered20250425_PECOe-1350_S10_R1_001",142882,142882,142882,142882,142391,142127,139588,137860,116352,98.0314767084998,98.7620712382153,84.398665312636
"28","filtered20250425_PECOe-1351_S11_R1_001",6,6,6,6,2,1,0,0,0,0,NA,NA
"29","filtered20250425_PECOe-1352_S12_R1_001",148601,148601,148601,148601,148315,148140,145904,145511,128655,98.3744058254391,99.7306448075447,88.4159960415364
"30","filtered20250425_PECOe-1353_S13_R1_001",143072,143072,143072,143072,142944,142671,141001,140814,132443,98.6407264383255,99.8673768271147,94.0552785944579
"31","filtered20250425_PECOe-1354_S14_R1_001",64591,64591,64591,64591,64458,64309,63564,63264,56172,98.6130503583729,99.5280347366434,88.7898330804249
"32","filtered20250425_PECOe-1355_S15_R1_001",93304,93304,93304,93304,92996,92751,91553,90347,78689,98.4483203578648,98.6827302218387,87.0964171472213
"33","filtered20250425_PECOe-1356_S16_R1_001",167,167,167,167,167,167,167,167,167,100,100,100
"34","filtered20250425_PECOe-1357_S17_R1_001",218951,218951,218951,218951,217803,217369,213228,211063,170832,97.899477968623,98.9846549233684,80.9388665943344
"35","filtered20250425_PECOe-1358_S18_R1_001",202875,202875,202875,202875,202073,201850,198454,196857,169663,98.2090630613689,99.1952795106171,86.1859116008067
"36","filtered20250425_PECOe-1359_S19_R1_001",218342,218342,218342,218342,217169,216900,212747,212009,174336,97.9637977796094,99.6531090920201,82.2304713479145
"37","filtered20250425_PECOe-1360_S20_R1_001",193187,193187,193187,193187,192269,191667,188086,187724,159344,97.8244022697367,99.8075348510788,84.882060897914
"38","filtered20250425_PECOe-1361_S21_R1_001",25,25,25,25,21,19,19,19,19,90.4761904761905,100,100
"39","filtered20250425_PECOe-1362_S22_R1_001",212677,212677,212677,212677,211985,211616,208985,206032,185436,98.5848055286931,98.586979926789,90.0034946027802
"40","filtered20250425_PECOe-1363_S23_R1_001",140855,140855,140855,140855,139926,139659,137315,135842,113796,98.134013692952,98.927283982085,83.7708514303382
"41","filtered20250425_PECOe-1364_S24_R1_001",178516,178516,178516,178516,177574,177281,174299,173591,152199,98.1556984693705,99.5938014561185,87.6767804782506
"42","filtered20250425_PECOe-1365_S25_R1_001",461229,461229,461229,461229,460119,459147,451626,443410,397654,98.1541731595522,98.18079561407,89.6808822534449
"43","filtered20250425_PECOe-1366_S26_R1_001",2,2,2,2,2,2,2,2,2,100,100,100
"44","filtered20250425_PECOe-1367_S27_R1_001",120,120,120,120,119,119,119,119,119,100,100,100
"45","filtered20250425_PECOe-1368_S28_R1_001",213032,213032,213032,213032,212957,212748,210379,210323,203466,98.7894269735205,99.9733813736162,96.7397764390961
"46","filtered20250425_PECOe-1369_S29_R1_001",159,159,159,159,158,158,158,158,24,100,100,15.1898734177215
"47","filtered20250425_PECOe-1371_S31_R1_001",4,4,4,4,4,4,4,4,4,100,100,100
"48","filtered20250425_PECOe-1372_S32_R1_001",92016,92016,92016,92016,91631,91311,89851,88430,77971,98.0574259802905,98.4184928381432,88.1725658713106
"49","filtered20250425_PECOe-1373_S33_R1_001",175434,175434,175434,175434,175301,174985,172009,170780,164609,98.1220871529541,99.285502502776,96.3865792247336
"50","filtered20250425_PECOe-1374_S34_R1_001",169487,169487,169487,169487,169347,169150,165535,165457,160961,97.7490005727884,99.9528800555774,97.282677674562
"51","filtered20250425_PECOe-1375_S35_R1_001",210858,210858,210858,210858,210740,210356,205245,203981,193317,97.3925215905856,99.3841506492241,94.7720621038234
"52","filtered20250425_PECOe-1376_S36_R1_001",2041,2041,2041,2041,2041,2039,2039,2039,2039,99.9020088192063,100,100
"53","filtered20250425_PECOe-1377_S37_R1_001",248354,248354,248354,248354,248247,247859,244141,242539,225744,98.3460021671964,99.3438218078897,93.0753404607094
"54","filtered20250425_PECOe-1378_S38_R1_001",310401,310401,310401,310401,310186,309838,305144,304264,289889,98.374523672893,99.7116115669979,95.2754844477165
"55","filtered20250425_PECOe-1379_S39_R1_001",162389,162389,162389,162389,162099,161860,160299,159361,152266,98.889567486536,99.4148435111885,95.5478442027849
"56","filtered20250425_PECOe-1380_S40_R1_001",118735,118735,118735,118735,118463,118289,116300,115802,106283,98.1741134362628,99.5717970765262,91.7799347161534
"57","filtered20250425_PECOe-1381_S41_R1_001",29,29,29,29,27,27,27,27,27,100,100,100
"58","filtered20250425_PECOe-1382_S42_R1_001",140296,140296,140296,140296,140136,139994,138764,138591,131504,99.0209510760975,99.875327894843,94.8863923342786
"59","filtered20250425_PECOe-1383_S43_R1_001",197690,197690,197690,197690,197512,197315,195463,195115,186822,98.9625946777917,99.8219611895857,95.7496860825667
"60","filtered20250425_PECOe-1384_S44_R1_001",233117,233117,233117,233117,232950,232755,229951,229834,217198,98.7125992702297,99.9491195950442,94.5021189206123
"61","filtered20250425_PECOe-1385_S45_R1_001",238104,238104,238104,238104,237882,237579,233981,233171,216161,98.3601113156943,99.653818045055,92.7049247119067
"62","filtered20250425_PECOe-1386_S46_R1_001",8,8,8,8,8,8,8,8,8,100,100,100
"63","filtered20250425_PECOe-1387_S47_R1_001",142692,142692,142692,142692,142609,142488,139457,138841,138434,97.7897608145348,99.5582867837398,99.7068589249573
"64","filtered20250425_PECOe-1388_S48_R1_001",123380,123380,123380,123380,123177,123044,121293,120299,116110,98.4704936798266,99.1804968135012,96.5178430410893
"65","filtered20250425_PECOe-1389_S49_R1_001",293685,293685,293685,293685,293644,293345,292947,292896,292896,99.7626377518356,99.9825907075341,100
"66","filtered20250425_PECOe-1390_S50_R1_001",117701,117701,117701,117701,117681,117562,117074,116945,114379,99.4841988086437,99.8898132804893,97.8058061481893
