motu_lulu,motu_swarm,asv,curated,lulu_rank
motu1,motu1,ASV1,parent,1
motu1,motu1,ASV99,parent,1
motu1,motu1,ASV113,parent,1
motu1,motu1,ASV114,parent,1
motu1,motu1,ASV115,parent,1
motu1,motu1,ASV162,parent,1
motu1,motu1,ASV172,parent,1
motu1,motu1,ASV190,parent,1
motu1,motu1,ASV191,parent,1
motu1,motu1,ASV200,parent,1
motu1,motu1,ASV218,parent,1
motu1,motu1,ASV219,parent,1
motu1,motu1,ASV222,parent,1
motu1,motu1,ASV227,parent,1
motu1,motu1,ASV242,parent,1
motu1,motu1,ASV253,parent,1
motu1,motu1,ASV265,parent,1
motu1,motu1,ASV285,parent,1
motu1,motu1,ASV291,parent,1
motu1,motu1,ASV305,parent,1
motu1,motu1,ASV309,parent,1
motu1,motu1,ASV313,parent,1
motu1,motu1,ASV316,parent,1
motu1,motu1,ASV332,parent,1
motu1,motu1,ASV338,parent,1
motu1,motu1,ASV350,parent,1
motu1,motu1,ASV357,parent,1
motu1,motu1,ASV366,parent,1
motu1,motu1,ASV392,parent,1
motu1,motu1,ASV428,parent,1
motu1,motu1,ASV435,parent,1
motu1,motu1,ASV436,parent,1
motu1,motu1,ASV437,parent,1
motu1,motu1,ASV447,parent,1
motu1,motu1,ASV453,parent,1
motu1,motu1,ASV456,parent,1
motu1,motu1,ASV466,parent,1
motu1,motu1,ASV468,parent,1
motu1,motu1,ASV517,parent,1
motu1,motu1,ASV526,parent,1
motu1,motu1,ASV535,parent,1
motu1,motu1,ASV546,parent,1
motu1,motu1,ASV567,parent,1
motu1,motu1,ASV582,parent,1
motu1,motu1,ASV586,parent,1
motu1,motu1,ASV588,parent,1
motu1,motu1,ASV595,parent,1
motu1,motu1,ASV599,parent,1
motu1,motu1,ASV619,parent,1
motu1,motu1,ASV650,parent,1
motu1,motu1,ASV656,parent,1
motu1,motu1,ASV662,parent,1
motu1,motu1,ASV679,parent,1
motu1,motu1,ASV681,parent,1
motu1,motu1,ASV712,parent,1
motu1,motu1,ASV715,parent,1
motu1,motu1,ASV742,parent,1
motu1,motu1,ASV754,parent,1
motu1,motu1,ASV760,parent,1
motu1,motu1,ASV762,parent,1
motu1,motu1,ASV793,parent,1
motu1,motu1,ASV843,parent,1
motu1,motu1,ASV873,parent,1
motu1,motu1,ASV876,parent,1
motu1,motu1,ASV886,parent,1
