seed_asv,motu,asv,asv_reads
ASV1,motu1,ASV1,47238340
ASV1,motu1,ASV99,188012
ASV1,motu1,ASV113,150122
ASV1,motu1,ASV114,146760
ASV1,motu1,ASV115,141684
ASV1,motu1,ASV162,77808
ASV1,motu1,ASV172,71803
ASV1,motu1,ASV190,61616
ASV1,motu1,ASV191,61551
ASV1,motu1,ASV200,53720
ASV1,motu1,ASV218,45359
ASV1,motu1,ASV219,44672
ASV1,motu1,ASV222,44093
ASV1,motu1,ASV227,41558
ASV1,motu1,ASV242,34836
ASV1,motu1,ASV253,30362
ASV1,motu1,ASV265,28242
ASV1,motu1,ASV285,24572
ASV1,motu1,ASV291,23570
ASV1,motu1,ASV305,20983
ASV1,motu1,ASV309,20358
ASV1,motu1,ASV313,19709
ASV1,motu1,ASV316,19570
ASV1,motu1,ASV332,17500
ASV1,motu1,ASV338,16925
ASV1,motu1,ASV350,15472
ASV1,motu1,ASV357,15164
ASV1,motu1,ASV366,14596
ASV1,motu1,ASV392,12780
ASV1,motu1,ASV428,10646
ASV1,motu1,ASV435,10200
ASV1,motu1,ASV436,10196
ASV1,motu1,ASV437,10165
ASV1,motu1,ASV447,9592
ASV1,motu1,ASV453,9373
ASV1,motu1,ASV456,9240
ASV1,motu1,ASV466,8801
ASV1,motu1,ASV468,8779
ASV1,motu1,ASV517,7236
ASV1,motu1,ASV526,7026
ASV1,motu1,ASV535,6868
ASV1,motu1,ASV546,6726
ASV1,motu1,ASV567,6270
ASV1,motu1,ASV582,5902
ASV1,motu1,ASV586,5812
ASV1,motu1,ASV588,5801
ASV1,motu1,ASV595,5673
ASV1,motu1,ASV599,5611
ASV1,motu1,ASV619,5204
ASV1,motu1,ASV650,4799
ASV1,motu1,ASV656,4753
ASV1,motu1,ASV662,4693
ASV1,motu1,ASV679,4536
ASV1,motu1,ASV681,4502
ASV1,motu1,ASV712,4140
ASV1,motu1,ASV715,4105
ASV1,motu1,ASV742,3835
ASV1,motu1,ASV754,3759
ASV1,motu1,ASV760,3720
ASV1,motu1,ASV762,3717
ASV1,motu1,ASV793,3515
ASV1,motu1,ASV843,3191
ASV1,motu1,ASV873,3033
ASV1,motu1,ASV876,3027
ASV1,motu1,ASV886,2964
ASV1,motu1,ASV894,2924
ASV1,motu1,ASV896,2912
ASV1,motu1,ASV897,2910
ASV1,motu1,ASV919,2746
ASV1,motu1,ASV925,2709
ASV1,motu1,ASV942,2643
ASV1,motu1,ASV972,2512
ASV1,motu1,ASV993,2427
ASV1,motu1,ASV1010,2376
ASV1,motu1,ASV1036,2266
ASV1,motu1,ASV1037,2263
ASV1,motu1,ASV1058,2188
ASV1,motu1,ASV1081,2106
ASV1,motu1,ASV1082,2106
ASV1,motu1,ASV1092,2065
ASV1,motu1,ASV1103,2025
ASV1,motu1,ASV1116,1981
ASV1,motu1,ASV1120,1975
ASV1,motu1,ASV1147,1897
ASV1,motu1,ASV1168,1832
ASV1,motu1,ASV1202,1737
ASV1,motu1,ASV1212,1718
ASV1,motu1,ASV1215,1706
ASV1,motu1,ASV1218,1702
ASV1,motu1,ASV1231,1652
ASV1,motu1,ASV1258,1596
ASV1,motu1,ASV1279,1551
