n_in_cluster,motu_reads,seed_asv,seed_reads,n_1readamplicon,max_iterations_to_limit,cumulative_steps,motu,seed_asv_reads,swarm_reads
275,49070649,ASV1,47238340,0,3,3,motu1,ASV1_47238340,ASV1_49070649
126,23333722,ASV2,21988046,0,2,2,motu2,ASV2_21988046,ASV2_23333722
209,18612786,ASV3,16898199,0,3,3,motu3,ASV3_16898199,ASV3_18612786
38,11943159,ASV4,11425895,0,2,2,motu4,ASV4_11425895,ASV4_11943159
74,9727827,ASV5,9163591,0,3,3,motu5,ASV5_9163591,ASV5_9727827
51,7837380,ASV6,7694455,0,2,2,motu6,ASV6_7694455,ASV6_7837380
107,9200495,ASV7,6822575,0,3,3,motu7,ASV7_6822575,ASV7_9200495
63,7694996,ASV8,6777385,0,2,2,motu8,ASV8_6777385,ASV8_7694996
9,6039563,ASV9,6024113,0,2,2,motu9,ASV9_6024113,ASV9_6039563
47,5937108,ASV10,5321195,0,3,3,motu10,ASV10_5321195,ASV10_5937108
84,5376520,ASV11,4834044,0,4,4,motu11,ASV11_4834044,ASV11_5376520
178,4593523,ASV12,4347431,0,2,2,motu12,ASV12_4347431,ASV12_4593523
49,3453613,ASV13,3163423,0,3,3,motu13,ASV13_3163423,ASV13_3453613
75,3154386,ASV14,2979149,0,3,3,motu14,ASV14_2979149,ASV14_3154386
26,2779689,ASV15,2704330,0,2,2,motu15,ASV15_2704330,ASV15_2779689
74,4741283,ASV16,2442487,0,3,3,motu16,ASV16_2442487,ASV16_4741283
20,2485072,ASV17,2302416,0,2,2,motu17,ASV17_2302416,ASV17_2485072
19,2337447,ASV18,2251174,0,1,1,motu18,ASV18_2251174,ASV18_2337447
31,2174640,ASV19,2126741,0,2,2,motu19,ASV19_2126741,ASV19_2174640
10,2097157,ASV20,2033707,0,1,1,motu20,ASV20_2033707,ASV20_2097157
20,2227539,ASV22,1951337,0,2,2,motu21,ASV22_1951337,ASV22_2227539
22,1962534,ASV23,1946244,0,2,2,motu22,ASV23_1946244,ASV23_1962534
183,2418771,ASV24,1939498,0,3,3,motu23,ASV24_1939498,ASV24_2418771
20,2103741,ASV25,1738619,0,2,2,motu24,ASV25_1738619,ASV25_2103741
5,1796352,ASV26,1727578,0,1,1,motu25,ASV26_1727578,ASV26_1796352
18,1672305,ASV28,1643878,0,3,3,motu26,ASV28_1643878,ASV28_1672305
17,1833208,ASV29,1583616,0,2,2,motu27,ASV29_1583616,ASV29_1833208
24,1573360,ASV30,1530400,0,2,2,motu28,ASV30_1530400,ASV30_1573360
15,1606954,ASV31,1506110,0,2,2,motu29,ASV31_1506110,ASV31_1606954
23,1641497,ASV32,1426747,0,2,2,motu30,ASV32_1426747,ASV32_1641497
13,1418963,ASV33,1388105,0,1,1,motu31,ASV33_1388105,ASV33_1418963
13,1427129,ASV34,1352474,0,1,1,motu32,ASV34_1352474,ASV34_1427129
1,1284449,ASV35,1284449,0,0,0,motu33,ASV35_1284449,ASV35_1284449
14,1532815,ASV36,1281835,0,2,2,motu34,ASV36_1281835,ASV36_1532815
24,2905423,ASV37,1196199,0,2,2,motu35,ASV37_1196199,ASV37_2905423
9,1073355,ASV39,1043430,0,1,1,motu36,ASV39_1043430,ASV39_1073355
13,1003847,ASV40,993591,0,1,1,motu37,ASV40_993591,ASV40_1003847
19,1422180,ASV41,848220,0,2,2,motu38,ASV41_848220,ASV41_1422180
7,839593,ASV42,834450,0,1,1,motu39,ASV42_834450,ASV42_839593
16,977955,ASV43,814683,0,2,2,motu40,ASV43_814683,ASV43_977955
4,751160,ASV44,718324,0,1,1,motu41,ASV44_718324,ASV44_751160
6,704452,ASV45,691473,0,1,1,motu42,ASV45_691473,ASV45_704452
