SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	128842	110800
1	1101	4551	4439
2	1101	5153	5016
3	1101	5346	5238
4	1101	4185	4056
5	1101	4463	4365
6	1101	3167	3073
7	1101	3972	3864
8	1101	1888	1683
9	1101	4844	4713
10	1101	5123	5008
11	1101	4475	4385
12	1101	4178	4081
13	1101	4086	3981
14	1101	4258	4144
15	1101	4315	4218
16	1101	3878	3784
17	1101	4733	4623
18	1101	6672	6518
19	1101	4089	3990
20	1101	6336	6213
21	1101	5737	5605
22	1101	5797	5651
23	1101	4303	4197
24	1101	3456	3375
25	1101	4908	4796
26	1101	4557	4467
27	1101	4480	4380
28	1101	5311	5169
29	1101	4777	4641
30	1101	6335	6181
31	1101	5482	5338
32	1101	4933	4784
33	1101	5308	5180
34	1101	6352	6206
35	1101	4937	4805
36	1101	5174	5033
37	1101	5969	5853
38	1101	4981	4839
39	1101	4540	4441
40	1101	3901	3757
41	1101	3425	3315
42	1101	4045	3937
43	1101	4251	4155
44	1101	4452	4345
45	1101	4662	4562
46	1101	4461	4327
47	1101	4223	4111
48	1101	3686	3571
49	1101	4265	4144
50	1101	5015	4820
51	1101	4457	4358
52	1101	5417	5284
53	1101	4371	4277
54	1101	4983	4862
55	1101	4632	4510
56	1101	3794	3674
57	1101	3316	3216
58	1101	3513	3403
59	1101	3264	3204
60	1101	2953	2850
61	1101	3727	3645
62	1101	3779	3689
63	1101	3437	3361
64	1101	3786	3676
65	1101	3737	3578
66	1101	4919	4800
67	1101	2287	2093
68	1101	4811	4679
69	1101	5050	4932
70	1101	3787	3662
71	1101	4336	4241
72	1101	3957	3828
73	1101	3376	3258
74	1101	4056	3971
75	1101	4320	4224
76	1101	3871	3780
77	1101	3973	3873
78	1101	4018	3928
79	1101	3734	3648
80	1101	2815	2730
81	1101	3684	3559
82	1101	3614	3514
83	1101	3935	3834
84	1101	2856	2726
85	1101	4536	4432
86	1101	4935	4810
87	1101	4822	4688
88	1101	3934	3801
89	1101	3893	3784
90	1101	3894	3788
91	1101	4113	4024
92	1101	3179	3085
93	1101	3348	3264
94	1101	2869	2783
95	1101	4002	3903
96	1101	905	856
0	1102	126160	108843
1	1102	4551	4447
2	1102	4818	4708
3	1102	5197	5082
4	1102	4150	4056
5	1102	4474	4366
6	1102	3038	2933
7	1102	3985	3881
8	1102	1960	1759
9	1102	4784	4684
10	1102	4968	4867
11	1102	4535	4445
12	1102	4055	3961
13	1102	4123	4051
14	1102	4413	4309
15	1102	4349	4256
16	1102	3874	3787
17	1102	4713	4619
18	1102	6605	6462
19	1102	4026	3946
20	1102	6604	6470
21	1102	5796	5683
22	1102	5805	5672
23	1102	4095	4008
24	1102	3465	3387
25	1102	4979	4883
26	1102	4725	4604
27	1102	4385	4299
28	1102	5232	5102
29	1102	4669	4561
30	1102	6321	6191
31	1102	5459	5310
32	1102	4968	4831
33	1102	5231	5101
34	1102	6470	6338
35	1102	4790	4664
36	1102	5261	5151
37	1102	6094	5978
38	1102	5095	4964
39	1102	4544	4442
40	1102	3944	3831
41	1102	3360	3254
42	1102	4083	3993
43	1102	4306	4218
44	1102	4277	4160
45	1102	4725	4622
46	1102	4221	4107
47	1102	4259	4174
48	1102	3731	3610
49	1102	4234	4113
50	1102	5275	5080
51	1102	4450	4359
52	1102	5500	5375
53	1102	4397	4309
54	1102	4997	4884
55	1102	4600	4488
56	1102	3761	3618
57	1102	3300	3206
58	1102	3547	3462
59	1102	3379	3304
60	1102	3084	2995
61	1102	3883	3804
62	1102	3763	3685
63	1102	3509	3428
64	1102	3647	3555
65	1102	3747	3622
66	1102	4841	4719
67	1102	2186	1997
68	1102	4990	4875
69	1102	5064	4959
70	1102	3792	3653
71	1102	4157	4070
72	1102	3951	3828
73	1102	3448	3332
74	1102	4116	4019
75	1102	4296	4218
76	1102	3880	3788
77	1102	4030	3939
78	1102	4133	4049
79	1102	3603	3541
80	1102	2658	2574
81	1102	3722	3617
82	1102	3608	3526
83	1102	3936	3849
84	1102	2910	2760
85	1102	4519	4431
86	1102	4764	4660
87	1102	4806	4691
88	1102	3910	3763
89	1102	3860	3745
90	1102	3831	3738
91	1102	4137	4024
92	1102	3117	3032
93	1102	3330	3254
94	1102	2789	2726
95	1102	3911	3819
96	1102	960	919
0	1103	124976	108139
1	1103	4598	4510
2	1103	4943	4843
3	1103	5221	5112
4	1103	4200	4105
5	1103	4539	4440
6	1103	3031	2943
7	1103	4024	3928
8	1103	1861	1649
9	1103	4810	4689
10	1103	5189	5063
11	1103	4527	4430
12	1103	4360	4263
13	1103	4098	4018
14	1103	4332	4229
15	1103	4382	4311
16	1103	3822	3714
17	1103	4727	4621
18	1103	6329	6201
19	1103	4066	3986
20	1103	6337	6180
21	1103	5783	5673
22	1103	5784	5626
23	1103	4191	4107
24	1103	3477	3373
25	1103	5002	4905
26	1103	4616	4524
27	1103	4589	4502
28	1103	5262	5110
29	1103	4605	4496
30	1103	6077	5920
31	1103	5398	5261
32	1103	4844	4707
33	1103	5287	5165
34	1103	6377	6224
35	1103	4960	4831
36	1103	5183	5064
37	1103	5991	5872
38	1103	4970	4837
39	1103	4690	4582
40	1103	3874	3771
41	1103	3435	3335
42	1103	3883	3801
43	1103	4327	4241
44	1103	4433	4325
45	1103	4915	4815
46	1103	4416	4305
47	1103	4270	4166
48	1103	3721	3611
49	1103	4269	4167
50	1103	5040	4875
51	1103	4389	4297
52	1103	5285	5150
53	1103	4528	4431
54	1103	5021	4903
55	1103	4548	4437
56	1103	3795	3668
57	1103	3242	3158
58	1103	3638	3536
59	1103	3312	3249
60	1103	2976	2900
61	1103	3822	3747
62	1103	3792	3705
63	1103	3478	3393
64	1103	3661	3567
65	1103	3726	3601
66	1103	4742	4626
67	1103	2151	1969
68	1103	4709	4581
69	1103	5025	4915
70	1103	3817	3683
71	1103	4310	4206
72	1103	3867	3757
73	1103	3543	3400
74	1103	4039	3962
75	1103	4259	4174
76	1103	4009	3923
77	1103	4019	3932
78	1103	4004	3916
79	1103	3695	3625
80	1103	2828	2744
81	1103	3639	3526
82	1103	3600	3516
83	1103	3920	3840
84	1103	2949	2799
85	1103	4512	4419
86	1103	4949	4842
87	1103	4825	4721
88	1103	4091	3947
89	1103	3720	3613
90	1103	3781	3688
91	1103	4157	4046
92	1103	3155	3063
93	1103	3355	3282
94	1103	2835	2774
95	1103	3842	3751
96	1103	962	925
0	1104	125736	108639
1	1104	4602	4492
2	1104	4938	4831
3	1104	5113	5006
4	1104	4126	4031
5	1104	4398	4318
6	1104	3098	3022
7	1104	3956	3856
8	1104	1960	1732
9	1104	4767	4654
10	1104	4897	4794
11	1104	4533	4434
12	1104	4149	4056
13	1104	4061	3975
14	1104	4310	4210
15	1104	4401	4292
16	1104	3808	3723
17	1104	4614	4519
18	1104	6316	6199
19	1104	4083	4002
20	1104	6222	6093
21	1104	5580	5467
22	1104	5611	5480
23	1104	4143	4057
24	1104	3385	3293
25	1104	4844	4733
26	1104	4681	4577
27	1104	4329	4232
28	1104	5179	5057
29	1104	4410	4303
30	1104	6084	5951
31	1104	5478	5353
32	1104	4834	4706
33	1104	5277	5155
34	1104	6460	6305
35	1104	4830	4715
36	1104	5167	5040
37	1104	6083	5974
38	1104	4956	4851
39	1104	4486	4386
40	1104	3958	3833
41	1104	3385	3286
42	1104	4023	3937
43	1104	4101	4027
44	1104	4372	4279
45	1104	4721	4627
46	1104	4290	4179
47	1104	4206	4104
48	1104	3613	3516
49	1104	4110	3988
50	1104	5101	4892
51	1104	4394	4303
52	1104	5287	5140
53	1104	4396	4308
54	1104	4826	4719
55	1104	4468	4358
56	1104	3789	3670
57	1104	3246	3159
58	1104	3426	3337
59	1104	3265	3193
60	1104	3026	2930
61	1104	3935	3866
62	1104	3713	3636
63	1104	3518	3438
64	1104	3677	3591
65	1104	3645	3515
66	1104	4831	4728
67	1104	2180	1990
68	1104	4669	4556
69	1104	4868	4781
70	1104	3681	3541
71	1104	4314	4212
72	1104	3930	3811
73	1104	3380	3244
74	1104	4103	4008
75	1104	4181	4102
76	1104	3887	3786
77	1104	4047	3963
78	1104	4061	3973
79	1104	3635	3558
80	1104	2729	2656
81	1104	3471	3379
82	1104	3498	3401
83	1104	3921	3842
84	1104	2823	2672
85	1104	4457	4361
86	1104	4842	4731
87	1104	4957	4855
88	1104	3948	3793
89	1104	3829	3737
90	1104	3672	3575
91	1104	3983	3892
92	1104	3092	3024
93	1104	3188	3101
94	1104	2748	2677
95	1104	3976	3880
96	1104	906	865
0	1105	126114	109172
1	1105	4499	4417
2	1105	4927	4792
3	1105	5097	4996
4	1105	4120	4015
5	1105	4469	4371
6	1105	3034	2945
7	1105	4008	3930
8	1105	1894	1698
9	1105	4627	4532
10	1105	5000	4896
11	1105	4377	4291
12	1105	4130	4047
13	1105	4176	4097
14	1105	4181	4086
15	1105	4209	4118
16	1105	3895	3784
17	1105	4558	4480
18	1105	6329	6184
19	1105	4042	3954
20	1105	6369	6249
21	1105	5621	5493
22	1105	5815	5686
23	1105	4229	4157
24	1105	3350	3277
25	1105	4746	4647
26	1105	4543	4447
27	1105	4373	4273
28	1105	5088	4984
29	1105	4249	4133
30	1105	6195	6061
31	1105	5409	5305
32	1105	4764	4648
33	1105	5272	5142
34	1105	6298	6171
35	1105	4864	4733
36	1105	5146	5047
37	1105	5950	5838
38	1105	4992	4861
39	1105	4452	4352
40	1105	3890	3750
41	1105	3397	3298
42	1105	4082	3994
43	1105	4250	4159
44	1105	4211	4117
45	1105	4677	4572
46	1105	4323	4209
47	1105	4163	4073
48	1105	3599	3491
49	1105	4259	4138
50	1105	5033	4850
51	1105	4513	4409
52	1105	5416	5283
53	1105	4165	4067
54	1105	4889	4756
55	1105	4465	4369
56	1105	3847	3710
57	1105	3277	3184
58	1105	3509	3427
59	1105	3327	3260
60	1105	3064	2982
61	1105	3656	3575
62	1105	3613	3535
63	1105	3422	3352
64	1105	3652	3574
65	1105	3600	3454
66	1105	4560	4468
67	1105	2211	2001
68	1105	4892	4755
69	1105	4908	4798
70	1105	3635	3501
71	1105	4284	4193
72	1105	3984	3869
73	1105	3331	3215
74	1105	4036	3935
75	1105	4209	4138
76	1105	3997	3899
77	1105	3999	3920
78	1105	3898	3811
79	1105	3613	3529
80	1105	2724	2650
81	1105	3645	3553
82	1105	3535	3428
83	1105	3856	3757
84	1105	2886	2755
85	1105	4501	4407
86	1105	4814	4696
87	1105	4846	4728
88	1105	4005	3862
89	1105	3900	3782
90	1105	3680	3579
91	1105	4080	3985
92	1105	3022	2931
93	1105	3087	3013
94	1105	2805	2727
95	1105	3806	3718
96	1105	927	891
0	1106	128037	110618
1	1106	4716	4615
2	1106	5084	4991
3	1106	5101	4998
4	1106	4199	4098
5	1106	4457	4377
6	1106	3234	3134
7	1106	4058	3949
8	1106	1905	1703
9	1106	4861	4750
10	1106	4903	4798
11	1106	4350	4243
12	1106	4427	4326
13	1106	4148	4064
14	1106	4268	4169
15	1106	4276	4188
16	1106	4012	3917
17	1106	4670	4572
18	1106	6477	6332
19	1106	4133	4057
20	1106	6473	6320
21	1106	5782	5679
22	1106	5824	5691
23	1106	4190	4096
24	1106	3527	3432
25	1106	4904	4796
26	1106	4717	4602
27	1106	4446	4359
28	1106	5120	4988
29	1106	4349	4224
30	1106	6275	6140
31	1106	5412	5283
32	1106	4816	4690
33	1106	5347	5229
34	1106	6391	6240
35	1106	4850	4748
36	1106	5152	5039
37	1106	6322	6194
38	1106	4978	4855
39	1106	4707	4592
40	1106	3897	3773
41	1106	3460	3366
42	1106	4068	3973
43	1106	4282	4187
44	1106	4376	4284
45	1106	4666	4578
46	1106	4403	4306
47	1106	4072	3986
48	1106	3644	3534
49	1106	4241	4137
50	1106	5206	5018
51	1106	4513	4421
52	1106	5368	5226
53	1106	4426	4340
54	1106	4890	4739
55	1106	4513	4398
56	1106	3938	3832
57	1106	3352	3265
58	1106	3595	3507
59	1106	3422	3351
60	1106	3051	2964
61	1106	3921	3838
62	1106	3760	3691
63	1106	3532	3445
64	1106	3783	3680
65	1106	3733	3614
66	1106	4834	4731
67	1106	2241	2067
68	1106	4812	4696
69	1106	5018	4921
70	1106	3718	3578
71	1106	4278	4194
72	1106	4065	3947
73	1106	3362	3239
74	1106	4050	3953
75	1106	4281	4191
76	1106	4044	3974
77	1106	3929	3846
78	1106	4139	4045
79	1106	3718	3632
80	1106	2830	2748
81	1106	3654	3545
82	1106	3610	3517
83	1106	3813	3727
84	1106	2886	2755
85	1106	4732	4644
86	1106	4743	4637
87	1106	4828	4708
88	1106	4172	4012
89	1106	3952	3857
90	1106	3936	3851
91	1106	4146	4047
92	1106	3049	2963
93	1106	3141	3066
94	1106	2834	2766
95	1106	3899	3808
96	1106	986	937
0	1107	128910	111492
1	1107	4602	4499
2	1107	5009	4896
3	1107	5330	5216
4	1107	4110	4030
5	1107	4572	4485
6	1107	3073	2982
7	1107	4089	4000
8	1107	1875	1671
9	1107	4839	4723
10	1107	5104	5008
11	1107	4547	4432
12	1107	4195	4095
13	1107	4212	4134
14	1107	4343	4255
15	1107	4353	4255
16	1107	3934	3844
17	1107	4694	4595
18	1107	6323	6184
19	1107	3997	3897
20	1107	6232	6113
21	1107	5718	5606
22	1107	5768	5623
23	1107	4279	4194
24	1107	3533	3436
25	1107	4981	4850
26	1107	4659	4549
27	1107	4443	4346
28	1107	5259	5146
29	1107	4050	3932
30	1107	6213	6078
31	1107	5488	5357
32	1107	4809	4662
33	1107	5172	5048
34	1107	6413	6250
35	1107	5025	4905
36	1107	5188	5036
37	1107	6034	5897
38	1107	4991	4874
39	1107	4630	4536
40	1107	3959	3838
41	1107	3407	3315
42	1107	3898	3820
43	1107	4211	4149
44	1107	4339	4222
45	1107	4826	4726
46	1107	4354	4243
47	1107	4138	4046
48	1107	3578	3462
49	1107	4307	4199
50	1107	5077	4884
51	1107	4536	4435
52	1107	5464	5323
53	1107	4253	4177
54	1107	4927	4793
55	1107	4535	4438
56	1107	3986	3861
57	1107	3257	3173
58	1107	3482	3384
59	1107	3377	3305
60	1107	2995	2913
61	1107	3979	3894
62	1107	3706	3619
63	1107	3426	3347
64	1107	3592	3490
65	1107	3702	3590
66	1107	4905	4811
67	1107	2156	1979
68	1107	4657	4545
69	1107	4955	4852
70	1107	3749	3604
71	1107	4198	4110
72	1107	3823	3681
73	1107	3474	3362
74	1107	3915	3836
75	1107	4291	4188
76	1107	4026	3950
77	1107	4201	4112
78	1107	3976	3890
79	1107	3631	3557
80	1107	2743	2660
81	1107	3718	3577
