SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	120453	102232
1	1101	1818	1778
2	1101	2143	2090
3	1101	1725	1692
4	1101	1743	1703
5	1101	1349	1312
6	1101	48	45
7	1101	1810	1775
8	1101	1671	1622
9	1101	1570	1541
10	1101	2049	1984
11	1101	829	816
12	1101	1250	1211
13	1101	1451	1409
14	1101	12	10
15	1101	1762	1734
16	1101	15	11
17	1101	1605	1565
18	1101	12	10
19	1101	1663	1639
20	1101	18	15
21	1101	13	12
22	1101	7	7
23	1101	1517	1490
24	1101	15	14
25	1101	1481	1448
26	1101	1077	1041
27	1101	1470	1440
28	1101	1557	1508
29	1101	1342	1296
30	1101	1401	1367
31	1101	10	10
32	1101	2035	1985
33	1101	947	924
34	1101	1546	1486
35	1101	1727	1689
36	1101	851	827
37	1101	1472	1435
38	1101	1643	1604
39	1101	1787	1739
40	1101	16	13
41	1101	1379	1344
42	1101	18	16
43	1101	1123	1104
44	1101	1395	1353
45	1101	1257	1221
46	1101	1662	1609
47	1101	1718	1675
48	1101	1265	1229
49	1101	1404	1360
50	1101	767	737
51	1101	1363	1320
52	1101	1188	1149
53	1101	1365	1321
54	1101	1714	1664
55	1101	1631	1589
56	1101	1298	1235
57	1101	1334	1294
58	1101	1704	1660
59	1101	1809	1772
60	1101	819	800
61	1101	1440	1403
62	1101	1782	1737
63	1101	1635	1595
64	1101	14	11
65	1101	2842	2754
66	1101	1573	1529
67	1101	1824	1793
68	1101	1519	1477
69	1101	7	4
70	1101	1501	1473
71	1101	1404	1365
72	1101	1340	1290
73	1101	910	883
74	1101	1357	1327
75	1101	1568	1534
76	1101	1701	1657
77	1101	12	12
78	1101	2	1
79	1101	12	10
80	1101	5	3
81	1101	1408	1375
82	1101	5	4
83	1101	7	6
84	1101	1499	1468
85	1101	1593	1562
86	1101	1109	1081
87	1101	2	1
88	1101	2	1
89	1101	2	1
90	1101	12	12
91	1101	2	2
92	1101	5	5
93	1101	34	29
94	1101	1937	1901
95	1101	2303	2237
96	1101	2054	1956
97	1101	2845	2789
98	1101	568	547
99	1101	975	950
100	1101	2314	2268
101	1101	2926	2852
102	1101	2770	2661
103	1101	3376	3302
104	1101	3070	2980
105	1101	655	647
106	1101	3614	3531
107	1101	3097	3041
108	1101	2889	2848
109	1101	2805	2743
110	1101	251	247
111	1101	3111	3034
112	1101	3383	3320
113	1101	2759	2713
114	1101	3071	3008
115	1101	247	233
116	1101	3047	3007
117	1101	3173	3106
118	1101	2530	2468
119	1101	1660	1614
120	1101	45	45
121	1101	43	42
122	1101	1401	1384
123	1101	648	634
124	1101	869	855
125	1101	1376	1353
126	1101	2717	2655
127	1101	191	188
128	1101	3378	3300
129	1101	3501	3429
130	1101	2797	2746
131	1101	2852	2803
132	1101	2188	2136
133	1101	2540	2488
134	1101	1723	1675
135	1101	581	562
136	1101	3401	3345
137	1101	3310	3259
138	1101	512	506
139	1101	2634	2578
