Lane,SampleID,Index,# Reads,# Perfect Index Reads,# One Mismatch Index Reads,# Two Mismatch Index Reads,% Reads,% Perfect Index Reads,% One Mismatch Index Reads,% Two Mismatch Index Reads
1,0001,ELIDED,175158,164130,11028,0,0.0012,0.9370,0.0630,0.0000
1,0002,ELIDED,377577,366728,10849,0,0.0026,0.9713,0.0287,0.0000
1,0003,ELIDED,255081,246588,8493,0,0.0018,0.9667,0.0333,0.0000
1,0004,ELIDED,321345,288820,32525,0,0.0022,0.8988,0.1012,0.0000
1,0005,ELIDED,113,110,3,0,0.0000,0.9735,0.0265,0.0000
1,0006,ELIDED,49489,47876,1613,0,0.0003,0.9674,0.0326,0.0000
1,0007,ELIDED,294579,273099,21480,0,0.0021,0.9271,0.0729,0.0000
1,0008,ELIDED,260951,249920,11031,0,0.0018,0.9577,0.0423,0.0000
1,0009,ELIDED,276961,265644,11317,0,0.0019,0.9591,0.0409,0.0000
1,0010,ELIDED,272602,253089,19513,0,0.0019,0.9284,0.0716,0.0000
1,0011,ELIDED,78986,76383,2603,0,0.0006,0.9670,0.0330,0.0000
1,0012,ELIDED,304830,287691,17139,0,0.0021,0.9438,0.0562,0.0000
1,0013,ELIDED,280411,252213,28198,0,0.0020,0.8994,0.1006,0.0000
1,0014,ELIDED,327491,315312,12179,0,0.0023,0.9628,0.0372,0.0000
1,0015,ELIDED,258182,246686,11496,0,0.0018,0.9555,0.0445,0.0000
1,0016,ELIDED,326582,315622,10960,0,0.0023,0.9664,0.0336,0.0000
1,0017,ELIDED,0,0,0,0,0.0000,0.0000,0.0000,0.0000
1,0018,ELIDED,247742,238320,9422,0,0.0017,0.9620,0.0380,0.0000
1,0019,ELIDED,0,0,0,0,0.0000,0.0000,0.0000,0.0000
1,0020,ELIDED,259817,194222,65595,0,0.0018,0.7475,0.2525,0.0000
1,0021,ELIDED,223659,212997,10662,0,0.0016,0.9523,0.0477,0.0000
1,0022,ELIDED,223571,207328,16243,0,0.0016,0.9273,0.0727,0.0000
1,0023,ELIDED,372801,356510,16291,0,0.0026,0.9563,0.0437,0.0000
1,0024,ELIDED,299493,265838,33655,0,0.0021,0.8876,0.1124,0.0000
1,0025,ELIDED,240515,216547,23968,0,0.0017,0.9003,0.0997,0.0000
1,0026,ELIDED,216156,209138,7018,0,0.0015,0.9675,0.0325,0.0000
1,0027,ELIDED,323165,314559,8606,0,0.0023,0.9734,0.0266,0.0000
1,0028,ELIDED,315173,298222,16951,0,0.0022,0.9462,0.0538,0.0000
1,0029,ELIDED,313470,297836,15634,0,0.0022,0.9501,0.0499,0.0000
1,0030,ELIDED,2064,1997,67,0,0.0000,0.9675,0.0325,0.0000
1,0031,ELIDED,253108,219631,33477,0,0.0018,0.8677,0.1323,0.0000
1,0032,ELIDED,196421,189146,7275,0,0.0014,0.9630,0.0370,0.0000
1,0033,ELIDED,278485,263218,15267,0,0.0019,0.9452,0.0548,0.0000
1,0034,ELIDED,318886,303236,15650,0,0.0022,0.9509,0.0491,0.0000
1,0035,ELIDED,420311,348559,71752,0,0.0029,0.8293,0.1707,0.0000
1,0036,ELIDED,372924,348457,24467,0,0.0026,0.9344,0.0656,0.0000
1,0037,ELIDED,17,16,1,0,0.0000,0.9412,0.0588,0.0000
1,0038,ELIDED,320195,310006,10189,0,0.0022,0.9682,0.0318,0.0000
1,0039,ELIDED,295241,281605,13636,0,0.0021,0.9538,0.0462,0.0000
1,0040,ELIDED,401000,387574,13426,0,0.0028,0.9665,0.0335,0.0000
1,0041,ELIDED,252234,244074,8160,0,0.0018,0.9676,0.0324,0.0000
1,0042,ELIDED,302945,270729,32216,0,0.0021,0.8937,0.1063,0.0000
1,0043,ELIDED,244917,211787,33130,0,0.0017,0.8647,0.1353,0.0000
1,0044,ELIDED,272003,245112,26891,0,0.0019,0.9011,0.0989,0.0000
1,0045,ELIDED,32,31,1,0,0.0000,0.9688,0.0312,0.0000
1,0046,ELIDED,347931,331970,15961,0,0.0024,0.9541,0.0459,0.0000
1,0047,ELIDED,16550,15353,1197,0,0.0001,0.9277,0.0723,0.0000
1,0048,ELIDED,292238,281761,10477,0,0.0020,0.9641,0.0359,0.0000
1,0049,ELIDED,389032,375718,13314,0,0.0027,0.9658,0.0342,0.0000
1,0050,ELIDED,285393,274893,10500,0,0.0020,0.9632,0.0368,0.0000
1,0051,ELIDED,488803,390445,98358,0,0.0034,0.7988,0.2012,0.0000
1,0052,ELIDED,309001,298574,10427,0,0.0022,0.9663,0.0337,0.0000
1,0053,ELIDED,377243,357285,19958,0,0.0026,0.9471,0.0529,0.0000
1,0054,ELIDED,305333,276345,28988,0,0.0021,0.9051,0.0949,0.0000
1,0055,ELIDED,9743,9417,326,0,0.0001,0.9665,0.0335,0.0000
1,0056,ELIDED,420642,405664,14978,0,0.0029,0.9644,0.0356,0.0000
1,0057,ELIDED,0,0,0,0,0.0000,0.0000,0.0000,0.0000
1,0058,ELIDED,261476,234368,27108,0,0.0018,0.8963,0.1037,0.0000
1,0059,ELIDED,302091,292636,9455,0,0.0021,0.9687,0.0313,0.0000
1,0060,ELIDED,169659,162153,7506,0,0.0012,0.9558,0.0442,0.0000
1,0061,ELIDED,218304,200527,17777,0,0.0015,0.9186,0.0814,0.0000
1,0062,ELIDED,252421,242050,10371,0,0.0018,0.9589,0.0411,0.0000
1,0063,ELIDED,75,67,8,0,0.0000,0.8933,0.1067,0.0000
1,0064,ELIDED,362388,348926,13462,0,0.0025,0.9629,0.0371,0.0000
1,0065,ELIDED,257200,205915,51285,0,0.0018,0.8006,0.1994,0.0000
1,0066,ELIDED,166448,155789,10659,0,0.0012,0.9360,0.0640,0.0000
1,0067,ELIDED,5,3,2,0,0.0000,0.6000,0.4000,0.0000
1,0068,ELIDED,325219,313369,11850,0,0.0023,0.9636,0.0364,0.0000
1,0069,ELIDED,220017,211292,8725,0,0.0015,0.9603,0.0397,0.0000
1,0070,ELIDED,246628,232294,14334,0,0.0017,0.9419,0.0581,0.0000
1,0071,ELIDED,153323,142742,10581,0,0.0011,0.9310,0.0690,0.0000
1,0072,ELIDED,235144,196834,38310,0,0.0016,0.8371,0.1629,0.0000
1,0073,ELIDED,226481,215607,10874,0,0.0016,0.9520,0.0480,0.0000
1,0074,ELIDED,221031,209818,11213,0,0.0015,0.9493,0.0507,0.0000
1,0075,ELIDED,14,9,5,0,0.0000,0.6429,0.3571,0.0000
1,0076,ELIDED,220086,213300,6786,0,0.0015,0.9692,0.0308,0.0000
1,0077,ELIDED,258362,249799,8563,0,0.0018,0.9669,0.0331,0.0000
1,0078,ELIDED,212877,207095,5782,0,0.0015,0.9728,0.0272,0.0000
1,0079,ELIDED,253564,240545,13019,0,0.0018,0.9487,0.0513,0.0000
1,0080,ELIDED,46,38,8,0,0.0000,0.8261,0.1739,0.0000
1,0081,ELIDED,572093,534297,37796,0,0.0040,0.9339,0.0661,0.0000
1,0082,ELIDED,333821,309777,24044,0,0.0023,0.9280,0.0720,0.0000
1,0083,ELIDED,387169,361086,26083,0,0.0027,0.9326,0.0674,0.0000
1,0084,ELIDED,241782,234337,7445,0,0.0017,0.9692,0.0308,0.0000
1,0085,ELIDED,37,34,3,0,0.0000,0.9189,0.0811,0.0000
1,0086,ELIDED,182048,175945,6103,0,0.0013,0.9665,0.0335,0.0000
1,0087,ELIDED,235720,217069,18651,0,0.0016,0.9209,0.0791,0.0000
1,0088,ELIDED,190248,183390,6858,0,0.0013,0.9640,0.0360,0.0000
1,0089,ELIDED,194209,184151,10058,0,0.0014,0.9482,0.0518,0.0000
1,0090,ELIDED,212356,193673,18683,0,0.0015,0.9120,0.0880,0.0000
1,0091,ELIDED,96247,89579,6668,0,0.0007,0.9307,0.0693,0.0000
1,0092,ELIDED,7,5,2,0,0.0000,0.7143,0.2857,0.0000
1,0093,ELIDED,249173,242074,7099,0,0.0017,0.9715,0.0285,0.0000
1,0094,ELIDED,180155,172982,7173,0,0.0013,0.9602,0.0398,0.0000
1,0095,ELIDED,231721,210170,21551,0,0.0016,0.9070,0.0930,0.0000
1,0096,ELIDED,1162,1096,66,0,0.0000,0.9432,0.0568,0.0000
1,0097,ELIDED,128031,116470,11561,0,0.0009,0.9097,0.0903,0.0000
1,0098,ELIDED,170968,161616,9352,0,0.0012,0.9453,0.0547,0.0000
1,0099,ELIDED,6,4,2,0,0.0000,0.6667,0.3333,0.0000
1,0100,ELIDED,253227,245866,7361,0,0.0018,0.9709,0.0291,0.0000
1,0101,ELIDED,292230,281653,10577,0,0.0020,0.9638,0.0362,0.0000
1,0102,ELIDED,235654,225846,9808,0,0.0016,0.9584,0.0416,0.0000
1,0103,ELIDED,242809,209640,33169,0,0.0017,0.8634,0.1366,0.0000
1,0104,ELIDED,126,123,3,0,0.0000,0.9762,0.0238,0.0000
1,0105,ELIDED,229757,185045,44712,0,0.0016,0.8054,0.1946,0.0000
1,0106,ELIDED,279764,271184,8580,0,0.0020,0.9693,0.0307,0.0000
1,0107,ELIDED,273633,261858,11775,0,0.0019,0.9570,0.0430,0.0000
1,0108,ELIDED,271755,256509,15246,0,0.0019,0.9439,0.0561,0.0000
1,0109,ELIDED,1746,1617,129,0,0.0000,0.9261,0.0739,0.0000
1,0110,ELIDED,294792,277356,17436,0,0.0021,0.9409,0.0591,0.0000
1,0111,ELIDED,211759,204602,7157,0,0.0015,0.9662,0.0338,0.0000
1,0112,ELIDED,255922,237082,18840,0,0.0018,0.9264,0.0736,0.0000
1,0113,ELIDED,190198,183117,7081,0,0.0013,0.9628,0.0372,0.0000
1,0114,ELIDED,201242,194953,6289,0,0.0014,0.9687,0.0313,0.0000
1,0115,ELIDED,230602,219398,11204,0,0.0016,0.9514,0.0486,0.0000
1,0116,ELIDED,165002,159990,5012,0,0.0012,0.9696,0.0304,0.0000
1,0117,ELIDED,210061,187428,22633,0,0.0015,0.8923,0.1077,0.0000
1,0118,ELIDED,189822,183634,6188,0,0.0013,0.9674,0.0326,0.0000
1,0119,ELIDED,263820,238038,25782,0,0.0018,0.9023,0.0977,0.0000
1,0120,ELIDED,18410,17575,835,0,0.0001,0.9546,0.0454,0.0000
1,0121,ELIDED,209648,201101,8547,0,0.0015,0.9592,0.0408,0.0000
1,0122,ELIDED,188131,180779,7352,0,0.0013,0.9609,0.0391,0.0000
1,0123,ELIDED,227448,221078,6370,0,0.0016,0.9720,0.0280,0.0000
1,0124,ELIDED,195963,185431,10532,0,0.0014,0.9463,0.0537,0.0000
1,0125,ELIDED,1400,1323,77,0,0.0000,0.9450,0.0550,0.0000
1,0126,ELIDED,321586,294304,27282,0,0.0023,0.9152,0.0848,0.0000
1,0127,ELIDED,201935,193736,8199,0,0.0014,0.9594,0.0406,0.0000
1,0128,ELIDED,237061,228755,8306,0,0.0017,0.9650,0.0350,0.0000
1,0129,ELIDED,195943,187132,8811,0,0.0014,0.9550,0.0450,0.0000
1,0130,ELIDED,20,16,4,0,0.0000,0.8000,0.2000,0.0000
1,0131,ELIDED,303204,293105,10099,0,0.0021,0.9667,0.0333,0.0000
1,0132,ELIDED,335475,323063,12412,0,0.0023,0.9630,0.0370,0.0000
1,0133,ELIDED,233863,224923,8940,0,0.0016,0.9618,0.0382,0.0000
1,0134,ELIDED,157550,153359,4191,0,0.0011,0.9734,0.0266,0.0000
1,0135,ELIDED,27997,22985,5012,0,0.0002,0.8210,0.1790,0.0000
1,0136,ELIDED,300927,290333,10594,0,0.0021,0.9648,0.0352,0.0000
