SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	93626	82063
1	1101	12132	12006
2	1101	320	292
3	1101	818	764
4	1101	2313	2267
5	1101	2598	2570
6	1101	2000	1955
7	1101	34	32
8	1101	7671	7560
9	1101	6780	6688
10	1101	4113	4049
11	1101	3227	3185
12	1101	577	563
13	1101	4533	4493
14	1101	3637	3594
15	1101	4366	4318
16	1101	6891	6796
17	1101	28	25
18	1101	4758	4697
19	1101	3983	3941
20	1101	4295	4256
21	1101	4315	4258
22	1101	9	9
23	1101	3252	3224
24	1101	4963	4889
25	1101	399	395
26	1101	16	14
27	1101	1	1
28	1101	1	1
29	1101	33	32
30	1101	3562	3523
31	1101	2	1
32	1101	8599	8486
33	1101	2290	2258
34	1101	2979	2936
35	1101	81	80
36	1101	5020	4964
37	1101	4	3
38	1101	19	18
39	1101	3967	3919
40	1101	8458	8341
41	1101	1046	1034
42	1101	8468	8361
43	1101	1608	1598
44	1101	3	3
45	1101	6	6
46	1101	4461	4409
47	1101	5	5
48	1101	50	44
49	1101	2322	2285
50	1101	6892	6803
51	1101	3	3
52	1101	3006	2965
53	1101	1	1
54	1101	3345	3301
55	1101	2658	2631
56	1101	30	24
57	1101	2283	2257
58	1101	8	8
59	1101	1106	1098
60	1101	3825	3785
61	1101	3151	3121
62	1101	1835	1808
63	1101	2203	2174
64	1101	27	24
65	1101	2262	2232
66	1101	3310	3258
67	1101	2962	2920
68	1101	3311	3262
69	1101	8	7
70	1101	5263	5201
71	1101	4154	4114
72	1101	3733	3689
73	1101	9	9
74	1101	3	3
75	1101	9171	9056
76	1101	2	2
77	1101	6	2
78	1101	6452	6388
79	1101	19	17
80	1101	679	675
81	1101	9569	9466
82	1101	6945	6857
83	1101	7190	7112
84	1101	29	26
85	1101	11686	11581
86	1101	8550	8454
87	1101	7	7
88	1101	2956	2917
89	1101	7	7
90	1101	3	3
93	1101	1	1
94	1101	4	4
95	1101	5	4
96	1101	2434	2401
97	1101	115	108
98	1101	5	5
99	1101	4	4
100	1101	2362	2337
101	1101	2	2
102	1101	2677	2649
103	1101	1220	1200
104	1101	1474	1454
105	1101	2677	2647
106	1101	1	1
107	1101	2542	2514
108	1101	2077	2060
109	1101	1861	1841
110	1101	2084	2068
112	1101	1358	1344
113	1101	3020	2998
114	1101	3297	3262
115	1101	3	3
116	1101	2330	2309
117	1101	1687	1673
118	1101	1309	1298
119	1101	2260	2245
120	1101	144	137
121	1101	4032	3997
122	1101	4225	4181
123	1101	3692	3656
124	1101	3584	3557
125	1101	2	2
126	1101	3194	3172
127	1101	1731	1708
128	1101	3741	3714
129	1101	2728	2697
130	1101	72	70
131	1101	1556	1537
132	1101	3084	3053
133	1101	4	4
134	1101	2763	2736
135	1101	1	1
136	1101	2688	2663
138	1101	3076	3043
139	1101	1118	1106
141	1101	3027	2992
142	1101	2286	2271
143	1101	6	6
144	1101	6	6
145	1101	1875	1850
146	1101	2703	2683
147	1101	2428	2391
148	1101	1	1
149	1101	3036	3011
150	1101	1847	1830
151	1101	1797	1780
152	1101	1739	1724
153	1101	2301	2274
154	1101	1	1
