"","sample_id","raw_f","raw_r","cutadapt_f","cutadapt_r","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percentraw_retainedby_cutadapt","percent_retained_aftermerge","percent_notsingleton","percent_notchimera","percent_retained_of_raw"
"1","20240127_Pool1.edna0001_rep1.R1",62058,62058,61985,61985,54406,54406,54406,54406,52906,50704,29544,28359,28269,99.8823681072545,55.8424375307148,95.9890333062551,99.682640431609,45.5525476167456
"2","20240127_Pool1.edna0002_rep2.R1",59421,59421,55701,55701,50517,50517,50517,50517,49305,48362,24011,22452,22209,93.7395870146918,48.6989149173512,93.5071425596602,98.9176910742918,37.37567526632
"3","20240127_Pool1.edna0007_rep1.R1",52269,52269,52193,52193,48465,48465,48465,48465,46480,45338,23361,23319,23108,99.8545983278808,50.2603270223752,99.8202131758058,99.0951584544792,44.209761043831
"4","20240127_Pool1.edna0010_rep1.R1",61230,61230,61143,61143,57023,57023,57023,57023,54419,53753,26475,26468,25745,99.8579127878491,48.6502875833808,99.9735599622285,97.2683995768475,42.0463824922424
"5","20240127_Pool1.edna0013_rep1.R1",83424,83424,83342,83342,77377,77377,77377,77377,75105,72839,34967,34676,34324,99.9017069428462,46.5574861860063,99.1677867703835,98.9848886838159,41.1440352896049
"6","20240127_Pool10.edna0072_rep1.R1",73836,73836,73737,73737,66916,66916,66916,66916,62882,62569,29901,29820,29170,99.8659190638713,47.5509684806463,99.7291060499649,97.8202548625084,39.5064738068151
"7","20240127_Pool10.edna0073_rep1.R1",52921,52921,52839,52839,50305,50305,50305,50305,47605,46755,22664,22581,22217,99.845052058729,47.6084444911249,99.6337804447582,98.3880253310305,41.9814440392283
"8","20240127_Pool10.edna0074_rep1.R1",36676,36676,36599,36599,34199,34199,34199,34199,31785,30801,14945,14895,14839,99.7900534409423,47.0190341355986,99.6654399464704,99.624034911044,40.4597011669757
"9","20240127_Pool10.edna0075_rep1.R1",37440,37440,37377,37377,35161,35161,35161,35161,33160,32103,16530,16480,16096,99.8317307692308,49.8492159227985,99.697519661222,97.6699029126214,42.991452991453
"10","20240127_Pool10.edna0076_rep1.R1",41834,41834,41774,41774,38918,38918,38918,38918,37107,36013,18165,18121,17781,99.8565759908209,48.9530277306169,99.757775942747,98.1237238562993,42.5037051202371
