"","sample_id","raw_f","raw_r","cutadapt_f","cutadapt_r","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percentraw_retainedby_cutadapt","percent_retained_aftermerge","percent_notsingleton","percent_notchimera","percent_retained_of_raw"
"1","GH001_S1_L001_R1_001",39060,39060,38001,38001,27426,27426,27426,27426,27369,27212,26417,26417,16783,97.2887864823349,96.5216120428222,100,63.53105954499,42.9672299027138
"2","GH002_S2_L001_R1_001",37300,37300,36278,36278,26574,26574,26574,26574,26503,26307,25939,25939,23080,97.2600536193029,97.8719390257707,100,88.9779868152203,61.8766756032172
"3","GH003_S3_L001_R1_001",23571,23571,22871,22871,15680,15680,15680,15680,15566,15455,14802,14802,12487,97.030249034831,95.0918668893743,100,84.3602215916768,52.9761147172373
"4","GH004_S4_L001_R1_001",58823,58823,57401,57401,40275,40275,40275,40275,40146,40037,37655,37655,25206,97.5825782432042,93.7951477108554,100,66.9393174877174,42.8505856552709
"5","GH005_S5_L001_R1_001",41931,41931,40876,40876,29365,29365,29365,29365,29212,29152,28107,28107,18528,97.4839617466791,96.2173079556347,100,65.9195218273028,44.1868784431566
"6","GH006_S6_L001_R1_001",20434,20434,19899,19899,14386,14386,14386,14386,14326,14273,14019,14019,11613,97.3818146226877,97.8570431383499,100,82.8375775732934,56.8317510032299
"7","GH007_S7_L001_R1_001",27541,27541,26879,26879,19289,19289,19289,19289,19243,19150,18442,18442,16606,97.5963109545768,95.8374473834641,100,90.044463724108,60.2955593478813
"8","GH008_S8_L001_R1_001",39718,39718,38574,38574,26517,26517,26517,26517,26329,26269,24977,24977,17737,97.1196938415832,94.8649777811539,100,71.0133322656844,44.6573342061534
"9","GH009_S9_L001_R1_001",75916,75916,73987,73987,52785,52785,52785,52785,52712,52513,49803,49803,41789,97.4590336687918,94.4813325239035,100,83.9085998835412,55.0463670372517
"10","GH010_S10_L001_R1_001",134289,134289,130867,130867,89428,89428,89428,89428,89370,89155,83342,83342,65133,97.4517644781032,93.2550072731342,100,78.1514722468863,48.5021111185577
"11","GH011_S11_L001_R1_001",63659,63659,62041,62041,44397,44397,44397,44397,44322,44156,42588,42588,35716,97.4583326788043,96.0877216732097,100,83.8639992486146,56.1051854411788
"12","GH012_S12_L001_R1_001",79032,79032,77063,77063,53302,53302,53302,53302,53217,53175,50565,50565,37017,97.5086041097277,95.0166300242404,100,73.2067635716405,46.8379896750683
"13","GH013_S13_L001_R1_001",88924,88924,86602,86602,66952,66952,66952,66952,66827,66654,63168,63168,52700,97.3887814313346,94.5246681730438,100,83.4283181357649,59.2640906841797
"14","GH014_S14_L001_R1_001",93118,93118,90841,90841,70102,70102,70102,70102,70028,69788,65300,65300,32981,97.5547155222406,93.2484149197464,100,50.5068912710567,35.4185012564703
"15","GH015_S15_L001_R1_001",32134,32134,31277,31277,24685,24685,24685,24685,24617,24488,22833,22833,19825,97.3330428829277,92.7529755859772,100,86.8260850523365,61.6947781166366
"16","GH016_S16_L001_R1_001",140963,140963,137243,137243,97495,97495,97495,97495,97362,96874,89850,89850,67818,97.3610096266396,92.2844641646638,100,75.4791318864775,48.1104970807943
"17","GH017_S17_L001_R1_001",53407,53407,52064,52064,35854,35854,35854,35854,35630,35634,33668,33668,21412,97.4853483625742,94.4934044344653,100,63.5974812878698,40.092122755444
"18","GH018_S18_L001_R1_001",24588,24588,23932,23932,16081,16081,16081,16081,15922,15892,14479,14479,10286,97.3320318854726,90.9370682075116,100,71.0408177360315,41.8334146738246
"19","GH019_S19_L001_R1_001",148938,148938,145138,145138,112731,112731,112731,112731,112502,111671,105488,105488,92022,97.4486027743088,93.7654441698814,100,87.2345669649628,61.7854409217258
"20","GH020_S20_L001_R1_001",125325,125325,122513,122513,93989,93989,93989,93989,93741,93447,88981,88981,76608,97.7562337921404,94.9221791958695,100,86.0947842797901,61.1274685816876
"21","GH021_S21_L001_R1_001",110291,110291,107442,107442,84309,84309,84309,84309,84118,83566,79746,79746,68017,97.4168336491645,94.8025392900449,100,85.2920522659444,61.6704898858474
"22","GH022_S22_L001_R1_001",185340,185340,180660,180660,143032,143032,143032,143032,142711,141904,134776,134776,114555,97.4749109744254,94.4398119276019,100,84.9965869294236,61.8080284881839
"23","GH023_S23_L001_R1_001",193850,193850,188876,188876,148865,148865,148865,148865,148570,147784,141115,141115,118305,97.4340985297911,94.9821632900316,100,83.8358785387804,61.0291462470983
"24","GH024_S24_L001_R1_001",198185,198185,193212,193212,148852,148852,148852,148852,148524,147848,140690,140690,118690,97.4907283598658,94.7254315800813,100,84.3627834245504,59.8884880288619
"25","GH025_S25_L001_R1_001",337780,337780,329171,329171,262245,262245,262245,262245,261886,261364,245554,245554,235534,97.4512996625022,93.7636987085984,100,95.9194311638173,69.7300017763041
"26","GH026_S26_L001_R1_001",229786,229786,223987,223987,176914,176914,176914,176914,176121,176139,165519,165519,159285,97.4763475581628,93.9802749246257,100,96.2336650173092,69.3188444900908
"27","GH027_S27_L001_R1_001",184914,184914,180183,180183,143188,143188,143188,143188,142768,142233,136077,136077,122257,97.4415133521529,95.3133755463409,100,89.8439853906244,66.1155996841775
