"","sample_id","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percent_retained_aftermerge","percent_notsingleton","percent_notchimera"
"1","pecoe-0460_S1_R1_001",8772,8772,8772,8772,8755,8733,8683,8676,8659,99.1776127926899,99.9193827018312,99.8040571692024
"2","pecoe-0467_S2_R1_001",555547,555547,555547,555547,555355,555062,552027,550379,549422,99.4007436684643,99.7014638776727,99.8261198192518
"3","pecoe-0469_S3_R1_001",80854,80854,80854,80854,80792,80714,80530,80102,79977,99.6757104663828,99.4685210480566,99.8439489650695
"4","pecoe-0474_S4_R1_001",713773,713773,713773,713773,713540,713203,710563,708518,699365,99.5827844269417,99.7122000441903,98.7081485579759
"5","pecoe-0475_S5_R1_001",725063,725063,725063,725063,724795,724453,722227,717235,714189,99.645692920067,99.3088045725236,99.5753135304328
"6","pecoe-0477_S6_R1_001",11710,11710,11710,11710,11630,11553,11148,11069,10771,95.8555460017197,99.2913527090061,97.3077965489204
"7","pecoe-0487_S7_R1_001",831103,831103,831103,831103,830480,829637,825167,809953,771106,99.3602494942684,98.1562520071695,95.2037957758043
"8","pecoe-0492_S8_R1_001",1084834,1084834,1084834,1084834,1084593,1084163,1079922,1076802,1054426,99.5693315372679,99.7110902454066,97.9219949442887
"9","pecoe-0493_S9_R1_001",1048424,1048424,1048424,1048424,1048033,1047286,1042972,1041186,965681,99.5170953586385,99.8287585860406,92.7481737172801
"10","pecoe-0494_S10_R1_001",979580,979580,979580,979580,979288,978364,975039,960184,875333,99.5661133394875,98.4764711975623,91.1630479158161
"11","pecoe-0495_S11_R1_001",1006199,1006199,1006199,1006199,1005934,1005518,1002156,997099,984580,99.6244286404476,99.4953879435936,98.7444576717056
"12","pecoe-0497_S12_R1_001",597050,597050,597050,597050,596721,596186,592677,592324,560603,99.3222963495503,99.9404397336154,94.644653939398
"13","pecoe-0504_S13_R1_001",672593,672593,672593,672593,672308,671950,669467,667247,659460,99.5774258226884,99.6683929155582,98.8329659031813
"14","pecoe-0505_S14_R1_001",657356,657356,657356,657356,657012,656664,653606,652545,634284,99.4815924214474,99.837669788833,97.2015723053583
"15","pecoe-0509_S15_R1_001",854394,854394,854394,854394,854046,853447,849441,848704,757992,99.4608018771823,99.9132370582536,89.3117034914411
"16","pecoe-0513_S16_R1_001",990853,990853,990853,990853,990358,989720,972312,969261,908763,98.1778306430604,99.6862118332387,93.7583375375673
"17","pecoe-0514_S17_R1_001",1104911,1104911,1104911,1104911,1104284,1103603,1095783,1093257,1036721,99.230179917485,99.7694799061493,94.8286633426541
"18","pecoe-0516_S18_R1_001",958053,958053,958053,958053,957408,956386,951145,942241,854443,99.3458379290752,99.0638651309737,90.6820017384087
"19","pecoe-0517_S19_R1_001",726781,726781,726781,726781,726143,725484,715018,699906,646996,98.4679326248411,97.8864867737595,92.4404134269459
"20","pecoe-0518_S20_R1_001",886654,886654,886654,886654,886289,885862,882214,881354,863354,99.5402176942284,99.9025179831651,97.9576878303156
"21","pecoe-0523_S21_R1_001",647106,647106,647106,647106,646914,646446,644101,643560,630040,99.5651663126783,99.9160069616411,97.8991857791037
"22","pecoe-0526_S22_R1_001",1068482,1068482,1068482,1068482,1067249,1066106,1045196,1013895,911380,97.9336593428525,97.0052506898228,89.8889924499085
"23","pecoe-0527_S23_R1_001",838860,838860,838860,838860,838035,837154,824638,812340,733393,98.4013794173274,98.5086789597375,90.2815323632962
"24","pecoe-0538_S24_R1_001",1077107,1077107,1077107,1077107,1076077,1075127,1064374,1026535,926385,98.9124384221575,96.4449526200377,90.2438786792462
"25","pecoe-0542_S25_R1_001",918595,918595,918595,918595,917726,917266,911504,906581,841517,99.3220198621375,99.4599036317997,92.8231454221961
"26","pecoe-0544_S26_R1_001",938003,938003,938003,938003,937377,936483,929657,921874,854524,99.1764252803301,99.1628095093137,92.6942293632319
"27","pecoe-0545_S27_R1_001",839322,839322,839322,839322,838951,838196,833188,829649,769078,99.313070727611,99.575245922889,92.6992017106029
"28","pecoe-0572_S28_R1_001",856868,856868,856868,856868,856595,855953,852124,850392,836455,99.4780497201128,99.7967431969995,98.3611087592546
"29","pecoe-0575_S29_R1_001",762690,762690,762690,762690,762532,762302,759295,759267,757731,99.5754932252024,99.9963123687104,99.7976996234526
"30","pecoe-0587_S30_R1_001",1068743,1068743,1068743,1068743,1068305,1067222,1063471,1051701,1018933,99.5475075001989,98.8932467363943,96.8842855526428
"31","pecoe-0592_S31_R1_001",1242819,1242819,1242819,1242819,1242485,1241716,1237555,1237503,1217457,99.6032145257287,99.9957981665461,98.3801251390906
"32","pecoe-0593_S32_R1_001",1266818,1266818,1266818,1266818,1266553,1266135,1261697,1261554,1261554,99.6165971735885,99.9886660584911,100
"33","pecoe-0594_S33_R1_001",990216,990216,990216,990216,989918,989405,985546,984770,964858,99.5583472570455,99.9212619197886,97.9780050163998
"34","pecoe-0595_S34_R1_001",8823,8823,8823,8823,8808,8807,8785,8771,8765,99.7388737511353,99.8406374501992,99.9315927488314
"35","pecoe-0597_S35_R1_001",706466,706466,706466,706466,706252,705966,700310,700136,698721,99.1586572498202,99.9751538604332,99.7978964086977
"36","pecoe-0598_S36_R1_001",926203,926203,926203,926203,925896,925194,920689,916082,882389,99.4376258240666,99.4996138761297,96.3220541392583
"37","pecoe-0600_S37_R1_001",1079268,1079268,1079268,1079268,1078786,1078210,1072742,1070735,1016856,99.439740597301,99.8129093481937,94.968035975288
"38","pecoe-0623_S38_R1_001",986202,986202,986202,986202,985119,984093,974741,939742,886070,98.9465232119165,96.4094051650644,94.288645181337
"39","pecoe-0624_S39_R1_001",992897,992897,992897,992897,991906,990357,971453,943267,820399,97.938010255004,97.0985729623564,86.9742077269744
"40","pecoe-0632_S40_R1_001",914143,914143,914143,914143,913201,911925,892006,859110,803309,97.6790432774384,96.3121324296025,93.504789840649
"41","pecoe-0634_S41_R1_001",919963,919963,919963,919963,919463,918421,914294,901993,854202,99.4378240342461,98.6545903177752,94.7016218529412
"42","pecoe-0637_S42_R1_001",1191798,1191798,1191798,1191798,1191574,1190879,1185689,1185466,1165022,99.5061154405853,99.981192370006,98.275446111487
"43","pecoe-0638_S43_R1_001",1035258,1035258,1035258,1035258,1034916,1033849,732474,729638,704502,70.7761789362615,99.6128190215625,96.5550039882791
"44","pecoe-0639_S44_R1_001",747370,747370,747370,747370,747068,746912,744626,744126,744126,99.673122125429,99.9328521969418,100
"45","pecoe-0644_S45_R1_001",673800,673800,673800,673800,673591,673140,670652,669633,669633,99.5636818187891,99.8480583074381,100
"46","pecoe-0645_S46_R1_001",966491,966491,966491,966491,966226,965443,962160,960464,938902,99.5791874778779,99.8237299409662,97.7550433956921
"47","pecoe-0648_S47_R1_001",12921,12921,12921,12921,12834,12788,12734,12724,12724,99.220819697678,99.9214700801005,100
"48","pecoe-0652_S48_R1_001",1274234,1274234,1274234,1274234,1273735,1273132,1266239,1263600,1247087,99.4114945416433,99.7915875281049,98.693178220956
"49","pecoe-0655_S49_R1_001",1252103,1252103,1252103,1252103,1251451,1250180,1243533,1228364,1136731,99.3672944446087,98.7801690827666,92.5402405150265
