Sample	Name	Reads1WithAdapter	Reads2WithAdapter
1	GH001	2798	2832
2	GH002	1045	1043
3	GH003	1047	1018
4	GH004	1516	1529
5	GH005	636	616
6	GH006	1745	1783
7	GH007	890	862
8	GH008	287	278
9	GH009	990	993
10	GH010	1997	2034
11	GH011	686	677
12	GH012	428	431
13	GH013	390	369
14	GH014	783	756
15	GH015	1187	1183
16	GH016	1325	1315
17	GH017	2518	2529
18	GH018	2499	2515
19	GH019	1298	1287
20	GH020	1669	1628
21	GH021	544	518
22	GH022	231	217
23	GH023	737	696
24	GH024	853	868
25	GH025	2148	2182
26	GH026	8260	8426
27	GH027	3497	3538
28	GH028	998	928
29	GH029	787	784
30	GH030	770	757
31	GH031	1196	1193
32	GH032	1920	1934
33	GH033	817	817
34	GH034	1277	1272
35	GH035	539	524
36	GH036	890	875
37	GH037	1547	1544
38	GH038	1277	1287
39	GH039	2883	2914
40	GH040	12772	14260
41	GH041	1048	1046
42	GH042	1761	1777
43	GH043	2293	2265
44	NEG1	354	353
45	GH045	2331	2357
46	GH046	847	843
47	GH047	1487	1493
48	GH048	1826	1841
49	GH049	1187	1219
50	GH050	992	1022
51	GH051	849	846
52	GH052	1305	1315
53	GH053	966	969
54	GH054	953	962
55	GH055	2419	2435
56	GH056	2393	2447
57	GH057	1183	1177
58	GH058	1043	1099
59	GH059	1826	1801
60	GH060	1443	1456
61	GH061	291	282
62	GH062	494	494
63	GH063	1176	1169
64	GH064	1510	1514
65	GH065	1054	1066
66	GH066	1327	1358
67	GH067	682	683
68	GH068	974	956
69	GH069	679	660
70	GH070	1992	2018
71	GH071	2119	2178
72	GH072	1283	1268
73	GH073	1712	1759
74	GH074	3063	3118
75	GH075	1409	1397
76	GH076	1146	1153
77	GH077	1065	1040
78	GH078	1619	1595
79	GH079	3390	3407
80	GH080	1523	1584
81	GH081	1948	1974
82	GH082	1776	1797
83	GH083	1372	1373
84	GH084	793	803
85	GH085	2827	2793
86	GH086	3757	3753
87	GH087	3309	3359
88	GH088	2296	2359
89	GH089	5158	5264
90	GH090	2928	3008
91	GH091	1564	1583
92	GH092	786	786
93	GH093	717	709
94	GH094	1490	1506
95	GH095	2695	2738
96	GH096	1957	1969
97	GH097	4025	4111
98	GH098	2212	2272
99	GH099	2264	2279
100	GH100	1024	1044
101	GH101	980	997
102	GH102	888	879
103	GH103	1025	1035
104	GH104	1211	1225
105	GH105	307	299
106	GH106	3299	3262
107	GH107	2511	2550
108	GH108	2410	2410
109	NEG2	1591	2498
110	GH110	3165	3228
111	GH111	1023	972
112	GH112	851	844
113	GH113	1940	1949
114	GH114	1352	1358
115	GH115	1089	1078
116	GH116	1279	1320
117	GH117	739	718
118	GH118	535	574
119	GH119	187	169
120	GH120	341	346
121	GH121	800	773
122	GH122	252	240
123	GH123	409	407
124	GH124	701	694
125	GH125	2044	2778
126	GH126	531	527
127	GHnx01	1194	1333
128	GHnx02	9329	10150
129	GHnx03	905	943
130	GHnx04	219	234
131	GHnx05	1650	2153
132	GHnx06	1530	2358
133	GHnx07	306	317
134	GHnx08	685	749
