SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	87312	60593
1	1101	4626	4406
2	1101	2634	2513
3	1101	4412	4206
4	1101	6780	6423
5	1101	4735	4523
6	1101	3930	3707
7	1101	6397	6068
8	1101	2723	2581
9	1101	6472	6166
10	1101	6189	5902
11	1101	3478	3326
12	1101	5246	4962
13	1101	4911	4675
14	1101	6372	6033
15	1101	5678	5400
16	1101	5295	5055
17	1101	7790	7437
18	1101	5612	5350
19	1101	5602	5394
20	1101	5860	5579
21	1101	5071	4845
22	1101	5229	4978
23	1101	4443	4210
24	1101	4977	4761
25	1101	4974	4757
26	1101	5170	4933
27	1101	5156	4926
28	1101	7375	7028
29	1101	6235	5894
30	1101	6187	5894
31	1101	4911	4685
32	1101	5253	5027
33	1101	5403	5168
34	1101	5514	5300
35	1101	5716	5466
36	1101	6309	6034
37	1101	5895	5662
38	1101	4596	4368
39	1101	5621	5367
40	1101	5465	4899
41	1101	5469	5217
42	1101	4214	4043
43	1101	4118	3958
44	1101	75	67
45	1101	6137	5849
46	1101	5082	4857
47	1101	5040	4805
48	1101	4797	4615
49	1101	5019	4737
50	1101	4109	3896
51	1101	5399	5149
52	1101	4938	4698
53	1101	5382	5109
54	1101	4067	3836
55	1101	5646	5348
56	1101	4918	4706
57	1101	4889	4649
58	1101	4389	4143
59	1101	11969	11433
60	1101	5468	5188
61	1101	4590	4379
62	1101	4561	4320
63	1101	5124	4874
64	1101	4272	4075
65	1101	4910	4677
66	1101	4837	4617
67	1101	4521	4335
68	1101	6286	5980
69	1101	5371	5108
70	1101	6430	6096
71	1101	5643	5341
72	1101	5106	4877
73	1101	4412	4197
74	1101	6081	5804
75	1101	5219	5001
76	1101	2091	1972
77	1101	6453	6173
78	1101	7942	7586
79	1101	5989	5705
80	1101	3836	3652
81	1101	5129	4893
82	1101	7329	6989
83	1101	5906	5670
84	1101	4978	4742
85	1101	6136	5852
86	1101	5819	5547
87	1101	5900	5597
88	1101	5228	4948
89	1101	4848	4620
90	1101	5546	5284
91	1101	4737	4534
92	1101	5474	5199
93	1101	5499	5230
94	1101	5292	5023
95	1101	6612	6297
96	1101	4817	4571
97	1101	8487	8078
98	1101	6166	5837
99	1101	6543	6219
100	1101	6249	6000
101	1101	5487	5253
102	1101	4888	4652
103	1101	5571	5330
104	1101	4337	4137
105	1101	4696	4506
106	1101	6677	6328
107	1101	6178	5883
108	1101	9992	9567
109	1101	147	90
110	1101	9407	8931
111	1101	6859	6583
112	1101	4681	4487
113	1101	6472	6173
114	1101	6800	6441
115	1101	5909	5627
116	1101	5099	4889
117	1101	7282	6942
118	1101	5712	5398
119	1101	3658	3525
120	1101	4017	3814
121	1101	5321	5074
122	1101	3964	3782
123	1101	4779	4582
124	1101	4364	4192
125	1101	7251	6578
126	1101	5065	4807
127	1101	72	53
128	1101	386	306
129	1101	39	33
130	1101	8	5
131	1101	91	61
132	1101	123	80
133	1101	9	8
134	1101	28	22
0	1102	88027	59381
1	1102	4698	4477
2	1102	2673	2521
3	1102	4061	3881
4	1102	6373	6025
5	1102	4432	4228
6	1102	3947	3717
7	1102	6438	6116
8	1102	2759	2600
9	1102	6593	6225
10	1102	6080	5759
11	1102	3561	3392
12	1102	5465	5173
13	1102	4762	4559
14	1102	6248	5917
15	1102	5760	5494
16	1102	5062	4818
17	1102	7483	7145
18	1102	5587	5312
19	1102	5823	5610
20	1102	5706	5427
21	1102	5040	4839
22	1102	5166	4898
23	1102	4420	4217
24	1102	4743	4541
25	1102	4754	4512
26	1102	5300	5026
27	1102	5222	4973
28	1102	7429	7068
29	1102	6296	5944
30	1102	6349	6017
31	1102	5075	4860
32	1102	5468	5224
33	1102	5301	5080
34	1102	5205	4986
35	1102	5407	5179
36	1102	6376	6072
37	1102	5770	5521
38	1102	4516	4291
39	1102	5656	5413
40	1102	5445	4791
41	1102	5409	5152
42	1102	4199	3989
43	1102	4071	3900
44	1102	49	39
45	1102	5917	5674
46	1102	4888	4648
47	1102	5138	4901
48	1102	4488	4283
49	1102	5020	4747
50	1102	4044	3827
51	1102	5159	4914
52	1102	4878	4606
53	1102	5291	5036
54	1102	4149	3930
55	1102	5554	5289
56	1102	4682	4481
57	1102	4867	4607
58	1102	4274	4035
59	1102	12179	11613
60	1102	5184	4932
61	1102	4486	4288
62	1102	4445	4213
63	1102	4928	4696
64	1102	4013	3831
65	1102	5081	4853
66	1102	4831	4570
67	1102	4560	4347
68	1102	6180	5887
69	1102	5275	4989
70	1102	6566	6222
71	1102	5345	5097
72	1102	4952	4734
73	1102	4246	4036
74	1102	6010	5706
75	1102	5140	4895
76	1102	2189	2058
77	1102	6366	6066
78	1102	8153	7717
79	1102	6129	5829
80	1102	3931	3737
81	1102	5079	4822
82	1102	7133	6761
83	1102	6110	5842
84	1102	4929	4678
85	1102	6202	5917
86	1102	6051	5709
87	1102	5821	5526
88	1102	5102	4818
89	1102	4705	4497
