motu_lulu,motu_swarm,asv,curated,lulu_rank
motu1,motu1,ASV1,parent,1
motu1,motu1,ASV89,parent,1
motu1,motu1,ASV134,parent,1
motu1,motu1,ASV166,parent,1
motu1,motu1,ASV188,parent,1
motu1,motu1,ASV192,parent,1
motu1,motu1,ASV204,parent,1
motu1,motu1,ASV219,parent,1
motu1,motu1,ASV222,parent,1
motu1,motu1,ASV224,parent,1
motu1,motu1,ASV246,parent,1
motu1,motu1,ASV254,parent,1
motu1,motu1,ASV275,parent,1
motu1,motu1,ASV277,parent,1
motu1,motu1,ASV287,parent,1
motu1,motu1,ASV326,parent,1
motu1,motu1,ASV338,parent,1
motu1,motu1,ASV382,parent,1
motu1,motu1,ASV385,parent,1
motu1,motu1,ASV393,parent,1
motu1,motu1,ASV433,parent,1
motu1,motu1,ASV440,parent,1
motu1,motu1,ASV442,parent,1
motu1,motu1,ASV465,parent,1
motu1,motu1,ASV470,parent,1
motu1,motu1,ASV502,parent,1
motu1,motu1,ASV509,parent,1
motu1,motu1,ASV518,parent,1
motu1,motu1,ASV553,parent,1
motu1,motu1,ASV560,parent,1
motu1,motu1,ASV592,parent,1
motu1,motu1,ASV608,parent,1
motu1,motu1,ASV612,parent,1
motu1,motu1,ASV613,parent,1
motu1,motu1,ASV625,parent,1
motu1,motu1,ASV651,parent,1
motu1,motu1,ASV653,parent,1
motu1,motu1,ASV675,parent,1
motu1,motu1,ASV680,parent,1
motu1,motu1,ASV694,parent,1
motu1,motu1,ASV695,parent,1
motu1,motu1,ASV723,parent,1
motu1,motu1,ASV740,parent,1
motu1,motu1,ASV754,parent,1
motu1,motu1,ASV782,parent,1
motu1,motu1,ASV857,parent,1
motu1,motu1,ASV865,parent,1
motu1,motu1,ASV877,parent,1
motu1,motu1,ASV1063,parent,1
motu1,motu1,ASV1078,parent,1
motu1,motu1,ASV1102,parent,1
motu1,motu1,ASV1147,parent,1
motu1,motu1,ASV1,parent,1
motu2,motu2,ASV2,parent,2
motu2,motu2,ASV6,parent,2
motu2,motu2,ASV86,parent,2
motu2,motu2,ASV235,parent,2
motu2,motu2,ASV249,parent,2
motu2,motu2,ASV256,parent,2
motu2,motu2,ASV271,parent,2
motu2,motu2,ASV307,parent,2
motu2,motu2,ASV313,parent,2
motu2,motu2,ASV315,parent,2
motu2,motu2,ASV395,parent,2
motu2,motu2,ASV477,parent,2
motu2,motu2,ASV498,parent,2
motu2,motu2,ASV510,parent,2
motu2,motu2,ASV516,parent,2
motu2,motu2,ASV531,parent,2
motu2,motu2,ASV566,parent,2
motu2,motu2,ASV607,parent,2
motu2,motu2,ASV619,parent,2
motu2,motu2,ASV626,parent,2
motu2,motu2,ASV638,parent,2
motu2,motu2,ASV758,parent,2
motu2,motu2,ASV778,parent,2
motu2,motu2,ASV861,parent,2
motu2,motu2,ASV888,parent,2
motu2,motu2,ASV55,parent,2
motu2,motu2,ASV152,parent,2
motu2,motu2,ASV296,parent,2
motu2,motu2,ASV344,parent,2
motu2,motu2,ASV462,parent,2
motu2,motu2,ASV581,parent,2
motu2,motu2,ASV602,parent,2
motu2,motu2,ASV652,parent,2
motu2,motu2,ASV735,parent,2
motu2,motu2,ASV765,parent,2
motu2,motu2,ASV831,parent,2
motu2,motu2,ASV836,parent,2
motu2,motu2,ASV863,parent,2
motu2,motu2,ASV1083,parent,2
motu2,motu2,ASV1299,parent,2
motu2,motu2,ASV2,parent,2
motu3,motu3,ASV3,parent,3
motu3,motu3,ASV180,parent,3
motu3,motu3,ASV212,parent,3
motu3,motu3,ASV272,parent,3
motu3,motu3,ASV371,parent,3
motu3,motu3,ASV604,parent,3
motu3,motu3,ASV925,parent,3
motu3,motu3,ASV969,parent,3
motu3,motu3,ASV3,parent,3
motu4,motu4,ASV4,parent,4
motu4,motu4,ASV22,parent,4
motu4,motu4,ASV140,parent,4
motu4,motu4,ASV173,parent,4
motu4,motu4,ASV242,parent,4
motu4,motu4,ASV257,parent,4
motu4,motu4,ASV317,parent,4
motu4,motu4,ASV323,parent,4
motu4,motu4,ASV348,parent,4
motu4,motu4,ASV351,parent,4
motu4,motu4,ASV391,parent,4
motu4,motu4,ASV487,parent,4
motu4,motu4,ASV793,parent,4
motu4,motu4,ASV1002,parent,4
motu4,motu4,ASV1031,parent,4
motu4,motu4,ASV1052,parent,4
motu4,motu4,ASV1085,parent,4
motu4,motu4,ASV1162,parent,4
motu4,motu4,ASV1164,parent,4
motu4,motu4,ASV175,parent,4
motu4,motu4,ASV209,parent,4
motu4,motu4,ASV262,parent,4
motu4,motu4,ASV431,parent,4
motu4,motu4,ASV499,parent,4
motu4,motu4,ASV512,parent,4
motu4,motu4,ASV526,parent,4
motu4,motu4,ASV538,parent,4
motu4,motu4,ASV562,parent,4
motu4,motu4,ASV583,parent,4
motu4,motu4,ASV835,parent,4
motu4,motu4,ASV1130,parent,4
motu4,motu4,ASV1157,parent,4
motu4,motu4,ASV4,parent,4
motu5,motu5,ASV5,parent,5
motu5,motu5,ASV253,parent,5
motu5,motu5,ASV306,parent,5
motu5,motu5,ASV324,parent,5
motu5,motu5,ASV363,parent,5
motu5,motu5,ASV365,parent,5
motu5,motu5,ASV417,parent,5
motu5,motu5,ASV429,parent,5
motu5,motu5,ASV552,parent,5
motu5,motu5,ASV584,parent,5
motu5,motu5,ASV790,parent,5
motu5,motu5,ASV1007,parent,5
motu5,motu5,ASV1132,parent,5
motu5,motu5,ASV5,parent,5
